Gerhard Weikum;-0.2774034,-0.28599668,-0.30345267,-0.114216596,0.28779736,0.16143072,0.22613458,-0.110781804,-0.06470336,-0.22781955,0.030565968,-0.10615111,-0.13119249,0.07692941,0.39015904,-0.18550877,0.14021547,-0.32648087,0.03155587,0.09917925,-0.07383316,0.20467003,0.32854807,0.2797192,0.06826459,-0.115089335,0.28532168,0.016013104,0.20492506,0.32345024,-0.13145632,0.13425834,-0.19045992,0.16499993,-0.11869335,0.26934707,0.14175491,-0.32995656,-0.49980193,0.09004632,0.06224374,-0.107540816,0.07679292,-0.03073605,0.018736059,0.09379329,-0.26153776,0.10511406,0.08832785,-0.34820354,0.43667912,-8.075573e-06,0.07779838,-0.009603492,-0.22175361,0.15034086,-0.09955655,0.3488905,0.37590113,-0.18730703,0.0722275,0.123363115,-0.4189559,-0.15966707,-0.36228028,0.07244804,-0.06251386,0.23799495,0.097795404,-0.058297563,-0.0068297177,-0.043479245,0.2690182,-0.029724019,0.043114338,-0.15458322,-0.08399667,0.14823835,-0.09848629,-0.1624847,0.44465002,0.10536753,-0.127605,-0.08125239,-0.091498956,0.010663703,0.006893441,0.022451827,0.11127821,-0.0690677,-0.57686234,0.093881465,-0.1677795,0.11434081,0.32089844,-0.0012514163,-0.35588717,0.26893303,0.040990535,-0.05848456,0.0023490991,-0.14069217,0.05717666,-0.15300217,0.12865868,0.3779553,0.07515201,0.2284322,-0.040459376,-0.2323494,0.18207063,0.095139176,-0.05917935,-0.17003898,-0.38215593,-0.017824415,-0.3935444,0.033249088,-0.05525932,-0.20617749,0.23342264,0.47168007,0.0903417,0.16285291,0.19905654,-0.27744448,0.063901894,0.26329315
Alois Knoll;-0.10862192,-0.14110146,-0.066054374,0.056969322,0.1621314,-0.33620542,-0.34939846,-0.18507197,0.03965576,0.091361396,-0.20507884,0.16394499,0.258813,0.17046753,0.122043476,0.004799406,0.048172366,0.32804194,-0.15191689,0.1740417,0.23901069,0.12810291,-0.120229594,-0.087577455,0.09136241,-0.1681963,0.030017326,0.060179073,0.3772373,0.18629909,-0.1994111,0.21454693,-0.22188543,-0.38478982,0.45391008,-0.38968167,0.15575698,0.47475445,0.06839717,-0.5965817,0.15818116,-0.20789835,-0.036982637,-0.12257961,0.14297457,-0.372247,-0.011300793,-0.120663926,-0.26559314,0.11943319,0.2736991,0.498809,0.060080994,0.09366843,-0.044876363,-0.65028214,-0.4135949,-0.18481176,-0.0837303,-0.1475646,0.39359033,0.025190916,-0.29762807,-0.54045546,-0.22002377,0.19348039,0.1928619,0.06793487,-0.11159972,0.11499454,-0.030505044,-0.017745333,-0.053438667,-0.2103861,-0.23065527,0.50520134,0.20028858,-0.021877622,-0.13089181,0.030132517,-0.24512424,-0.095298484,-0.4226189,0.12570205,0.36067516,0.008872124,-0.0073173363,-0.06721536,0.1272999,0.06865671,-0.1467279,0.21553087,-0.03648409,0.03817181,0.22052085,0.085601985,0.007943067,-0.06091496,-0.06976359,0.06344632,0.40180463,-0.4359731,0.002087702,0.040630557,-0.27447253,0.02845449,0.08756726,0.13461578,0.13381135,-0.3433221,0.11334876,-0.2706076,-0.022649756,-0.02834208,-0.6072926,-0.09669716,-0.13177681,0.67553145,0.21337572,0.1817714,0.02456123,-0.24265134,0.092668325,0.07734161,-0.29638988,0.04945317,0.07849467,-0.12644288
Alois C. Knoll;-0.10862192,-0.14110146,-0.066054374,0.056969322,0.1621314,-0.33620542,-0.34939846,-0.18507197,0.03965576,0.091361396,-0.20507884,0.16394499,0.258813,0.17046753,0.122043476,0.004799406,0.048172366,0.32804194,-0.15191689,0.1740417,0.23901069,0.12810291,-0.120229594,-0.087577455,0.09136241,-0.1681963,0.030017326,0.060179073,0.3772373,0.18629909,-0.1994111,0.21454693,-0.22188543,-0.38478982,0.45391008,-0.38968167,0.15575698,0.47475445,0.06839717,-0.5965817,0.15818116,-0.20789835,-0.036982637,-0.12257961,0.14297457,-0.372247,-0.011300793,-0.120663926,-0.26559314,0.11943319,0.2736991,0.498809,0.060080994,0.09366843,-0.044876363,-0.65028214,-0.4135949,-0.18481176,-0.0837303,-0.1475646,0.39359033,0.025190916,-0.29762807,-0.54045546,-0.22002377,0.19348039,0.1928619,0.06793487,-0.11159972,0.11499454,-0.030505044,-0.017745333,-0.053438667,-0.2103861,-0.23065527,0.50520134,0.20028858,-0.021877622,-0.13089181,0.030132517,-0.24512424,-0.095298484,-0.4226189,0.12570205,0.36067516,0.008872124,-0.0073173363,-0.06721536,0.1272999,0.06865671,-0.1467279,0.21553087,-0.03648409,0.03817181,0.22052085,0.085601985,0.007943067,-0.06091496,-0.06976359,0.06344632,0.40180463,-0.4359731,0.002087702,0.040630557,-0.27447253,0.02845449,0.08756726,0.13461578,0.13381135,-0.3433221,0.11334876,-0.2706076,-0.022649756,-0.02834208,-0.6072926,-0.09669716,-0.13177681,0.67553145,0.21337572,0.1817714,0.02456123,-0.24265134,0.092668325,0.07734161,-0.29638988,0.04945317,0.07849467,-0.12644288
Bernhard Nebel;0.20093821,0.0641703,0.26661763,0.13846666,0.14955854,0.00917564,0.1675796,0.41822556,-0.36569327,-0.101928376,-0.3026732,-0.061595496,-0.086303,0.18792805,0.27698922,-0.24840473,-0.0657051,-0.06852083,0.15406084,0.039983638,0.09436007,-0.105329335,-0.066946,-0.3269926,0.05849932,0.009912089,-0.0019043647,0.42558685,0.59412175,0.0015956496,-0.4254645,0.040616445,0.22092108,-0.071111,-0.13508601,-0.17730859,0.11212842,-0.110257745,-0.16403674,-0.035002284,0.20372893,-0.14361893,-0.12972964,-0.14855337,0.1650604,0.12003629,-0.025966506,-0.009168142,-0.11983445,0.20580494,0.21326397,-0.13191038,-0.18547566,0.033791162,-0.28911632,-0.13429448,0.21092074,-0.27541032,-0.22703955,0.068220526,0.45684886,-0.12789036,0.09267508,-0.043860696,-0.113604866,-0.17225075,-0.062117938,-0.3586451,0.3363094,0.17728804,0.03440943,-0.44167015,0.22168063,0.16965726,0.0607877,0.0056943553,-0.059884388,0.44571447,0.18223862,-0.26400715,-0.11429635,0.16697562,0.016153192,-0.026021501,0.18596289,-0.19689423,-0.11300505,-0.27979204,-0.38477957,0.006784767,-0.046547137,0.16066311,0.12802993,-0.050163228,0.037914734,0.42807353,0.095354825,0.019987235,-0.16174132,0.14538062,0.0834581,0.17381112,0.10975588,-0.05222355,-0.19618319,0.23782766,-0.14550577,-0.25790346,0.09481272,0.2037183,0.34586373,0.056331303,0.31146628,-0.1593714,-0.24459715,-0.06238269,0.114017196,-0.09544882,0.061467964,0.26514235,0.035757236,-0.28709194,0.26227468,0.21919163,-0.0022468625,0.06772726,0.10223725,0.04647156
Hans-Peter Kriegel;0.050944157,-0.31628495,-0.118367076,0.05043256,-0.022035288,-0.0709806,0.41185838,-0.046517525,0.15984635,0.12308313,-0.12169708,-0.05204256,0.3164206,0.32090062,0.28903374,-0.08133271,-0.096490696,0.1965106,0.19725087,0.2742239,-0.24571842,-0.1832005,-0.16538592,-0.013317281,0.058628965,0.27394006,0.35611904,0.12799732,0.4779214,0.2429876,0.09874909,-0.15813203,0.12273037,0.37421584,0.016940027,0.058566004,0.11737651,-0.2330859,-0.39679074,0.11329967,-0.08342483,0.16823837,0.21349484,-0.17478818,-0.55519044,0.051228702,-0.41731536,0.2557214,-0.025834905,-0.016785601,0.2706289,-0.16957049,0.28380692,-0.1698979,-0.2672021,-0.035870362,-0.3208933,0.17420572,-0.41031867,-0.32868674,-0.029816743,-0.21779867,-0.04255719,0.046101965,-0.1337161,0.09534767,-0.18367083,-0.33409107,-0.68667954,0.23247924,0.34605828,0.0035878546,0.064485356,-0.07912728,-0.110731944,0.20223297,0.09704028,-0.05135526,-0.08123423,0.077029884,0.100119844,-0.3748506,0.027405852,-0.30542812,0.13247645,-0.35055533,0.003234286,-0.025361516,0.24894609,-0.26430255,-0.1495825,-0.03692684,0.16550389,0.42724636,-0.0662302,0.2516468,-0.13754624,0.3225621,-0.026805263,0.23335132,0.0002954731,-0.1924744,-0.47705522,-0.2609207,-0.18587448,-0.030634478,0.19252144,-0.39774555,0.21109581,0.12919232,-0.16352189,-0.075315006,-0.34304762,-0.018474422,-0.28058428,0.038691334,-0.0029961753,-0.061649807,-0.20918813,-0.08306329,-0.017903555,-0.045056522,0.06497276,0.28151977,0.011613555,-0.24299139,0.20405509,-0.052033294
Rudi Studer;0.12225692,-0.35260552,0.10298592,0.08053098,0.20747414,0.0025828758,0.04625543,-0.067793615,-0.2092609,-0.089731745,-0.12953007,-0.16937445,-0.025982298,-0.0018089685,0.53922224,0.14100829,0.052799564,-0.33067814,-0.0058687744,0.13196929,-0.25323415,-0.0004435381,0.018262047,-0.111580044,-0.033189617,-0.4201591,0.111395285,-0.09796902,0.071838304,0.009871593,0.17439541,0.035430033,0.05041351,0.03343826,-0.33569804,0.06770934,0.2512767,0.019548591,0.042427387,0.054207552,-0.0011139786,-0.009762685,0.022088418,-0.1824385,0.06889976,-0.58845377,0.17547962,0.25135627,0.07147385,-0.24649268,0.21042174,0.114036635,0.073617205,-0.20335758,0.17867535,0.19979152,0.08775695,0.18526275,-0.0810539,-0.071626544,0.47544363,0.28520098,-0.046570096,-0.3089712,-0.18563642,0.18059802,0.26186976,0.042726237,0.21767043,0.23649415,-0.031350397,-0.10727632,-0.5061344,0.09410147,-0.1356742,-0.09846836,-0.24360676,-0.117350765,0.15695317,-0.34699842,-0.20632872,0.39342692,-0.11774993,-0.19421244,0.16343398,-0.004614687,0.14438714,-0.49762955,0.38217288,-0.18850613,-0.2578245,0.29366997,-0.15233874,0.34862107,0.06689437,0.06948379,0.0020257484,0.087993555,0.19220702,0.11861656,-0.15046638,-0.3527485,0.006440818,-0.039310325,-0.14298573,0.2812238,0.05268883,-0.22452803,0.39667484,0.013370779,0.1157459,-0.19066125,-0.17752342,0.13422951,0.10462321,0.035232946,-0.017231422,-0.1265389,-0.065570466,-0.29098275,0.0147808865,0.12875237,-0.056390125,0.08790034,0.109264985,-0.044280365,0.27499434,0.06575153
Steffen Staab;-0.040458746,-0.24743119,0.04048805,0.2237553,0.09456913,0.03338323,0.1435867,0.10882444,0.1823598,-0.17026365,0.059173968,-0.23048753,0.18580037,-0.03447772,0.45960522,0.04840935,0.23066725,-0.06097242,0.3042991,0.19309479,0.17073338,0.0264889,0.16476011,0.02232485,-0.00307334,-0.42474276,0.29109922,-0.19615103,0.16152199,-0.06192395,0.16717398,-0.32301238,-0.026036996,-0.22645123,-0.21660896,0.2551107,0.19594498,0.003677348,0.04800486,0.269364,-0.18660118,0.033032,0.26891336,0.020402793,0.00434384,-0.45222908,0.030333014,-0.14295924,-0.14277714,-0.0410739,-0.25477988,-0.103489265,0.18240274,-0.40707964,0.06803241,0.1513149,-0.047544025,0.17659688,-0.19810651,-0.096719615,0.3858338,0.30716494,-0.13491242,-0.19989276,-0.0279572,-0.2457494,0.31214416,-0.23679343,0.027656648,-0.011508587,-0.14033519,-0.3643014,-0.4288399,0.026408233,0.28677294,0.0068862494,-0.2488416,-0.23396319,0.16448632,-0.26196158,-0.24878176,0.3624771,-0.19784202,-0.12675974,-0.3529706,-0.20061202,0.355262,-0.28983194,0.24468136,-0.05419193,-0.5710135,0.055158548,-0.07210275,0.23464051,0.1412976,0.030922903,0.2672143,-0.09082154,0.03444092,0.017193094,-0.13469198,-0.24843268,0.17061736,-0.17850608,0.05423923,0.3605252,0.0141092185,-0.016370138,0.19407903,-0.25345308,0.26684678,0.0062099053,-0.36361852,-0.23116463,-0.09540856,-0.2284988,0.34637123,0.2608343,-0.11436799,-0.06483738,-0.027533367,0.3142697,0.000792638,-0.026958374,0.19840972,-0.18790513,0.17522137,0.020838972
Wolfram Burgard;-0.029929511,0.060027,0.38148123,0.22048697,-0.122963786,-0.27922523,0.18633707,0.15157346,-0.2977984,-0.3275757,0.0034477822,-0.056889206,0.3366067,0.15797609,0.22267541,-0.47701886,-0.10335174,0.013911792,-0.18328276,0.27190518,0.08203853,-0.28148544,0.22378866,-0.46997422,0.066200174,-0.17465325,0.0025093453,0.2585258,0.15452091,-0.20868845,-0.4349121,0.097918816,-0.27181143,-0.21375826,-0.24808149,-0.12735622,-0.116355665,-0.16988866,-0.33740288,-0.1605392,0.4444197,-0.05859976,-0.013536569,-0.09995762,0.23893164,0.028515987,0.047884546,0.21876377,-0.114597514,0.23766406,-0.0726719,-0.11889672,-0.035519175,0.17184171,0.08858709,-0.18795271,0.045018002,0.046579648,0.037800908,-0.14839534,0.06699093,-0.024463354,-0.07146299,-0.07081027,-0.38776225,0.33204055,0.11471214,-0.18222582,0.02382483,0.25420433,0.08269344,-0.15375134,0.13498059,-0.06268207,0.052834123,0.2680611,0.17101137,-0.16116482,-0.15765482,-0.17168923,-0.12936969,-0.19248609,0.27068517,-0.05543848,0.16866818,0.21844654,-0.24398224,-0.21093275,-0.18586421,0.24559662,-0.28691298,0.19468243,0.30436468,0.13759248,-0.15011802,0.19682798,-0.027045224,-0.31972197,0.12643014,-0.47670892,0.12414714,0.085576676,-0.10838251,-0.19183515,0.008123458,0.06028276,-0.048582442,-0.21887852,0.026226105,-0.004021226,0.31692666,0.15393919,0.30463713,-0.56851363,-0.06345024,0.009134562,0.04632576,0.05845824,-0.04183425,0.07347588,-0.2690936,-0.30602995,0.015266219,0.060274743,-0.20871377,0.12478181,0.25161523,0.36253166
Albrecht Schmidt 0001;-0.030163342,0.26050076,0.033047233,-0.28009492,0.1993752,-0.19765322,-0.1660423,-0.17454222,-0.27494246,0.15197982,-0.3483837,0.2973377,-0.010937204,0.032926332,-0.082075156,-0.17385076,0.3457378,-0.122814015,0.49576333,0.01418221,-0.12738863,-0.2560669,-0.09085353,-0.31790194,-0.10186964,0.16505311,0.4978588,0.07736908,-0.05196578,-0.36888278,-0.030254785,0.27344227,0.13498034,-0.24738479,0.12962794,-0.04957287,-0.0372083,0.23940334,-0.3519143,-0.044245742,-0.12418454,0.0730558,0.3032753,0.1973284,-0.33026028,-0.17785582,-0.17737053,0.069131315,-0.2758335,0.3187208,0.14381398,-0.1074993,0.26313606,0.12985745,0.27397463,-0.28544986,-0.009337104,0.13144572,0.021377118,-0.0070857187,-0.040707786,0.18302909,0.18944119,-0.1385468,-0.05032877,0.018293656,-0.042638972,-0.28889406,-0.09116079,0.011673158,-0.059848234,0.14077103,-0.10574744,-0.07281134,0.182933,0.054382924,0.029031944,0.027289597,0.42794123,0.10435457,0.10703066,0.24958344,-0.03247039,-0.13470758,0.022981182,-0.048963495,-0.35899508,-0.04703308,-0.20495501,-0.43629318,-0.12554274,0.17259838,0.2636831,0.0035183844,0.059567086,-0.1638258,-0.14086702,0.0059516276,0.0004201095,-0.05617015,0.4477471,-0.46902025,-0.067081444,0.022022856,0.23711644,-0.16751815,-0.040616043,-0.1944568,0.24485475,-0.059266668,0.482968,0.32921344,-0.06604484,-0.18180002,0.19890471,0.09004872,0.20868537,-0.014824829,0.1506676,-0.24499725,-0.10065996,0.32085156,-0.00043133151,0.03784601,-0.05462445,-0.13936691,-0.15675439,-0.17887264
Bernhard Schölkopf;0.16389681,0.18677989,0.062154092,0.3381973,0.10216481,-0.04160615,0.43703806,0.15116861,0.52123356,0.031791676,-0.077367306,-0.20870522,-0.12078236,0.1277631,0.14144368,-0.10085097,-0.08603352,-0.22025633,0.07086903,0.2872911,-0.24064705,-0.044878855,0.1832106,-0.32167423,-0.2851165,-0.07690161,0.35685834,-0.020007126,-0.13932921,-0.20862322,-0.6646839,0.10598527,-0.40794483,-0.14436926,0.5482314,-0.08703159,0.20053145,-0.28285795,-0.026153013,-0.19891223,0.19005978,0.11441634,-0.033826463,0.39207733,-0.43742046,-0.3769634,-0.18531945,-0.003813386,0.11141592,0.21921599,0.17720541,0.35087028,0.52103204,0.06930749,0.11844337,-0.5650816,-0.30460775,-0.095381364,-0.2073247,-0.742728,0.08021615,-0.5046867,-0.39767936,-0.17431301,0.034614116,0.42493603,-0.4682315,0.061314102,-0.33322257,-0.0144885685,0.32440507,-0.066780604,-0.40865573,0.10340402,0.10099286,0.3975496,-0.006576332,-0.1533511,-0.045171265,0.30452377,-0.11336718,-0.016547607,0.043420117,0.15178032,0.39988047,-0.24976625,-0.07473682,0.119535394,0.10808845,0.182795,-0.394477,-0.1341053,0.0059914654,0.4432386,-0.171929,0.2984626,-0.19971715,-0.23311768,-0.09740159,0.07982796,0.2156271,0.24158093,0.2801844,-0.52893454,0.08000607,0.07330233,0.022569695,-0.30714536,0.06772368,-0.13395973,-0.0015360207,-0.071205616,-0.18563446,-0.2247468,-0.28883964,0.12654541,-0.13561675,-0.3047034,0.003910285,-0.3512018,-0.0034870876,-0.19485927,0.1573567,0.15727903,-0.31612295,0.26087892,-0.07926549,0.3553593
