Gerhard Weikum;-0.26155785,0.017986095,0.23226918,0.30841738,0.19132936,-0.13523862,0.23009078,0.262424,-0.21913747,-0.07638384,-0.121340215,-0.39580214,-0.20355695,0.12154095,0.061972797,-0.023924606,-0.03185234,-0.027231093,-0.1305472,0.34182826,-0.26439008,0.072280176,0.28835687,-0.2011266,0.049717426,0.118904494,0.51471406,0.0128462175,0.15713602,-0.04916407,0.021409236,0.07174269,0.13193569,-0.029696662,-0.13200532,-0.1496335,0.0111396,-0.065133885,-0.13205281,-0.112489685,0.16440958,-0.09180006,-0.0274385,-0.033519156,0.24323818,-0.2757319,-0.118413486,0.21024719,0.08712546,0.11149065,-0.3070529,0.0814173,-0.26029965,-0.3233117,-0.06644334,-0.026419709,-0.038211953,0.270449,-0.039519936,-0.014166486,0.012532562,-0.14860214,0.067438126,-0.13086665,-0.036559384,-0.015228901,-0.12129378,0.3708123,-0.12149335,-0.0736859,0.25920397,-0.052112058,0.053587154,-0.69538915,0.4663612,0.3616618,0.14883956,0.2533379,-0.38766095,-0.25937378,-0.17327106,0.1387226,-0.24152914,-0.21242426,0.00035813678,-0.3033464,-0.19728754,0.18697648,-0.118288375,-0.027545497,0.10394391,-0.10733047,0.27866712,0.2692685,-0.0049485196,0.053548306,-0.19055544,0.08837663,0.38564983,0.0965065,-0.0020700847,0.0691273,-0.3310608,-0.16875838,-0.20027189,-0.032859992,0.21351103,0.08647423,-0.11123591,0.09151841,0.25371277,-0.5249796,-0.073456004,-0.15856107,-0.021709817,0.04046072,-0.09946983,0.16330001,-0.06091604,-0.21802355,-0.03662386,0.08802188,-0.14978522,0.098133,0.123173214,-0.28163332,0.04570407,-0.014148903
Steffen Staab;-0.06911749,0.21837728,0.22583972,0.18105042,0.09543987,-0.422624,-0.08448157,-0.06910302,-0.12875775,0.04585702,-0.23835133,0.1032534,-0.16813779,-0.35066074,0.12145649,-0.10179042,0.049633134,-0.08344505,0.22787021,-0.24066825,0.22276893,-0.0074565136,0.15977071,-0.04283186,0.0041026026,0.15482754,0.25465584,0.1126317,0.11034498,-0.15060845,0.277683,0.116557896,0.2179753,-0.10399661,0.20272787,0.045575332,0.14782132,-0.299296,0.27567166,0.40976337,-0.034681063,0.42867655,-0.22178952,0.20441015,0.5309463,-0.26086855,0.057127953,-0.06396265,0.29160205,-0.032917887,0.046160698,-0.08153979,-0.081991635,0.026256299,-0.07091432,-0.18623911,0.0027317428,0.092803136,-0.18218718,0.022742625,0.05414923,-0.019506501,-0.22543235,-0.40842453,0.024274774,-0.38377318,0.15728647,-0.1809621,-0.20156728,-0.3013902,0.27068165,0.010676356,0.17384629,-0.23976383,0.10834726,-0.060763747,-0.15953867,0.46840286,0.029563941,-0.14818892,0.16933808,0.12549661,-0.25375924,-0.043198172,0.11392857,-0.26917994,-0.2319675,0.0436035,0.16080067,-0.3309171,0.11439433,0.13722998,-0.14472532,-0.31600362,0.0031943643,0.15869488,-0.28713378,-0.11793331,0.20164986,-0.0838607,-0.20172037,0.037911285,-0.19422565,-0.07317085,0.089599244,0.037232324,-0.052842032,0.08350249,0.14391722,0.29603845,-0.34861773,-0.1466533,0.038282186,0.14891142,-0.31735066,0.10735857,-0.10055963,0.02803145,-0.34345573,-0.16150083,-0.16715139,0.20673354,-0.2504466,-0.114061825,0.16613132,0.1416668,0.19616134,-0.19544056
Wolfram Burgard;0.0038039086,0.0058854595,0.15474136,0.12586163,-0.15524048,0.26424438,0.17845148,0.19254233,-0.058617588,0.36260286,0.0872387,0.15324725,-0.2004535,-0.11265221,0.22420694,-0.28590763,-0.018377451,0.29867148,0.41979498,0.08203988,-0.13103175,0.011147272,0.123272434,-0.18769015,-0.17351909,0.08577959,-0.18212757,-0.1511978,0.11488835,0.19915377,0.26519328,-0.25833812,-0.32059225,-0.0929756,0.04426551,0.16107947,0.27683878,0.26324722,-0.10940531,0.11339116,-0.17814286,0.10363581,-0.070190445,-0.01858077,0.21773742,-0.06738771,0.102303214,0.036104575,-0.13182783,-0.2487981,-0.13926362,0.06846629,-0.4408113,0.44755024,0.099007875,0.0073265987,-0.22412355,0.05298855,-0.0920702,-0.101991735,0.080503784,-0.37455848,-0.30687174,0.03363641,-0.0843215,-0.20588928,-0.012894522,-0.10518746,-0.1856099,0.11526156,-0.03548705,-0.005318834,-0.1601766,0.30039674,0.13454625,-0.1817199,0.13400598,-0.0329087,-0.2715443,-0.34397656,-0.09742356,0.05093022,0.04865112,0.17663988,-0.56799215,-0.08452589,0.04800449,0.2655521,-0.06377425,-3.6448753e-05,-0.1399022,-0.26983514,0.3515904,0.1107838,0.1997986,-0.28852037,0.52769196,-0.11817289,0.038033824,0.42984664,0.07292439,0.030470252,-0.008743855,-0.015638359,0.2615979,-0.18145199,-0.32611486,-0.32526565,0.12955621,0.026247524,-0.028265785,0.116274536,0.16196157,-0.3123158,0.09469093,-0.13697773,-0.1892737,-0.027904361,-0.378198,-0.09831264,-0.033399023,0.043605294,0.14980525,-0.32063735,-0.19746925,0.298864,-0.040625643,0.13392302
Alois Knoll;0.091810524,0.19084926,-0.18674393,-0.035708822,0.3381223,-0.2823827,0.17442888,0.13986309,-0.05271988,-0.45985767,-0.15315899,0.05567253,-0.02223722,-0.3541874,-0.09100148,-0.47837156,-0.2254688,0.4219032,0.21719529,0.029296169,-0.2593542,-0.043953974,0.08353682,-0.03240614,-0.17295778,0.3999921,-0.07212042,-0.02220205,-0.04998518,-0.025259688,0.10205202,-0.12212189,-0.24912532,-0.20318681,-0.08691506,0.3480354,0.17884105,0.30025256,-0.29999298,0.2757797,-0.14988957,-0.060671583,-0.24719717,0.15426412,0.2857609,-0.31737003,-0.011864839,0.13470003,-0.28858665,-0.054707736,-0.21545215,0.18079466,0.1763655,0.3181549,-0.06430642,0.06990092,0.24952477,-0.27001667,-0.41398942,-0.30498555,-0.15275933,-0.056574535,0.15403304,0.2980885,0.02949731,-0.32161757,-0.2998511,0.054103334,0.06647038,0.036159597,0.33559006,0.122835085,0.15569694,-0.24354824,0.21139765,-0.16024807,0.10728268,-0.16501382,0.09767132,-0.11181229,-0.25225756,-0.02808878,-0.2600037,0.1461026,0.16518416,-0.23988982,0.07192687,-0.12123137,0.022640424,0.28056332,-0.30485123,-0.17892161,-0.2951636,0.42920285,-0.12724984,-0.1258632,0.109900475,0.12826137,0.41449204,0.24234253,0.0989835,-0.13116388,-0.06014934,-0.01227391,0.026612345,-0.018070608,-0.02062172,0.24950705,-0.37708637,0.113656804,-0.38677078,0.21870491,0.12467874,0.38249755,0.12592912,0.038943354,0.05729813,-0.22375989,0.041710358,0.10136755,-0.029422803,0.043498136,0.3345395,-0.59579784,-0.14083958,-0.116868466,0.1976489,0.015537295
Alois C. Knoll;0.091810524,0.19084926,-0.18674393,-0.035708822,0.3381223,-0.2823827,0.17442888,0.13986309,-0.05271988,-0.45985767,-0.15315899,0.05567253,-0.02223722,-0.3541874,-0.09100148,-0.47837156,-0.2254688,0.4219032,0.21719529,0.029296169,-0.2593542,-0.043953974,0.08353682,-0.03240614,-0.17295778,0.3999921,-0.07212042,-0.02220205,-0.04998518,-0.025259688,0.10205202,-0.12212189,-0.24912532,-0.20318681,-0.08691506,0.3480354,0.17884105,0.30025256,-0.29999298,0.2757797,-0.14988957,-0.060671583,-0.24719717,0.15426412,0.2857609,-0.31737003,-0.011864839,0.13470003,-0.28858665,-0.054707736,-0.21545215,0.18079466,0.1763655,0.3181549,-0.06430642,0.06990092,0.24952477,-0.27001667,-0.41398942,-0.30498555,-0.15275933,-0.056574535,0.15403304,0.2980885,0.02949731,-0.32161757,-0.2998511,0.054103334,0.06647038,0.036159597,0.33559006,0.122835085,0.15569694,-0.24354824,0.21139765,-0.16024807,0.10728268,-0.16501382,0.09767132,-0.11181229,-0.25225756,-0.02808878,-0.2600037,0.1461026,0.16518416,-0.23988982,0.07192687,-0.12123137,0.022640424,0.28056332,-0.30485123,-0.17892161,-0.2951636,0.42920285,-0.12724984,-0.1258632,0.109900475,0.12826137,0.41449204,0.24234253,0.0989835,-0.13116388,-0.06014934,-0.01227391,0.026612345,-0.018070608,-0.02062172,0.24950705,-0.37708637,0.113656804,-0.38677078,0.21870491,0.12467874,0.38249755,0.12592912,0.038943354,0.05729813,-0.22375989,0.041710358,0.10136755,-0.029422803,0.043498136,0.3345395,-0.59579784,-0.14083958,-0.116868466,0.1976489,0.015537295
Bernhard Nebel;0.15691945,0.27045068,0.23171662,0.027402174,-0.14837812,0.25234503,0.26745635,-0.003224083,0.09625726,0.24795476,0.10378113,-0.13177276,0.17783867,-0.13305844,-0.054402284,-0.45717698,0.16451454,-0.15709707,0.1877205,-0.21596923,0.14140087,0.27374738,0.081226535,-0.10464914,-0.10840269,0.08426745,0.09968978,0.06662319,0.09921026,0.1434508,-0.17668797,-0.18864255,-0.031708788,0.101831496,-0.020184467,0.42809764,0.1832214,0.21946268,-0.07901138,0.23882799,-0.03769192,-0.08417299,-0.1464253,0.016444452,0.15427278,-0.12207504,0.3107826,0.053224415,-0.07491743,0.3464767,-0.053758312,0.26041394,0.00026362587,0.023106305,-0.023004772,0.10726569,-0.27674153,0.06246442,-0.03457883,0.010922249,-0.17348066,-0.16192584,0.0702422,-0.3127252,0.046412695,-0.052318428,0.26077306,-0.1268223,0.10515486,-0.0013023322,0.28070068,0.018332392,-0.3064169,0.28167465,0.33793855,0.2568274,-0.11813445,0.06687488,-0.17955978,-0.37001783,-0.18445136,0.1075707,-0.08781805,0.21693535,-0.5561417,-0.23627363,0.0740589,0.3201277,-0.20942354,-0.0073729493,-0.038886182,-0.02760603,0.087604366,0.16677089,0.14731832,-0.39971167,0.52931684,0.0744662,0.15633698,0.20807451,0.030777931,-0.10529841,0.0037941516,-0.23020507,0.11567437,0.06901175,-0.054399166,-0.03489399,0.14715992,0.29290465,0.11998204,0.1775801,0.12462483,-0.32622758,0.095796175,-0.042874753,0.19832014,-0.1744702,-0.25416934,0.02609804,0.0335348,-0.08608589,0.20218836,-0.06326114,-0.26569372,0.3214077,-0.09567339,0.09675911
Albrecht Schmidt 0001;0.4319917,0.12710682,0.057018667,-0.019616544,0.012402553,0.23615786,-0.036146574,0.0001334978,0.0037707211,-0.07457243,-0.44525668,-0.20340066,0.15956452,-0.31969818,-0.01825596,0.08598504,0.19435975,0.47895208,-0.31294447,-0.13236454,-0.14197794,-0.0100624785,-0.09236695,-0.13142279,0.23007636,0.1708312,-0.009615386,0.19844611,0.22890887,-0.31932685,0.07741956,0.22550358,-0.2068048,-0.13987727,0.11888977,-0.12761487,0.22742899,0.19739991,-0.07457557,0.28970492,-0.07872067,0.071840815,-0.28261817,-0.013929574,-0.03031086,-0.030373072,0.31576228,-0.35196945,0.29145288,-0.1407442,0.24597637,0.09920786,-0.3930088,-0.27752873,0.043095514,0.045445736,0.12070167,-0.2357661,-0.004728722,0.036274496,0.089339584,-0.12783238,0.11172886,0.074293524,0.03016054,0.0015154867,0.19542527,0.18801546,-0.1703599,-0.058193408,0.0737415,-0.02869706,0.25557667,0.08130427,-0.10300751,-0.24048598,-0.118695,0.073860995,-0.21563508,0.2076198,-0.18994015,-0.18579295,-0.097740255,0.013855219,-0.077216156,0.09213094,0.13765852,0.027462792,-0.22230573,0.12765855,-0.044277065,-0.054283544,0.24064705,-0.023460697,0.0906918,-0.19384935,-0.3828735,-0.060498554,0.29795536,0.36311683,-0.248751,-0.015656773,-0.032751318,-0.22566605,0.17648534,-0.019624792,0.007585177,0.023304133,-0.042049024,0.046677276,-0.15420352,-0.035295248,-0.2932562,0.03895374,-0.029085318,-0.16063294,0.0070185815,-0.019616958,-0.15589577,-0.16450796,0.03829908,-0.14393175,0.3491167,0.05238332,0.035767548,0.13009153,0.16385928,-0.025365762
Rudi Studer;0.09086124,0.24239442,-0.074736,0.24619122,0.016527884,-0.21933731,-0.052916918,-0.037687905,-0.30995104,-0.021373382,0.015302195,-0.14268681,-0.2430138,-0.12759647,0.16699922,-0.23057622,0.028101634,-0.10738123,0.19874603,-0.255034,0.17315115,0.5047757,0.12776574,-0.13311668,0.027954454,0.059207365,0.2693396,0.2932014,0.18995,-0.31908554,0.25227967,0.26486653,0.006350622,0.04011496,0.03911463,0.14886682,0.028206471,-0.25402734,-0.14491986,0.1618322,0.029340288,0.07801333,-0.1753176,-0.01202438,0.124483734,-0.12283182,0.286513,-0.14015833,0.26424816,0.11494109,-0.22573866,-0.1068667,0.18528076,0.1463439,-0.07027081,0.030399257,0.085063234,0.20325612,-0.3282398,0.35672197,-0.11932553,-0.19796455,-0.40159136,-0.0768392,-0.2651075,-0.094933726,0.2396954,-0.20187831,0.022416035,-0.28024915,0.22135639,-0.09010231,0.2080175,-0.03736283,0.06480151,0.097301625,-0.0011052629,0.29699248,0.015578676,-0.375431,0.2734128,0.075293764,-0.20719644,-0.08838168,0.1145544,0.032768484,-0.30154198,0.16034539,0.15544766,-0.2525745,0.076000944,0.011030248,0.062241938,-0.23362145,-0.05698253,0.24975017,-0.17176554,-0.14354117,0.2443223,-0.03976763,0.43150985,0.061071113,-0.11097978,0.14019628,-0.07979044,-0.25999543,-0.20459205,-0.00023634365,-0.28786823,0.20824969,-0.17790481,-0.10932449,0.292651,-0.0038567449,-0.12213939,0.101511054,0.076407515,-0.07001145,-0.2123666,0.06862542,-0.27052096,0.13329944,-0.047465354,-0.037155475,-0.14565375,0.0034052026,0.5067058,-0.2039792
Michael Beetz;0.1470943,0.01759152,-0.14976212,0.112805635,0.0743562,-0.09021128,0.3947934,0.0782734,-0.15372735,-0.16368723,-0.04402341,-0.23241213,0.067800485,-0.093760625,0.19550163,-0.3496079,-0.2588684,0.58876836,0.15455185,0.24008006,0.12064081,0.11385176,-0.008824852,0.090446346,-0.11100886,0.35821712,-0.114366,-0.07393875,0.29607388,0.24199869,0.05661386,-0.23818648,-0.40756437,0.010941865,0.25062105,0.18265031,0.37430695,-0.1401777,-0.40562668,0.36027506,-0.2256756,0.18869892,-0.23724595,-0.076537095,0.17524369,-0.10043516,-0.16039816,-0.069753386,0.13069156,-0.25336957,-0.18474327,0.17186551,-0.082253456,0.05857571,0.2602768,-0.08768439,0.1297178,-0.26734176,-0.17451286,-0.22920151,-0.1209676,-0.22130017,0.059455067,0.4355928,0.002746726,-0.08842982,0.05035635,-0.10877137,0.16389123,0.084333345,-0.07658674,-0.04172651,-0.06550849,0.114618935,-0.0062494064,0.08981222,-0.5900329,0.07132869,-0.0709375,-0.12603776,-0.3139872,0.09283919,0.038278732,0.14645304,-0.18571861,0.10976011,-0.0048223585,0.27603516,0.20959464,0.15384054,-0.036041558,-0.25234553,0.14545701,-0.023000462,-0.3005175,-0.2673341,0.0621503,-0.14548439,0.21558268,0.16374792,-0.09223202,0.04406057,-0.012657437,-0.10377426,0.07582695,-0.08017684,-0.4647071,0.20140016,-0.43124035,0.1080554,-0.3474898,0.29351228,-0.20497777,0.13284433,0.16281047,-0.41523993,-0.32127988,-0.14820236,-0.107358895,-0.25410897,0.10413002,0.053346872,0.12977439,-0.18697812,-0.12367347,0.28170165,-0.06281341,0.1437042
Daniel A. Keim;0.31083295,-0.03216709,0.23925222,0.144897,0.08306638,-0.07595071,0.14969599,-0.109793015,0.21207573,-0.029896418,0.22850035,-0.13344552,-0.15837005,-0.3624812,0.1654817,0.07785079,0.04105864,-0.03973999,-0.023865182,0.21586433,-0.15021133,0.23899578,0.06874191,0.1288715,-0.009425799,0.29830477,0.2899111,0.063683935,0.047604583,-0.075068355,-0.4117376,-0.013469578,-0.1920849,0.012384182,0.0832053,0.24881874,-0.066534616,0.09690796,0.07952167,-0.23559263,-0.17628542,-0.07181647,-0.36235073,-0.0843437,-0.033561032,-0.028995715,-0.0010637012,0.022118682,0.18652487,-0.21813753,-0.3191659,-0.17370808,-0.30385518,-0.15732464,-0.74427766,-0.30848125,0.043805946,-0.11625981,-0.19204664,-0.18299778,-0.21081677,0.038751066,-0.1401584,-0.034276824,-0.10638415,0.2620617,-0.08197663,0.07227114,-0.22474633,-0.38286808,0.32378462,-0.24178492,-0.24270801,-0.14914706,-0.197036,-0.09495838,0.12832828,0.047175072,0.09932892,0.13227223,-0.40267366,0.28093472,-0.16543294,-0.28260744,0.21893173,0.032386348,-0.082390964,-0.08123633,0.04399198,0.11031098,0.18680426,-0.08081594,0.16225475,0.13546905,0.1817018,0.020605002,-0.21369684,-0.006922038,0.10268423,0.053983428,0.107454516,0.15824091,-0.13699502,-0.2491035,-0.14089973,-0.1795454,0.0901985,0.06116152,0.19501965,0.35141385,0.24705106,-0.25202242,0.21790174,0.041142575,-0.22300455,-0.14213355,-0.2731712,-0.10595658,-0.21254715,0.11520368,-0.043217085,0.13578835,0.084794275,0.3780914,0.06263083,-0.19204755,-0.21338007,0.09148451
