Gerhard Weikum;-0.057182916,-0.031595133,0.14623901,0.17480259,-0.032828618,-0.3354102,0.20639838,-0.012709894,-0.2874226,0.14350916,0.22138685,-0.051044755,-0.08401918,0.01876058,-0.09077966,-0.12589432,0.17744851,-0.3941598,-0.19716777,0.13655709,-0.07393974,-0.23584099,0.021082504,0.15741959,-0.22520071,-0.023588687,0.16602899,-0.16994414,0.56294084,-0.0133016035,0.09480719,-0.19318892,0.0055763954,-0.2450567,-0.18205613,-0.3720607,-0.104849696,0.05108427,-0.38581485,0.027010743,-0.033886317,-0.21809177,-0.11462573,-0.18901859,-0.18259229,0.12493515,0.32992035,0.04415344,0.083654165,0.020113248,0.16417602,-0.22302765,0.061384127,0.017618697,-0.603279,0.24156594,0.3184768,0.32482478,0.15238175,-0.04550761,-0.35420075,-0.054397408,-0.06902966,-0.09407489,0.1536356,-0.14739245,-0.00078188896,0.2797248,-0.017320307,-0.07229103,-0.09136022,-0.19621976,-0.23642312,-0.10395077,-0.11855489,-0.29659986,0.020952133,-0.1428265,-0.23385425,-0.040917736,-0.25831658,-0.13591695,-0.14939001,-0.11975796,-0.08345546,-0.21729502,0.34115508,0.06730069,-0.013903806,0.14540546,0.16030568,0.16056381,-0.32668805,-0.2574522,0.07264223,0.020244658,0.07644414,0.46140957,-0.04124319,0.10674597,0.050176542,0.09732026,-0.124241464,0.017399378,-0.0038458917,-0.1422825,0.10720167,-0.04803306,0.18510374,0.28266224,0.09736655,-0.019996565,-0.4184538,-0.4911698,-0.23342763,0.23364721,0.35744336,0.08920286,-0.1680028,-0.26558524,-0.3606336,-0.10097684,0.27770934,0.20384377,-0.16011873,-0.11875194,0.40293717,0.26055124
Wolfram Burgard;0.40134874,-0.24606973,-0.05517165,-0.097640455,-0.30943534,0.15414308,-0.08697025,0.12402696,0.14394583,0.18382505,0.052104115,0.108932756,-0.16446769,-0.14306153,0.11827574,0.16308126,0.16389845,-0.3551316,0.03583727,-0.120918594,-0.09180418,0.41634583,0.20742513,0.09739257,-0.29500684,-0.09512701,-0.3387258,-0.031335995,-0.018542763,-0.07663194,-0.11019957,0.23003858,-0.17231625,-0.1285818,0.2840321,-0.11741332,-0.12352156,0.21565257,0.20268703,-0.13161972,0.21227418,0.20419559,0.12513226,0.013754941,0.32244742,0.103726834,0.0960654,-0.17181776,-0.0007304967,-0.03920289,-0.034718174,0.14052324,0.30705166,-0.018561738,0.1515956,-0.17671287,-0.074667744,-0.17776948,-0.044513036,-0.105270326,0.20251878,-0.33427,0.14154834,0.2060857,0.021250263,-0.41669974,0.19888839,0.23773332,0.211376,-0.14979713,-0.05880059,0.08163765,0.18615898,0.1587546,-0.37645116,-0.18211222,-0.46150604,0.06860427,-0.14664188,-0.21842788,0.18761472,0.15126707,-0.088171676,-0.102768265,0.6294108,-0.117703825,0.2845102,0.054026008,-0.29310033,0.39800033,0.077056244,-0.07006413,0.21404569,-0.24803114,0.053361103,0.16120683,0.089515835,0.060209297,-0.02209149,-0.11552881,0.15553501,-0.037422296,0.03888404,-0.181338,0.019712392,0.0680701,-0.15229508,-0.13561359,-0.119546056,0.14942116,-0.1592635,-0.18292458,-0.5071251,0.027624343,-0.059055135,0.014157292,-0.18204683,0.10110931,-0.3778631,-0.17375742,0.09205989,-0.03318893,-0.22412018,-0.18730487,-0.15624392,-0.13049369,-0.030745614,-0.116414435
Alois Knoll;0.032730907,0.09754932,-0.26537687,0.78305465,0.11536854,0.13574095,-0.24297127,-0.06113322,-0.065123774,-0.2217821,0.07133252,0.004140972,-0.07027359,-0.07542838,0.01978862,0.1869316,0.21753728,-0.11982744,-0.0847809,0.11615402,0.02272365,0.19524069,0.06161786,0.20258984,-0.25306553,0.057572145,-0.43128625,-0.33555362,0.11471473,-0.27661964,0.027298387,0.17771804,-0.14006579,0.11295329,-0.47815603,-0.092093766,0.012229383,0.09146852,0.023328468,-0.05149976,0.3508321,0.039496005,-0.17866682,0.11402865,0.19009453,-0.077034816,-0.17451139,0.10791046,-0.20957075,-0.344997,-0.17756496,-0.004521536,0.0027082523,-0.036220126,-0.3471265,-0.081073925,-0.071358666,-0.16356233,-0.17973725,-0.2375288,0.52811533,0.20197414,0.0649989,-0.038282435,0.18400306,0.066860534,0.36653128,-0.047558483,0.11698594,-0.18750724,0.09386721,-0.17931655,-0.25634328,-0.0014066959,-0.15498051,-0.57363117,-0.3964179,-0.029509692,-0.16935563,-0.3019303,0.013143216,0.1631454,-0.09644097,-0.06885638,0.4329564,0.09625637,0.0011519628,-0.37964216,0.023296023,0.043541394,-0.08334904,0.16735363,-0.15097536,-0.17680855,0.19623907,0.024009578,0.10314752,-0.13154991,-0.05106795,-0.09601662,0.5174743,-0.053492375,-0.5906241,-0.0022942545,-0.38218662,0.22143796,-0.3925503,0.14836316,-0.110374615,-0.07567145,0.07749107,0.3420982,0.13415554,-0.40087354,-0.15234244,0.25234947,-0.30804345,-0.26383585,0.052602697,-0.011387419,-0.18912314,0.030882096,0.033260606,-0.36111885,0.44635567,0.032270662,-0.32013917,0.2687242
Alois C. Knoll;0.032730907,0.09754932,-0.26537687,0.78305465,0.11536854,0.13574095,-0.24297127,-0.06113322,-0.065123774,-0.2217821,0.07133252,0.004140972,-0.07027359,-0.07542838,0.01978862,0.1869316,0.21753728,-0.11982744,-0.0847809,0.11615402,0.02272365,0.19524069,0.06161786,0.20258984,-0.25306553,0.057572145,-0.43128625,-0.33555362,0.11471473,-0.27661964,0.027298387,0.17771804,-0.14006579,0.11295329,-0.47815603,-0.092093766,0.012229383,0.09146852,0.023328468,-0.05149976,0.3508321,0.039496005,-0.17866682,0.11402865,0.19009453,-0.077034816,-0.17451139,0.10791046,-0.20957075,-0.344997,-0.17756496,-0.004521536,0.0027082523,-0.036220126,-0.3471265,-0.081073925,-0.071358666,-0.16356233,-0.17973725,-0.2375288,0.52811533,0.20197414,0.0649989,-0.038282435,0.18400306,0.066860534,0.36653128,-0.047558483,0.11698594,-0.18750724,0.09386721,-0.17931655,-0.25634328,-0.0014066959,-0.15498051,-0.57363117,-0.3964179,-0.029509692,-0.16935563,-0.3019303,0.013143216,0.1631454,-0.09644097,-0.06885638,0.4329564,0.09625637,0.0011519628,-0.37964216,0.023296023,0.043541394,-0.08334904,0.16735363,-0.15097536,-0.17680855,0.19623907,0.024009578,0.10314752,-0.13154991,-0.05106795,-0.09601662,0.5174743,-0.053492375,-0.5906241,-0.0022942545,-0.38218662,0.22143796,-0.3925503,0.14836316,-0.110374615,-0.07567145,0.07749107,0.3420982,0.13415554,-0.40087354,-0.15234244,0.25234947,-0.30804345,-0.26383585,0.052602697,-0.011387419,-0.18912314,0.030882096,0.033260606,-0.36111885,0.44635567,0.032270662,-0.32013917,0.2687242
Steffen Staab;0.089063056,0.44688734,0.2357928,0.4022421,-0.04517087,-0.029635401,0.25616965,0.11547498,0.35263854,-0.25984046,0.07626022,0.04103561,0.14007059,-0.23098841,0.1886864,0.21733713,0.33823004,-0.13281316,0.05690704,-0.18050309,0.10612245,0.24080758,0.119288094,-0.018195352,-0.17146064,-0.10674745,-0.10749181,0.05883099,0.151401,0.44791263,-0.05179078,0.040977795,-0.15762846,0.0107873,-0.16367745,-0.06326671,-0.17375784,0.24636316,-0.37122682,-0.090615205,-0.1616276,-0.053182136,-0.42063954,-0.3603887,-0.24235632,0.18913405,-0.1277032,0.09091476,0.3557438,-0.12761594,-0.025429208,-0.34473825,-0.12073244,0.24849005,-0.21000883,0.0039166543,-0.036522303,-0.031184275,-0.14018324,-0.019529179,-0.074774705,-0.07704348,0.119704515,-0.45399356,-0.22776939,-0.13472173,0.30649582,0.19228603,0.13441496,0.031187207,0.23909631,-0.1958358,-0.17513074,0.4400448,0.109091006,-0.12349945,0.13171831,-0.16684897,0.04789241,-0.03599515,-0.19644032,-0.036733378,0.12213468,-0.018794008,0.15414868,0.08009601,0.19411801,-0.07668767,-0.029865758,0.19087496,-0.09445169,-0.15747376,0.30390373,-0.4841685,-0.088291064,-0.008595692,-0.0548677,-0.31624398,-0.100402504,0.43898916,0.0631541,0.21842632,0.028270116,0.011997406,0.060704906,-0.31971085,0.22319703,0.06808658,-0.08171232,0.15742995,-0.012952798,0.2856509,0.024109539,0.086149365,0.09491648,0.083452865,0.14425172,-0.061385646,0.07068826,-0.12163131,-0.28273287,0.029440546,0.20930238,-0.19746666,-0.15092939,-0.17464219,0.14739536,0.046958864
Bernhard Nebel;-0.02691832,-0.08303143,-0.06099835,0.25969195,-0.09228813,0.0426995,0.123369575,0.12507425,-0.09844555,0.10860422,-0.20980915,-0.098996274,-0.034882735,-0.5441426,0.38878265,0.30576265,0.021174975,-0.2800685,0.19351271,0.05901173,0.012333292,0.1941495,0.33861908,0.1884375,-0.20674515,0.048812494,-0.39949083,-0.027771434,-0.12856774,-0.08463417,-0.33996993,0.1732144,-0.25085998,-0.009615376,0.1483298,0.07588038,-0.077804066,0.18427545,0.02444934,0.07691835,0.049012966,0.32826573,0.11883154,0.03308049,0.22473131,0.09494262,0.18419729,-0.0920227,0.04270531,-0.078573026,0.070944734,-0.09771577,0.02103626,0.081250325,0.030521527,-0.44133145,0.089800775,0.32695937,0.1430193,0.05634588,0.09937621,0.28751984,0.1298235,0.32836118,-0.13139641,0.061202113,0.13321126,0.15663831,0.06156149,-0.21280058,-0.13402899,0.109604456,-0.23458083,0.2915155,-0.5433696,-0.04832722,-0.39158475,0.03261249,0.16215715,-0.29538837,0.18663545,0.11713622,-0.057579458,-0.03835624,0.07720478,-0.16003612,0.45626402,0.08186322,-0.23515569,0.17201892,0.13119753,-0.0692796,-0.017670747,-0.112249985,-0.2840869,-0.18097998,0.14700909,0.01615825,-0.064976536,-0.18953915,-0.087297834,0.085169576,0.12307982,-0.053846072,-0.0836988,0.04885595,-0.3279437,-0.083687134,-0.09414873,-0.10758546,-0.27281377,-0.3504854,-0.041712612,-0.1804431,0.057099175,-0.011994326,0.106731005,0.0013710762,-0.47597083,-0.020778865,0.0113061005,0.12976532,-0.062278952,-0.03846104,0.026129132,-0.1211687,-0.08327926,-0.21111515
Albrecht Schmidt 0001;-0.08987448,0.018582825,-0.044763107,-0.04636975,0.3300126,0.08897983,0.22739506,0.06715565,-0.37298176,0.017669002,-0.039627742,0.048609633,-0.10534063,-0.16785425,-0.0062845675,0.29408738,-0.06195055,-0.19290422,-0.09345653,-0.008883,-0.11601329,-0.047171135,-0.15824763,-0.113433816,-0.092171945,-0.20973551,-0.10182253,0.038245663,-0.14909934,-0.21281275,-0.018899709,-0.07265094,0.3261691,-0.17231464,0.050502524,-0.09088751,-0.39560744,-0.12325689,-0.32136384,-0.09354368,0.13077728,0.037088428,-0.124356836,-0.4492838,-0.0025742608,0.3648219,0.15751591,0.035028942,-0.08071099,-0.10677706,-0.33722168,-0.0059943395,0.03433821,0.16822934,-0.007482014,-0.04102063,-0.57842386,-0.3381133,-0.06025529,0.47533837,-0.108910374,0.011216359,0.2006037,-0.19543368,0.29227054,-0.07078222,0.36784306,-0.27909592,0.014867731,0.039872523,-0.17353606,0.0109903375,0.1900874,0.10126219,0.093141235,0.13830326,-0.35736236,0.0018323293,-0.077832595,-0.1055903,0.037029915,0.0023650178,-0.3002287,0.078710936,0.33882198,-0.045339484,0.016086435,0.041868676,0.07682565,-0.112704195,0.076201424,0.17749898,0.07429397,-0.38874635,0.18463458,-0.09040736,0.059484504,0.058450364,-0.1254639,-0.12000983,0.28913975,0.20051052,0.44424573,-0.07122979,-0.0801328,0.2806303,-0.18873417,-0.07867004,-0.07824359,0.08728223,-0.13044316,0.15230012,0.033428915,0.07566172,-0.012977246,-0.17077777,0.07633229,0.022074344,-0.16483784,0.13985205,0.4267056,0.14953898,-0.079200685,0.087076455,0.29930097,0.15739706,-0.07626469,0.19397141
Rudi Studer;0.015249185,0.15492965,-0.08487998,0.31902117,0.059865233,0.022722954,0.026016004,-0.18974775,0.1900855,-0.3039823,0.06363855,0.102280684,0.30668548,-0.21172385,0.37440318,0.17444627,0.098151855,0.08847484,-0.0053990097,-0.083736286,0.19052084,0.3751698,0.110768035,0.05071287,-0.276291,-0.1755852,-0.052575555,-0.052483734,0.26482314,0.55918205,0.040834192,-0.27729556,-0.032574087,-0.05505889,-0.23840412,-0.06775919,-0.22018573,-0.03753958,-0.17306322,-0.07971206,-0.33039182,-0.33039764,-0.14233439,-0.3673583,-0.21836172,0.19322708,0.077033825,-0.37871376,0.06335503,-0.31735313,0.0013129712,-0.4285519,0.13034895,0.2555298,-0.27801788,0.4912532,0.07581196,-0.18106776,-0.053978782,0.080378935,-0.30683407,0.028568864,0.1833079,-0.34684673,-0.1517588,0.041707184,0.06956988,0.40176314,0.08908156,0.02998325,-0.04004593,-0.2191824,0.002830283,0.34138423,0.0785777,-0.14208452,0.3004917,-0.06430059,0.19795081,0.0015001292,0.024997035,0.34881306,-0.033547685,0.12055723,0.10032341,-0.17168063,0.2790721,-0.15629385,-0.24039894,0.052708756,-0.2258659,0.016044999,-0.018566445,-0.11186335,0.030997483,0.32525578,0.19609547,-0.116987884,-0.02076029,-0.02696037,-0.17683057,-0.0123817595,-0.026502263,0.051194604,-0.17555581,0.20060422,-0.15847313,0.04748816,0.040377587,0.26037338,0.1789239,-0.1562449,-0.09106383,0.036078937,-0.04424534,0.13239919,-0.07151533,0.10546983,-0.0033728383,0.0033098077,-0.3547952,-0.019272422,0.027248664,0.023664193,-0.06532047,-0.25126767,0.07860574,0.026285699
Michael Beetz;0.1670433,-0.054400433,-0.017882025,-0.08188805,-0.22339028,0.22893517,-0.040682767,-0.13412295,0.08504911,-0.030713707,-0.30982292,0.28678983,-0.36779174,0.019409606,-0.06446044,0.20893823,0.31756628,-0.066724524,-0.006261969,-0.18357958,-0.27707338,0.35876656,-0.3675894,0.21172957,-0.279199,-0.4237822,-0.22486134,0.016606444,-0.15532611,-0.3070145,-0.19118793,0.23730052,0.047795717,0.10767265,0.2182602,0.08717877,-0.16260636,-0.09317127,0.024362415,0.11913508,0.13192526,0.06080002,0.26073933,-0.06676491,0.06912327,-0.029330593,0.15764143,0.15479764,0.09982954,-0.31524745,0.103233926,0.012532283,0.20565754,-0.09293537,-0.031969156,-0.20468232,-0.26216245,-0.32754996,-0.26527742,-0.1984704,0.41195118,-0.16332838,0.31983382,-0.31198233,-0.07909662,-0.19793609,0.398853,-0.112828754,0.10895218,-0.31826,-0.13995788,-0.09300026,0.12811783,0.12610687,-0.4365028,-0.2976322,-0.6536518,-0.030342558,0.10372673,-0.15029317,-0.37377098,0.23724686,-0.12051703,-0.16717812,0.04780842,0.089127675,0.28404596,-0.10109255,-0.08978782,0.09473539,-0.057407368,0.3513972,0.015247044,-0.23142767,-0.035814323,0.097006924,-0.000535104,-0.015205749,-0.055273633,0.094331786,0.28020737,-0.1026619,-0.20712301,0.22819507,-0.33321664,0.020940969,-0.4087811,0.15901127,0.14401306,0.23220327,-0.06245338,-0.0040944754,0.023420384,-0.20467283,0.09876316,0.1386502,-0.045256212,-0.16224515,0.25331253,-0.2963592,-0.07277944,0.19949865,0.024854988,-0.104925364,0.18472746,-0.11216443,-0.15582272,0.1628196
Daniel A. Keim;-0.3302007,-0.18140635,-0.07908724,-0.0827763,-0.43703035,0.044360455,0.4901658,0.55852306,0.25506,0.11029032,0.17869237,0.09465596,0.10830897,-0.25829095,0.22977692,0.11205555,0.079095595,-0.278914,0.0077691074,0.25215992,-0.18989442,0.27676505,-0.2812975,0.22690432,-0.26550582,-0.108999,0.16316625,-0.12224611,0.3039511,-0.09553473,0.15466242,-0.05075956,-0.052443247,0.12189721,-0.16894417,-0.3623839,-0.0054482967,-0.018469512,0.08812246,0.022135483,-0.09142164,0.15445077,-0.38713622,-0.3926384,0.0973073,-0.073311046,0.31183216,0.047878187,-0.16267167,0.28686196,0.08636676,0.116913244,-0.040749565,0.014010881,0.08117321,0.41030008,0.062836796,0.015123042,-0.41110098,-0.27030662,-0.32566288,0.23506074,0.2568471,0.16784203,0.08162748,-0.16112983,-0.02674256,0.1252218,0.056555364,0.22775817,-0.15822516,-0.25577405,0.0006882777,0.27013502,0.2536345,-0.041966338,0.008070568,-0.14981134,-0.068417616,-0.14626366,-0.18143485,0.10021744,-0.013037508,-0.11400069,0.18390068,-0.1260269,-0.0896572,0.092676505,0.044227533,-0.1496036,0.19527887,-0.06543074,0.088741004,-0.044780787,0.02138788,-0.14241546,0.092721485,0.00977183,0.03521112,-0.17634635,-0.030058458,0.06086783,0.01916458,0.14553154,-0.018593762,-0.02025003,-0.034207903,-0.43069404,0.11500816,0.002311578,-0.15773551,0.29352447,-0.07718482,-0.19994569,0.008543303,0.21398315,-0.24708441,0.017345073,-0.007795993,0.15994194,-0.27826384,0.34570536,0.07947972,0.39074224,0.054401465,0.18842758,0.05950809,-0.12255023
