Gerhard Weikum;0.32605124,-0.28031173,0.81990206,-0.07051979,0.61412835,-0.15500307,-1.1558892,1.3263862,0.9045339,-0.8083902,-1.271657,0.29808208,-2.211574,-0.14480871,-2.6252558,-1.6549717,2.1185367,1.2568392,0.18751243,0.8698935,-2.9568853,1.5195602,0.13281228,0.18564467,-0.59486145,0.1361976,-0.37921,2.5578072,-2.7462642,-1.8308418,0.14603803,-0.604752,0.68681324,-2.1829638,0.95555174,1.767653,-0.042773858,-1.4308017,-2.1368198,0.9667697,0.96977407,-1.2392038,-0.13974157,2.4370444,-0.538878,-0.71988446,-0.11689969,0.17993268,1.9775718,-0.6317485,1.9948667,1.436371,2.1300318,0.11940076,-0.44024843,0.71849376,-1.8190297,-0.05204202,0.87489784,-0.789948,-2.169443,3.969753,-0.50013745,0.45524773,-0.18750224,0.5552318,0.09214542,1.985249,-0.30622527,-1.3357785,1.3419489,-0.8153543,-1.4017627,2.092614,-0.48799732,-1.4800376,-0.54386586,-0.080304116,2.4413536,0.055483513,-0.31874195,0.45931813,0.96180487,0.7416206,1.0998272,-0.2320899,0.41689342,0.50326836,0.09178957,-0.66669166,-0.61088157,0.7561944,3.05703,-0.5037986,-1.6360248,1.5040398,1.374767,1.2528983,-0.16735041,-0.15583886,0.0029854276,-0.9754939,1.6555787,1.7443668,-0.72763175,0.5120704,-0.050225735,-0.39340517,0.32574388,-0.92154145,-0.9948024,-0.031876378,1.1585637,-0.097345255,-0.026697768,2.127687,0.3058178,0.82683486,1.7440039,0.82992595,0.4420117,0.1698393,0.48718718,-1.5029469,0.49336302,-1.1722755,-0.45138866,-2.1187608
Wolfram Burgard;0.8446641,0.56804544,-0.9815318,-1.7095401,1.8538997,0.28324842,2.1261783,0.1657389,-0.2796284,0.97234684,1.818109,0.7704375,-0.13323985,3.0908298,-0.37418061,-0.11120774,-0.24445102,0.18686032,1.0005559,-2.0246336,1.4849143,-0.44490927,0.8749924,0.9138198,-0.14318867,1.934917,-0.4057099,0.16579041,1.0935044,1.1782874,-0.33577496,-2.045093,0.35184625,0.12847117,-1.3611647,-1.34223,-0.60265046,0.6402029,0.16773371,-1.7199589,-0.073947206,0.04415374,-0.94415337,-1.8967975,-1.2589102,1.009981,2.178587,-0.07866099,-0.38966352,-1.3715398,-1.1192458,-3.076456,0.03768455,-1.3617226,0.72491044,0.4115697,1.9902025,0.80637914,-0.8724867,0.42102247,1.6680492,-1.4307785,-2.0252557,-1.8802959,0.7294657,0.5378691,1.4994031,-0.72449493,0.6121775,0.18361685,-1.3565145,0.42403403,-0.8021265,-2.564183,-0.46593326,-0.48875982,0.021517428,-0.87964624,-0.5264808,0.012347663,1.585958,-0.9022672,0.675323,-0.9204099,1.1072273,-1.5283644,-0.91375715,-0.01882638,-4.4389005,0.6618768,1.9989501,1.2314286,0.3003221,-0.68746144,-1.0829515,-0.9078114,0.0868614,-1.3066972,0.0033046438,-0.25376242,1.7605611,1.2357978,-0.23462133,0.32167932,-1.1625845,-1.5571789,1.8176795,-0.02725476,-0.19135745,-0.49243188,-1.7600327,0.6831466,1.9759032,-1.3507978,0.05648853,-0.3996542,1.5461935,0.17834005,0.2253121,-0.4988955,1.3268123,-0.6061147,0.68747115,2.065724,0.23320562,-0.8482412,-0.871488,0.5824912
Steffen Staab;-1.27413,1.0026691,1.0862579,0.7350258,-0.91648567,-0.20424263,-0.08261516,0.85435617,0.8728958,0.2780788,-1.8784394,-0.13527954,0.12266804,-1.4282358,0.38213235,1.6662347,1.0580243,-1.2602158,-0.7887985,-0.2629997,0.19698864,0.43999237,-0.36715063,-2.7975857,-0.17672099,-1.3168894,-0.49670285,0.20785104,-3.1301606,-1.2019517,-1.8560526,1.4350767,-1.2739304,-1.1858623,-1.0536873,1.8625637,1.088012,-2.8565712,0.6098293,0.050779346,1.1160648,-1.4645897,-0.9059919,0.28260854,0.23323216,-1.9568233,2.0747607,1.0655254,0.601778,0.2387784,1.4840772,0.37865493,-0.7667099,2.117226,-0.36731434,-0.1690063,-3.0803902,-1.0126069,-1.2593987,-0.1445402,-2.0777886,-0.857752,0.70474654,0.9239325,-0.039498385,-0.2598689,0.087337285,-0.69267565,-0.1981119,-0.73576534,1.4967781,-0.33689097,0.26739374,-0.07500289,-0.84200025,0.0448223,-0.6164907,2.262994,0.27286872,-0.017640427,-1.7443134,0.6726154,0.6110968,0.01617389,-0.25729302,-0.8943382,1.0239954,0.7950133,2.0207446,-0.8468017,-1.365821,2.1141338,1.2040695,-0.96599126,-1.008879,1.7711757,-0.38041043,0.084041946,-0.43046027,0.91075236,-1.1175566,0.9406433,0.46763626,-0.8988971,-1.3647238,0.11971856,-0.5169435,-1.7968966,0.23679224,-0.8030015,0.92745113,-0.77733684,0.17628534,-0.91865796,0.5788444,1.5602607,-1.2739245,-0.42166117,-1.4315892,0.4625884,1.2304358,1.1975863,0.9922538,-1.1043497,2.313029,0.12704623,1.4732395,-1.4485563
Alois Knoll;-1.0627701,0.42582628,0.4217584,1.5991318,1.6201893,0.2867958,1.3859527,-1.0226353,-0.1230558,1.038255,0.54639745,-0.8073446,0.15051793,0.6516149,-0.6937322,-0.048036113,-0.06690436,-1.8851701,1.3101687,-2.0046284,2.0744393,-0.47081512,0.26514006,-1.014843,0.9178944,1.4069302,-0.2092932,-0.880289,2.6564777,1.2193521,1.0625334,0.038805224,2.1645284,0.21688002,-0.3016491,0.24158515,0.685068,1.9614468,-0.63490456,0.35319355,1.3223954,0.45655486,-0.10922834,-2.2367594,-0.44381982,-0.39886424,2.0713356,0.31478393,-0.49863565,0.14226258,0.014816934,0.22708018,0.37297264,1.5602108,-0.30008084,-1.5143659,1.1613,2.3285573,-0.07712673,-0.8406944,1.8871171,-1.2857782,0.18717493,-0.90439934,-0.5890332,-0.901027,-0.96298283,-0.774217,0.15965767,-0.77122927,-1.7192274,0.1108048,0.9438066,-2.7083175,-0.8458558,2.0546496,1.3834776,0.40775678,-1.5299278,-0.65114635,1.2216601,-0.044341914,0.4899628,-1.3922292,-2.9851234,-0.4191978,-1.5192435,0.6875892,-0.048971288,-1.818082,-1.401942,0.27139294,-1.3896086,0.14346988,-0.5180474,-2.0179212,0.3648401,-1.9379547,-0.4068916,-1.3984383,-1.3487322,-1.4582161,-0.7386749,-0.5028914,1.1636144,-2.1125832,0.54673356,-0.11573,-0.6052847,0.91121894,1.9978954,-0.71502584,2.0492983,1.9239442,-1.9666344,-1.8057584,-0.93287575,-1.0429791,-0.8866729,0.40207043,0.7229788,-3.550296,0.7062264,-0.17389394,-0.27571872,-0.8041403,-0.7198864,-0.13626575
Alois C. Knoll;-1.0627701,0.42582628,0.4217584,1.5991318,1.6201893,0.2867958,1.3859527,-1.0226353,-0.1230558,1.038255,0.54639745,-0.8073446,0.15051793,0.6516149,-0.6937322,-0.048036113,-0.06690436,-1.8851701,1.3101687,-2.0046284,2.0744393,-0.47081512,0.26514006,-1.014843,0.9178944,1.4069302,-0.2092932,-0.880289,2.6564777,1.2193521,1.0625334,0.038805224,2.1645284,0.21688002,-0.3016491,0.24158515,0.685068,1.9614468,-0.63490456,0.35319355,1.3223954,0.45655486,-0.10922834,-2.2367594,-0.44381982,-0.39886424,2.0713356,0.31478393,-0.49863565,0.14226258,0.014816934,0.22708018,0.37297264,1.5602108,-0.30008084,-1.5143659,1.1613,2.3285573,-0.07712673,-0.8406944,1.8871171,-1.2857782,0.18717493,-0.90439934,-0.5890332,-0.901027,-0.96298283,-0.774217,0.15965767,-0.77122927,-1.7192274,0.1108048,0.9438066,-2.7083175,-0.8458558,2.0546496,1.3834776,0.40775678,-1.5299278,-0.65114635,1.2216601,-0.044341914,0.4899628,-1.3922292,-2.9851234,-0.4191978,-1.5192435,0.6875892,-0.048971288,-1.818082,-1.401942,0.27139294,-1.3896086,0.14346988,-0.5180474,-2.0179212,0.3648401,-1.9379547,-0.4068916,-1.3984383,-1.3487322,-1.4582161,-0.7386749,-0.5028914,1.1636144,-2.1125832,0.54673356,-0.11573,-0.6052847,0.91121894,1.9978954,-0.71502584,2.0492983,1.9239442,-1.9666344,-1.8057584,-0.93287575,-1.0429791,-0.8866729,0.40207043,0.7229788,-3.550296,0.7062264,-0.17389394,-0.27571872,-0.8041403,-0.7198864,-0.13626575
Michael Beetz;0.5628121,1.9495224,0.5056809,1.1329703,1.5323888,-0.95613533,1.1304363,-0.27168402,-1.2344918,0.7608988,2.8116798,-0.3503351,0.14147203,2.04297,-0.0104339,-0.13625608,0.37542704,-0.87182623,-1.3332962,-1.7664012,1.6993877,-1.8201511,-0.9225776,0.4071718,-0.79316264,1.2554505,-0.32540807,-0.7259227,2.7621503,-0.5132139,-0.9364217,0.04188549,1.7260324,0.4734279,-1.2293707,-0.14022924,0.90361696,0.6987914,-0.6648884,0.21448217,0.48103195,-0.3738338,-0.3949307,-1.3680782,0.8427115,-0.5689027,2.276432,-0.6686096,-0.12669465,0.76919913,-1.6411983,-1.6226656,0.4362308,0.14059079,1.1139997,-1.3981884,0.8126578,1.9198483,0.36009288,-0.78962934,0.7368102,-2.561534,-0.24474762,-0.2565218,-1.7787259,-0.42975157,-1.1670364,0.120636016,-0.14446995,-0.93501204,-2.393796,-0.54147905,0.10881603,-3.0562441,-0.749137,1.1664988,1.739013,1.4276023,-1.5205973,1.1560848,0.2863968,0.5438084,-0.17494331,-0.6149291,-0.70105696,-0.6997208,-1.2822849,-0.037905306,-2.2763321,-0.6951873,-0.33051184,0.4330945,0.39271688,0.11722972,1.5757828,-2.0116756,-1.2582128,-0.7926499,-1.3178374,0.44544283,0.696856,-0.15103061,-1.3111748,-0.45483866,1.1033058,-1.102789,1.82774,-0.5761194,-0.65394264,0.18752989,0.08922246,-1.6495905,0.8976904,0.3089327,0.67859846,-1.33321,-0.1917835,-0.769717,1.0210886,-0.21697436,-0.302341,-1.7363653,1.429474,0.26050344,1.6789473,-0.19483204,1.7074779,-0.62951607
Bernhard Nebel;-0.5324162,-0.3450125,-1.2020096,-1.6132098,1.3846306,-0.37968025,2.1838331,-0.19812907,-1.0604668,0.47264272,0.5276162,-0.21289286,-1.256572,1.1489866,0.28560126,0.40315244,0.8332136,-1.5233679,0.088941164,-2.2950277,0.29347953,0.9003836,1.2099544,0.015224043,0.17297953,0.49771482,-1.3017564,-0.53772306,0.36084628,0.4494941,-0.74497694,-2.3482928,-0.4730784,-0.9711503,-2.032744,-0.44798553,-0.6176466,-0.8688044,0.860863,-0.75555784,0.42872116,0.3230873,-0.72600746,-0.47126856,0.32782513,0.05776515,0.9747501,0.109525554,-0.24128555,-1.6096684,0.93643486,-2.7036602,0.7640366,-1.8555579,1.1258869,1.2185546,0.32385916,-0.46894017,-1.2235181,0.05609078,0.9075371,-1.2398713,-3.4359353,-2.1014054,0.6688828,-1.0899502,0.5123626,-0.1431173,0.96856177,-0.09290091,-0.32111898,0.39348006,-0.22292979,-2.8924193,-0.39996845,-0.36665088,-0.86390364,-0.46294382,1.3757918,-1.0416543,0.8770925,-1.0039123,-0.6275735,-0.7137757,-1.2133269,-0.54354817,-0.99779,-0.4046341,-3.2906482,0.35934353,1.1634233,2.1417584,-0.38421908,0.23497863,0.06862792,0.41840047,1.2421638,-0.83308667,-0.23822954,1.3246217,1.3155534,2.0888712,-0.30270493,-0.07443042,-0.05597337,-0.9073712,0.19136675,0.15637474,-0.5945926,-1.1006398,0.4182549,0.12695864,1.6764355,-2.1940567,-0.3784622,0.90163386,1.52975,0.09486067,-0.16439633,-0.8433131,1.9291323,0.38870665,0.59176075,-0.22803643,0.8696308,-1.1664797,-0.24691488,0.5592172
Albrecht Schmidt 0001;-0.29562664,1.2910736,0.09228312,-0.4274238,-0.77168083,-1.0215427,1.680284,-0.14805762,0.12291732,-0.22258098,0.22251923,-1.0280042,0.41611072,0.03803545,0.9504017,0.23382446,-1.3313398,0.3828378,-2.2947812,1.398834,-0.04340733,-0.781726,-0.5091714,0.5529358,-0.015712855,0.4568377,-0.79245824,-0.26046756,-0.24810293,-1.5560172,-1.1939833,0.30405748,-0.2995473,0.4742105,-1.2665054,-0.48502254,0.18855286,-0.46372253,0.65583795,0.202588,-0.5127872,-1.4156455,0.69797295,0.6262023,-0.163809,-0.056707542,0.39689445,-1.919736,-0.9643786,1.7624271,-0.8225178,-1.394784,-0.4437849,-1.0684909,0.3587154,0.23188044,-0.4164461,0.76942515,0.51772755,0.009337599,0.67435235,-1.373533,0.12606838,1.1088077,-1.4852087,-0.46054712,-0.30453524,0.971308,0.013173132,-1.4253505,-0.6619872,-0.21711104,-0.2261989,1.0306734,0.24860114,1.0888108,1.5978847,-0.1671832,0.61045825,0.7011033,-0.2776908,2.2953537,-1.9099705,0.7859179,-0.5213902,0.95776206,0.9709023,-0.7164077,-1.1413788,0.97141486,1.8370613,-0.9605645,1.0027124,-0.94377065,1.8684939,-1.1197757,-2.0439093,0.45057854,-1.2431089,1.779481,1.5915161,-0.05817091,-0.673875,-0.90256274,0.1305513,-0.73021746,-1.2450802,-0.41111407,-1.7866716,0.034479223,0.22353171,-0.9965431,-1.6727989,-0.19239363,1.2001873,1.0971265,-0.80346376,0.011759042,2.0932863,-0.8273544,0.14138211,1.4153895,-0.3078646,-1.0605752,1.3123921,2.001571,1.5828767,1.4117821
Daniel Cremers;2.0961306,1.6322811,-0.73992515,1.1442102,2.1233246,0.8890916,0.45112208,1.7320371,-0.7134183,-0.355071,2.678088,0.35722867,-0.03626375,2.2631304,-1.2407917,-2.0047262,2.2160068,1.039733,-0.5829244,-1.7599959,-0.26365593,-1.8717856,0.047424577,2.0989728,-0.06328727,1.0719783,0.4340001,-0.26980928,3.0037887,-0.12890325,0.5945049,-1.1710823,1.0585318,1.2824516,-0.44292927,-1.4736377,-0.3032162,0.9036227,-2.229005,0.4213861,-0.1616178,1.0504644,-0.46778002,-1.2956618,-0.33382115,0.53131014,1.1700921,-1.1639584,0.18657887,-0.9080547,-1.6258352,-0.35762584,1.8981646,-0.69962347,1.9565798,-1.0635842,1.0316205,0.22692452,-1.1535131,0.34621188,1.6289606,0.13381343,-2.6453445,-1.0452375,-1.0712181,0.5772404,0.060791086,-0.6332568,0.33398294,-1.3921576,-2.7240162,1.2061523,-2.0189748,-2.161661,-1.4663044,-0.20146503,2.0873146,0.107626416,-0.7637561,0.5165685,0.12216934,0.07635428,0.89390606,-0.0296218,0.22951247,-1.0105075,0.6844217,-0.23388445,-3.4408514,0.032619767,1.2451566,0.98464096,1.365007,1.2660383,0.028412893,-2.1947148,-0.65310836,0.42974755,-0.96596473,-0.52787805,-0.40088588,-0.08275149,0.41377816,-1.3975716,0.3818451,-0.6776677,1.4623407,0.5692389,1.2576832,2.3654256,-1.3480358,-0.017616808,0.9184747,1.1775932,-0.11347468,0.7051104,0.83014476,0.9324543,2.065979,-0.7125055,0.5710573,-1.697221,0.53783464,0.20239443,-0.1479037,-0.08527976,1.0437071,-0.21995696
Daniel A. Keim;2.211375,0.097357675,1.5329883,1.9087006,0.22691274,0.22286877,-0.8683936,2.018409,1.0780958,-1.7906088,0.018608212,0.4465024,-1.8798279,-0.5039066,-0.50978553,0.22114427,0.8948296,3.2164314,-1.76861,-0.31474134,-1.6096201,0.5218934,-0.17183945,0.44525835,-0.9120408,-0.33336738,2.148408,1.1197182,0.035303127,0.889943,0.20361112,1.1808605,0.279972,-1.0718013,0.321071,-0.4101679,-1.4981831,-0.1573094,-0.6884304,0.65250343,0.7900953,-0.720754,-0.33654156,1.1307551,-0.7560321,-1.6263623,0.049864195,-1.1598821,-0.60356236,1.6603808,-0.51328325,-1.3755125,-1.3572247,-0.097539954,-0.29077843,1.1036361,-1.2220376,-1.4671979,0.78142625,0.6162627,1.5315001,1.4509711,0.7071059,-0.92491186,-0.3449748,-0.39291757,-0.983735,-0.9757586,0.27402624,-1.256126,2.1479194,0.13339663,-1.009151,1.3936328,-0.51776105,-0.38032815,-0.12177835,-1.1314133,2.2330508,-0.0009368784,-2.806501,0.17310447,0.8042942,0.566122,-0.2720452,-0.72020376,2.3679078,0.12852234,1.0764266,-1.6620296,-0.44799492,0.1665402,0.56220114,0.02923163,-0.3153995,-1.5557513,1.6133642,2.340847,-0.20500761,0.16882236,0.9060161,-1.3719829,0.10435661,-0.99344856,0.4652431,0.44045347,-0.71276116,-0.60022235,-1.5083789,0.32351857,-0.36224428,-0.1503413,-1.3723446,0.7279104,-0.76917547,-0.7357399,-0.46970162,-0.56595373,2.5175574,-1.3490224,1.4339885,-0.10000409,-1.296042,0.33563814,0.07829614,-1.6508377,0.7601867,0.4501972
