Wolfram Burgard;-0.34213397,0.3719078,-0.6682875,-1.7760718,1.7872356,-0.39895722,2.8081856,-0.13226305,-1.8850241,1.2673368,-0.17503414,-0.9129925,-1.1729053,2.3914766,0.7779361,-0.3666016,0.47444224,0.757563,-0.27645057,-2.3431816,1.7586914,0.46056598,0.16589363,0.12594695,-0.4927486,1.4291339,-0.6010432,0.3997055,-0.45292535,2.6477046,0.0040037017,-1.6847069,-0.19594082,-0.7584949,-2.122147,-2.291431,-1.7727586,0.87141895,0.00665769,-1.7916251,-0.08834647,-0.11102621,0.5637223,-1.6426256,0.7250805,1.0668638,2.9334555,-0.6947144,-0.65675837,-0.6425888,-1.1063436,-3.6706421,1.1442497,-1.2091426,0.45983487,0.7991875,2.1448712,-0.4514406,-0.49444178,-0.52311057,1.5130112,-2.0652351,-0.8996054,-2.6223571,2.0064678,-0.12421591,0.90840596,-1.9881306,0.44012222,-0.63188523,-0.34466273,0.8891247,0.010180759,-2.0266902,-0.009861125,-0.75736326,1.241137,-0.037778527,1.343586,0.046020303,2.6987789,-0.6270329,0.69761825,0.021033313,-1.2659024,-1.1029212,-2.5259347,-0.63208205,-4.5648174,0.06611099,1.0367029,0.14881106,-0.35440725,-0.2547844,-0.14764045,-1.7464333,-0.04319274,0.32090235,-0.13660167,-0.15259276,2.327162,0.39877465,0.47752473,0.3202845,-1.4879644,-1.155912,2.01165,0.6609949,-2.216341,-0.75410134,0.66950786,-0.21025196,0.848675,-0.40504456,0.30603507,-1.1268951,0.51736355,0.2823109,0.714377,-0.28770387,1.2137343,-0.61786395,0.09365408,1.3474435,0.9751194,-1.1434444,1.3129435,0.8637162
Gerhard Weikum;-0.77919537,-0.3030394,0.15460858,-0.6665614,-0.04193102,0.028944464,-1.3133098,0.8318481,-0.7739753,-1.623291,-1.9197732,-0.3539289,-1.3991146,0.040426023,-2.4759297,-0.9627852,1.4484553,0.07862105,-1.3427606,0.9206033,-2.504431,1.9919474,-1.0273362,1.875545,-1.0305177,-1.4572543,-1.6361424,1.9249684,-2.1569397,-1.7553828,-0.4200122,-0.8278071,0.75829923,-1.49053,-0.00027667513,2.3292987,0.7497342,-0.67216253,-1.9917777,-0.068015635,0.45395535,-1.9892435,0.14211145,2.2369533,-0.10003617,-1.4091153,0.67701405,0.6110998,1.5027945,0.74984246,0.66284764,1.5335779,1.4428198,-0.07373961,-1.106362,0.486098,-0.02596248,1.3684735,1.3205239,-2.4649396,-1.8539665,2.900116,0.06350889,1.3039058,-0.5315185,0.21189207,0.77934945,1.2159855,1.4019858,-2.1016102,2.3699183,-1.525935,-0.069794975,2.442992,0.19712992,0.5186873,-0.92627954,0.98435235,2.6428914,-0.60212684,-0.87041795,0.7737342,0.6482836,1.0041443,-0.91144085,0.5945375,-0.027865404,0.19150086,-0.86856353,0.3360969,-0.75649357,-1.1022007,2.4825225,-0.6381727,-1.5824589,-0.13670279,1.5784115,0.29435593,-1.3574014,0.884952,-0.3831656,-1.8835539,1.8824537,1.5792426,-2.259085,-0.70187724,0.40426278,-0.26267356,-0.69781804,-0.88797206,-0.6329957,-1.5780476,0.7626563,0.562233,-1.0779214,1.9676968,-0.41693687,0.7576346,2.1885607,-0.5926254,0.67990404,-0.7973287,1.0774394,-1.0419312,1.4365784,-1.9318348,-0.7054267,-1.7989476
Steffen Staab;-1.1231983,2.5771244,0.24973501,0.22811623,-3.0687768,1.1126674,-2.6107066,1.9826245,0.87953734,0.1651489,-2.6850631,0.9343792,1.7691306,-1.3625063,-0.6112959,1.6232961,0.2778963,-1.4387368,-0.20473696,1.0410434,0.8029815,0.07308481,-1.3806828,-1.7725207,-0.049954742,-1.6133026,0.4357067,1.0219249,-2.2868733,-3.0221193,-1.2080349,0.18526852,-0.65527076,0.23529029,-1.1066694,1.1691935,0.15435253,-1.6129302,0.48546797,-0.27877876,0.7485836,-0.8748814,1.1490897,0.113434725,-1.8198174,-1.3624197,1.8805044,1.4414871,1.0795635,2.2223163,0.5530267,0.22958805,0.37298626,0.60408753,1.1867893,0.17125946,-1.9893693,-0.9488163,-2.0506146,-1.1568718,-2.4264176,-0.5613507,-0.124094695,0.81517243,-0.043725763,-0.47974053,0.67533195,-0.5402388,-1.0734105,-0.5976941,1.841653,-1.0437695,-0.56215936,1.1291876,-1.7260492,0.8431714,0.34705374,2.6869838,-1.0548747,-1.2353022,-2.064556,1.6661665,0.23409286,0.58083296,0.475622,-1.9979523,2.3430836,0.6158787,1.2555934,0.29174927,-0.5509558,0.6550266,1.6592772,0.17229645,-1.3255537,1.5517944,-1.1578219,-1.6318651,-0.8185608,0.5523873,-0.22674973,0.92913294,0.6714177,-0.73642176,-1.1854045,0.083667144,-0.38732904,-1.9150013,1.0531505,0.1478192,-1.3256617,-0.95308703,-0.30479747,-1.5884122,-0.009988698,1.2682189,-1.5008866,-1.6060473,-0.3792943,1.1786522,0.53126067,1.6455749,1.9495022,-0.38796404,3.2232957,1.0397873,2.3178494,-0.79102117
Bernhard Nebel;0.2272522,-0.31066194,-1.2828188,-1.6998231,0.2856725,-0.4338356,4.3850226,0.9251426,-2.9333248,-0.77225983,-0.1562256,-1.0501552,0.11530586,1.7499459,1.0163254,0.5606334,1.3886017,-0.849411,-1.2106252,-1.8412604,0.590198,1.0679489,0.4329438,-0.27584136,-0.22038682,1.2383363,0.19987978,-1.1675017,-0.37973094,0.25665092,-0.9580478,-1.6045414,-0.36296466,-1.4258125,-3.563634,-1.259086,-0.58393955,-0.052104007,0.286883,0.055000633,0.11879436,0.084595546,0.3869228,-0.39498505,1.5936309,0.19903442,1.9019134,0.3693616,-0.5872898,-0.622564,1.0103341,-2.1284688,1.4290979,0.2614186,1.7429723,0.93367785,0.892,-1.6128098,-0.6905363,-0.6804748,0.4377825,-1.4858615,-2.8104038,-1.4197167,0.91931635,-1.1157634,0.32943964,-1.109316,1.2278279,0.3848261,0.07949123,0.7950175,0.7218531,-2.6673033,-0.07731846,-0.07358163,-0.06383236,1.218785,2.1772056,-2.2642887,0.50213736,-1.088872,-0.14189228,-0.61244226,-1.6300007,-0.31375602,-1.5484107,-0.47019547,-3.6890252,1.4917644,0.86622554,1.942556,-0.862749,0.7431295,0.3969288,1.2265077,0.86160713,-1.0938438,0.2652613,1.1657202,1.5324204,1.7848414,1.1664604,0.76270604,-0.7084356,-1.763081,-0.31718567,0.82015043,-1.544815,-0.6298033,0.5053916,-1.8168156,0.8717395,-1.3849056,0.23264289,0.87006915,0.60452396,-0.08922343,0.002546465,-1.403906,1.5354859,0.7260244,0.16353089,-0.07222635,0.88993204,-1.9762223,0.7873026,0.06713258
Alois Knoll;-0.37291458,0.2172859,-0.43558073,1.1390631,-0.11381493,0.57719326,1.8073385,-1.1758853,0.22937953,0.19319524,0.62350506,0.008841582,-0.62549764,-0.7774238,-0.6025052,0.3523526,0.53294754,-1.5666946,0.55645245,-1.6532786,1.8741616,-0.21733966,0.71880615,-1.6186224,0.8337762,-0.047093008,-1.4940023,-0.70671725,0.06515478,0.21070872,-0.30982298,0.24774425,1.5941337,-0.9883984,-0.868706,0.043663055,-0.17970131,1.3062721,-1.7037508,0.52408624,0.9944497,-1.2077869,0.0050214487,-1.8021674,1.7270412,-1.0509768,1.0506463,-0.69393194,-0.47715786,0.92886347,-0.124194026,1.568409,0.32871678,3.2312615,-1.1019398,-1.9664116,-1.6413652,1.4719795,1.2993745,-0.19790375,1.5381855,-1.139051,-0.31364396,0.11937271,0.5042663,-0.17038485,-0.62267464,-1.3292087,-0.34942064,-0.0045125196,-1.7382839,0.81822985,0.5046251,-1.8758727,0.4630339,1.9574805,2.4290512,1.2255132,-1.4924964,-0.7331816,0.9234554,-0.68550146,0.5519368,-1.6460088,-1.9528465,0.035856728,-0.7085493,-0.31786066,0.3788735,-1.7921021,-0.70612365,1.4647124,0.033859205,-1.9256601,-1.842735,-1.5490459,0.23806216,-1.0245817,1.0547731,-1.5726842,-1.1327958,-0.9992993,-0.90288126,0.49353337,0.47312495,-0.82028407,1.3907948,-1.538211,-2.0697987,0.65125567,0.47831064,-0.60287994,1.8822545,3.4965386,-1.7170199,-0.981126,-2.2804341,-1.2739494,-0.08972813,-0.3101815,0.9584324,-2.594722,1.3362789,0.570184,0.09692818,-2.058471,-1.7761929,-1.0228918
Alois C. Knoll;-0.37291458,0.2172859,-0.43558073,1.1390631,-0.11381493,0.57719326,1.8073385,-1.1758853,0.22937953,0.19319524,0.62350506,0.008841582,-0.62549764,-0.7774238,-0.6025052,0.3523526,0.53294754,-1.5666946,0.55645245,-1.6532786,1.8741616,-0.21733966,0.71880615,-1.6186224,0.8337762,-0.047093008,-1.4940023,-0.70671725,0.06515478,0.21070872,-0.30982298,0.24774425,1.5941337,-0.9883984,-0.868706,0.043663055,-0.17970131,1.3062721,-1.7037508,0.52408624,0.9944497,-1.2077869,0.0050214487,-1.8021674,1.7270412,-1.0509768,1.0506463,-0.69393194,-0.47715786,0.92886347,-0.124194026,1.568409,0.32871678,3.2312615,-1.1019398,-1.9664116,-1.6413652,1.4719795,1.2993745,-0.19790375,1.5381855,-1.139051,-0.31364396,0.11937271,0.5042663,-0.17038485,-0.62267464,-1.3292087,-0.34942064,-0.0045125196,-1.7382839,0.81822985,0.5046251,-1.8758727,0.4630339,1.9574805,2.4290512,1.2255132,-1.4924964,-0.7331816,0.9234554,-0.68550146,0.5519368,-1.6460088,-1.9528465,0.035856728,-0.7085493,-0.31786066,0.3788735,-1.7921021,-0.70612365,1.4647124,0.033859205,-1.9256601,-1.842735,-1.5490459,0.23806216,-1.0245817,1.0547731,-1.5726842,-1.1327958,-0.9992993,-0.90288126,0.49353337,0.47312495,-0.82028407,1.3907948,-1.538211,-2.0697987,0.65125567,0.47831064,-0.60287994,1.8822545,3.4965386,-1.7170199,-0.981126,-2.2804341,-1.2739494,-0.08972813,-0.3101815,0.9584324,-2.594722,1.3362789,0.570184,0.09692818,-2.058471,-1.7761929,-1.0228918
Albrecht Schmidt 0001;-0.7697869,0.98058444,0.22008139,-0.3640398,0.17536758,-1.3189758,0.59138346,-0.1267195,-0.6779786,0.19313627,-0.3727675,-1.292479,0.74248606,1.7297202,2.0002384,0.6823037,-0.7845256,0.5154907,-1.9677876,0.6424169,1.0788972,-0.8357499,-0.9173725,-0.24747501,-0.78420186,1.1680512,-2.3380222,0.3925644,-0.035349507,-0.7993061,-0.07072151,0.45445722,1.0585028,1.5043919,-0.7009967,-1.7689673,0.03127384,-2.034751,0.37268996,0.75351095,1.3008939,0.15475875,1.4017123,-0.860418,-0.86970097,-1.1095352,0.8297494,-1.8074355,-1.722222,2.6012146,-1.2585218,-1.635219,-0.4278515,-1.4397928,-0.46073973,1.1011176,-0.75219345,0.6589498,1.0092546,-0.44059414,1.1271925,-0.6374968,-0.20652345,-0.22271931,-0.654798,-0.7572579,0.32370415,0.983953,0.027948739,-0.82120794,0.18141691,0.15608746,0.8087929,1.3385588,-0.8228057,1.3885556,2.6636636,0.5787906,0.09659538,0.9568737,0.2741325,3.2172163,-0.63769776,1.3649706,-1.6411142,0.97292656,0.01932163,-0.3124992,-0.8612054,1.5061582,0.8824814,-0.6647127,0.90352714,-0.26758924,1.7665632,-0.70471364,-2.7779222,0.08275388,-0.6810824,1.5430236,2.3993623,-0.19451135,-0.59509706,-1.3023074,-0.86834043,-1.7055576,-1.2631487,0.25035504,-2.6931775,-0.6350825,-0.3839846,-0.74561673,-0.9389508,-0.85846174,0.49892503,0.074100606,-1.0334361,0.0075653708,2.5636544,-1.1212381,-0.8408608,1.1686188,0.26045632,-0.9676749,0.33223027,1.5079646,1.2187505,1.883145
Rudi Studer;0.27481702,1.1046615,0.2797848,-0.23151481,-2.13157,-0.19065355,-1.8829116,0.6783452,-0.2544725,-0.4782419,-2.5269551,0.48742956,0.35568073,-1.3191619,-1.4434175,1.2377462,1.7067746,-0.372418,-0.82763386,-1.6110744,1.3215077,0.98194623,-0.1716867,-1.2110001,-0.7965006,-1.7721033,1.5531204,0.16464728,-2.4086845,-0.16698468,-0.011518348,0.061428998,-1.057673,-0.41095623,-0.5209619,-0.3606668,0.14438033,-2.0332,0.33714798,0.5994108,0.7396202,0.26771736,1.3187515,1.1075141,-2.313263,-1.2454953,0.8863667,1.3679385,1.6917645,1.8910971,0.514383,0.62180436,-0.7771846,0.02423408,0.64945817,1.4613465,-2.6160285,-0.6727535,0.01675996,-0.59911734,-2.2193365,-0.93812734,-1.3812516,1.4580175,1.907067,-0.7077359,1.5809098,-0.2715625,-1.973649,0.33114144,0.16034363,-3.0319536,0.50204945,-0.78140116,1.1345528,2.5852752,1.2883867,0.9575576,-0.74670154,-1.6318551,-0.88895154,0.21419817,0.014954974,0.95333457,0.98406756,-1.2102144,0.5203913,0.92124677,-1.6146045,-0.67606354,-1.9688932,-1.6763883,1.5231421,-1.8105766,-0.15851596,1.041211,1.2571309,0.33857015,-0.33290067,0.8205439,0.14885755,-0.6100635,0.9832939,-1.2131443,0.07950481,-0.78766066,1.1701131,-1.3032932,-0.21710859,-1.7898171,1.2129819,-1.8132437,0.2942906,-0.11354585,1.1001713,2.4506109,-0.22087507,-2.1216512,1.184986,0.25843698,-0.5788153,-0.038918976,0.38685027,-2.1055784,1.3550252,-1.1225064,0.09163314,-0.18094206
Michael Beetz;0.3395979,1.843172,-0.17218554,0.01748706,1.0765016,-0.63162076,0.93511516,-0.8157463,-2.2930474,0.60395277,1.3595481,-0.14094989,0.7621819,2.7286115,1.4681852,0.09253528,1.245402,-0.52366406,-1.7265689,-2.2979143,1.8933625,-2.2503412,-0.11644007,-0.640799,-0.5849381,2.0624156,-2.2302,-0.44997475,0.6813816,0.1320187,-0.75531715,0.5519623,1.2206527,-0.001106819,-1.8626478,-1.9133583,0.04625886,-1.0386935,-1.0685472,1.0908701,0.5672032,-0.09126882,1.2091869,-1.9910971,0.39643788,-1.3979219,1.2969306,-1.23837,-1.1270548,1.4369617,-1.8941405,-1.5331471,1.2236756,0.16626391,-0.15858977,-0.8519152,0.6975781,2.1884797,-0.17939818,-1.5179113,-0.0756229,-1.8202224,-0.48063347,-1.8038002,0.8840791,-0.5729167,0.5618069,-0.51556814,-0.95788425,-1.0716255,-2.03965,-0.39403036,0.9649226,-2.1396377,-0.40531197,0.65010375,2.922072,1.6993101,-1.1037976,1.4024082,1.8785788,1.1824135,0.38702855,-0.090849794,-1.6190771,0.42255974,-2.3218622,-1.4197992,-2.4774873,1.2265217,0.19223097,0.7999728,-0.2882146,-0.60023755,1.8626815,-1.8823884,-2.4350786,-0.84574103,-0.7556689,0.44867682,0.92027783,-0.57175094,-0.2808859,-1.0773423,0.691896,-0.94299066,1.2644237,-0.049358547,-1.1437062,-0.448148,-0.12747583,-2.1791618,1.2181296,0.55502295,1.022391,-0.47989377,0.0011729504,-0.5315847,0.7027274,-0.15233235,-0.9000206,-1.7869276,2.0884345,0.45041913,0.043168172,-0.17814173,0.8959113,0.3866473
Hans-Peter Kriegel;-0.41281226,-0.777954,0.96412593,-1.2422482,-1.6417626,-1.1668588,-0.0551339,0.09011489,-1.4187778,0.052922826,0.20464985,0.29750496,-1.1046156,-0.93910784,-0.6526289,0.07150582,-0.6598979,0.47000927,-2.0556803,0.29781544,-1.0573558,2.0225742,1.3181213,0.3904373,-0.6956003,-1.3058366,0.18498997,-0.14149304,0.79305977,1.140104,1.3285712,-0.17617479,1.5436311,-0.2047281,0.90450954,-0.75102806,-0.9765147,-1.5119436,0.8887022,0.39331278,1.2618303,-0.5328693,1.2255955,0.1642256,-0.6529724,-0.5506894,0.5034916,0.29407296,0.1986101,2.6199508,0.932469,-0.9239205,-0.22553329,-0.43941602,-0.77062196,1.0025057,-1.2778232,1.1671869,1.0296699,-0.1825501,-1.1882218,-0.20756124,-0.50480884,0.5148841,-0.51682574,0.19611844,-1.6727042,-1.3605039,-0.48725834,-0.3732575,0.73165786,-0.49795312,-0.9708435,0.526564,-0.20167166,-0.18465161,-0.8599689,-0.387466,0.06888915,0.8076576,-0.10958583,0.15063007,0.6269098,-0.47701955,0.5202257,0.051757194,1.1645204,0.4638121,0.9038442,0.3299473,0.4853843,-0.109953366,0.7999535,-0.2977552,-1.1039922,-1.5597934,0.76451313,1.3684784,1.7770522,-0.44771835,2.4272587,-0.11709456,-0.850881,-0.23302643,0.49664846,0.73030114,1.2880167,0.03258029,-1.703406,-0.9032947,0.3563977,0.80170614,0.21734035,0.8812514,-1.7139454,-0.67443717,-2.8514302,-1.1914985,1.9043523,0.54725003,1.6517136,1.3215878,-0.10724351,-0.5617251,2.7802534,-1.0901424,1.2923243,-0.14529641
