Gerhard Weikum;0.104102045,0.86700284,1.7006053,0.010682707,0.1817552,0.3537327,-2.0627832,0.9445863,0.9947666,-1.41563,-0.67741156,0.8406214,-1.2047929,-0.38846812,-2.5564377,-1.0835996,2.5157979,1.8793948,-0.35971203,0.29771394,-2.5478535,0.76511353,0.01678527,0.97185284,-0.3812008,-0.96725726,-1.4204981,1.8455079,-3.709975,-1.5446926,-1.1285741,-0.54878575,0.15811694,-1.6414325,0.75861,1.3759822,-0.01526349,-0.9619425,-1.6049762,0.57961756,-0.11750679,-1.0838499,0.115759656,2.4669237,0.3390684,-0.11788165,0.8580751,0.6102811,0.58982867,-0.18883243,1.2868232,2.388976,2.308172,0.630009,-0.5500255,0.8414104,-1.4814167,0.21460658,1.3864998,-0.49574652,-2.0365705,4.3676353,-0.6819952,0.5438462,-0.85229343,0.12428827,0.41665518,0.40066028,-0.2220909,-1.2412422,0.47967413,-0.14171565,-1.0400342,2.1226852,-0.14733124,-1.3813561,-1.2925302,1.2421238,2.2832162,1.7865435,-0.0047710766,0.7774582,1.0093807,1.5261685,0.3520165,0.88114667,-0.39068997,0.012008015,-0.52620924,-0.33205402,-0.9389209,0.19472371,3.2510605,-0.93574005,-2.3442683,1.0751,1.1586125,0.66469646,0.85485834,-1.3041757,-0.5938831,-1.7632765,2.4485579,0.3809432,-0.71767145,0.101414554,0.07988747,-0.37455162,-0.09571123,-1.1196247,-1.0748639,0.1640194,1.9798878,-0.7585332,0.23840621,1.6516881,-0.23667732,1.1331717,1.811411,1.0613217,0.30419788,0.7410292,0.122914575,-1.1420299,0.33049384,-1.3995949,-0.27425376,-1.3538709
Wolfram Burgard;0.33253396,-0.05113691,-0.57997084,-2.1466954,-0.024845315,0.29452956,1.4661661,-0.03059059,-0.61850566,0.8344852,1.6370853,0.8141746,-1.809872,2.0088873,-0.10045834,0.079837054,0.74923795,0.12681654,1.7282931,-2.7491484,2.1071465,-0.02139131,0.10803009,0.0753717,0.83900046,1.6631548,-0.45932794,0.9306363,0.38045344,1.3906046,-1.0793319,-1.7626568,1.9497225,-0.29907128,-1.2863553,-1.8891721,0.41622427,1.1049181,0.7199276,-2.760871,0.10606588,-0.034125946,-0.9541187,-1.3629246,-1.6331519,0.84245765,1.9561236,0.08541118,-0.9270296,-1.7075026,-0.84960735,-2.7094133,0.7673039,-1.1089978,1.5615699,0.33324024,2.223641,0.32793474,-1.4696814,-0.027286958,0.97482616,-0.93787134,-2.1700912,-1.5439281,0.33820283,0.5070172,-0.21276851,-1.490556,0.79082257,0.3677741,0.7872157,0.86243534,1.146736,-2.764028,0.07290332,-1.6178586,0.3174084,-2.001123,0.076277025,-0.81537247,1.7668316,-0.18487191,2.1877928,-1.4406302,0.20067362,-1.3198307,-2.006793,0.27007544,-3.4445524,0.73215276,1.4794744,0.39112568,0.5839871,-0.8153036,-0.42323467,-1.112528,0.5073431,-0.585332,0.25915858,0.30262026,1.0493082,1.8199202,-1.8106406,1.0900778,-1.0778143,-0.6069354,1.20926,0.15625405,-0.43431637,-0.39337426,-0.21400633,-0.034160566,0.60633975,-2.1785164,-0.6412841,-1.6280792,1.4444728,0.64644605,0.68300265,0.34077948,1.3366725,-0.28784305,-0.374229,1.3093612,-0.23857675,-0.66366124,-0.81345654,0.21945234
Alois Knoll;-1.0357777,-0.5592616,0.602273,0.51519465,1.1552716,-0.15280646,1.3909005,-0.8389324,-0.107652105,0.8889368,0.8454756,-0.3174992,0.12785591,0.18768331,-0.6937442,0.19289885,-0.24222842,-2.184611,0.9148684,-2.0064633,2.7355454,-0.25080422,0.09387903,-1.4532951,0.60278136,1.5407715,-0.45251468,-1.2793653,2.1758668,1.7628566,0.9487687,0.036494475,1.8858806,-0.040362265,0.4005699,-0.18284966,1.2936069,1.5539948,0.32551613,0.6071067,1.9669403,0.47171372,-0.36136678,-2.5887706,-1.4482974,-0.24299838,0.5644768,1.1554174,-0.81042725,1.0651327,-0.16715284,0.9183488,-0.24279143,1.4019738,-0.37991145,-1.2250905,0.378829,1.9832264,-0.015384734,-1.5202742,0.8596185,-1.511858,-0.013518268,-0.40953887,0.15972425,-0.4119839,-0.47743127,-1.6526743,0.32486203,-0.22917598,-1.242727,0.487809,0.9845664,-2.897727,-0.99171454,1.0882864,1.7592188,-0.77110815,-1.3685844,-0.8265749,0.83609647,0.6727676,1.177289,-1.9243429,-2.499882,-0.44928524,-1.6928279,1.0280225,0.06443374,-1.8712093,-1.3660873,-0.79508555,-0.98523813,-0.26545933,0.17245235,-2.4183066,-0.30549842,-0.82308966,0.10117192,-0.31333914,-1.6331007,-0.4693076,-1.8587759,-0.47051856,0.36312926,-1.6248599,0.69250613,-0.12979575,-1.4596972,1.7574655,2.2701561,-0.7662834,0.94987094,1.6188235,-2.6517136,-1.2449526,-0.8387546,-1.2018801,-0.7613368,-0.31581864,0.8206199,-3.4270494,0.76118803,-0.5341647,0.2995511,-0.79193413,-1.5432847,-1.1310525
Alois C. Knoll;-1.0357777,-0.5592616,0.602273,0.51519465,1.1552716,-0.15280646,1.3909005,-0.8389324,-0.107652105,0.8889368,0.8454756,-0.3174992,0.12785591,0.18768331,-0.6937442,0.19289885,-0.24222842,-2.184611,0.9148684,-2.0064633,2.7355454,-0.25080422,0.09387903,-1.4532951,0.60278136,1.5407715,-0.45251468,-1.2793653,2.1758668,1.7628566,0.9487687,0.036494475,1.8858806,-0.040362265,0.4005699,-0.18284966,1.2936069,1.5539948,0.32551613,0.6071067,1.9669403,0.47171372,-0.36136678,-2.5887706,-1.4482974,-0.24299838,0.5644768,1.1554174,-0.81042725,1.0651327,-0.16715284,0.9183488,-0.24279143,1.4019738,-0.37991145,-1.2250905,0.378829,1.9832264,-0.015384734,-1.5202742,0.8596185,-1.511858,-0.013518268,-0.40953887,0.15972425,-0.4119839,-0.47743127,-1.6526743,0.32486203,-0.22917598,-1.242727,0.487809,0.9845664,-2.897727,-0.99171454,1.0882864,1.7592188,-0.77110815,-1.3685844,-0.8265749,0.83609647,0.6727676,1.177289,-1.9243429,-2.499882,-0.44928524,-1.6928279,1.0280225,0.06443374,-1.8712093,-1.3660873,-0.79508555,-0.98523813,-0.26545933,0.17245235,-2.4183066,-0.30549842,-0.82308966,0.10117192,-0.31333914,-1.6331007,-0.4693076,-1.8587759,-0.47051856,0.36312926,-1.6248599,0.69250613,-0.12979575,-1.4596972,1.7574655,2.2701561,-0.7662834,0.94987094,1.6188235,-2.6517136,-1.2449526,-0.8387546,-1.2018801,-0.7613368,-0.31581864,0.8206199,-3.4270494,0.76118803,-0.5341647,0.2995511,-0.79193413,-1.5432847,-1.1310525
Steffen Staab;-1.9245572,1.0860535,0.82330006,0.70725465,-1.119274,-0.48830703,-0.53724736,0.39137185,1.0637604,-0.28342927,-1.0194982,0.4920709,0.39210033,-1.3762593,-0.6453483,1.974246,1.3676641,-0.80100703,-0.7348779,-0.30365163,0.41568887,1.0736804,-0.0014671418,-2.1009982,-0.12390357,-1.193433,-0.07964523,-0.9047552,-2.8329818,-1.342919,-1.3045235,1.4330757,-1.369454,-0.58552283,-0.7286647,1.2992634,1.1679102,-2.5483408,0.49636835,0.6741955,0.40700883,-0.73122567,-0.49990433,0.5884316,-0.31817508,-0.83749455,1.8389511,1.3748164,-0.0007888935,0.5545514,1.4336779,0.17405133,-1.2180613,2.3003986,-0.66939145,0.03311463,-1.9638449,-0.38277295,-0.8147332,0.5566844,-1.6512767,-0.7660624,0.9264298,1.0095636,-0.24537982,-0.28960493,0.9378827,-0.8125605,-0.8015316,-0.2907085,0.20308381,-0.6435876,-0.1746644,-0.45800403,-1.272753,0.74006855,-0.98954964,2.908507,-0.2786989,0.40929517,-2.0162535,0.9160973,0.85321796,0.7626383,0.20808733,-0.9493286,1.7438042,0.5147572,1.754459,-0.6940976,-1.7285917,2.1368353,1.3569235,-1.4043057,-1.3393122,2.0863469,0.30748788,0.25286734,-0.052866958,-0.3993739,-1.1729566,0.55408376,0.7266736,-0.22478493,-0.69553894,0.75242,-0.6699238,-1.676241,0.030459115,-1.3608344,0.6556977,-0.8951918,0.98513275,-0.9440076,0.65831375,1.7185917,-1.5966493,-0.9113535,-1.1712503,1.090198,1.7569801,0.98620933,0.28244504,-0.3698054,2.0727997,-0.6011863,1.1737413,-1.0841612
Bernhard Nebel;-0.620441,-0.40118065,-0.844436,-1.8232163,-0.5906361,-0.56552076,1.8898073,-0.058596864,-1.1550006,-0.2918905,0.36185277,0.03307612,-1.9336199,0.9028259,-0.081436604,0.7555039,1.4341395,-1.3313863,0.8363315,-2.3023255,1.0041136,1.7021208,0.46440962,-0.371409,0.80450046,-0.069561,-0.9416416,-0.8249685,-0.16958289,0.4137724,-1.8733863,-1.5873374,0.5979604,-0.87349415,-1.4714769,-0.80819327,0.054006632,-0.3259292,1.2745352,-1.3424493,0.43277755,0.09701542,-0.74303627,-0.012458045,0.04873307,0.355306,0.9270026,0.38364226,-0.9977003,-1.3496132,1.6559349,-2.121503,0.8184079,-0.9316225,2.1300945,0.8463059,0.3150036,-0.35220188,-1.3808365,0.4398391,0.67909503,-0.22372386,-3.3036952,-1.1676306,-0.009978871,-0.8736362,-0.5240634,-1.1293777,1.008859,-0.20061442,1.1531663,1.2216108,1.2504064,-2.9350162,0.012681879,-1.3048317,-0.8832279,-1.157682,1.1745218,-1.6113267,1.2006509,-0.39451376,0.7327175,-0.6613161,-0.9679973,-0.8655615,-1.830886,-0.52278525,-2.514963,0.35655218,0.89912206,1.5009681,-0.0035484259,-0.65749615,0.12627764,0.46994716,1.8481233,-0.46869785,0.40378112,0.7129541,0.21101701,2.467932,-1.612959,0.63058555,-0.11138485,-0.14318278,-0.5797399,0.08485854,-1.0108349,-0.5360981,1.0297315,-0.8172941,0.23626436,-3.2524698,-0.7258705,0.2487029,0.9483592,0.20230997,0.48257083,-0.3684727,2.1464221,0.7699468,-0.40931082,-0.6969776,0.3759897,-0.29333338,-0.963738,0.9976654
Michael Beetz;0.48142442,1.3990854,0.6448879,-0.39435259,0.9574919,-0.71810734,0.6127315,-0.3151145,-1.9082698,0.9870425,2.4286978,0.013503625,0.20710109,1.0743375,-0.14954548,0.04859881,0.82892495,-1.2010216,-0.8132347,-2.826308,2.5014832,-1.0212625,-0.6112402,0.02887158,0.12621816,1.3446045,-0.32780412,-0.7805899,1.7409116,-0.24639618,-1.7471817,0.54749864,2.2550085,0.54335153,-1.1407269,-0.7389936,2.5700886,0.42150256,-0.20345888,0.30515572,0.7005442,-0.5125781,-0.70064145,-0.89779186,-0.14690924,0.05576784,1.4682876,-0.1861412,-0.28434357,0.99665296,-1.322727,-0.4685596,1.5932975,0.33391422,1.2258849,-1.2668711,0.00465863,2.6380672,0.48304543,-0.97867495,0.08760168,-2.2992935,-1.1846623,-0.6175414,-1.7046337,-0.21549863,-1.1813613,-0.94362074,0.26442638,-1.3037629,-1.3932651,0.20053178,0.99541825,-2.8336592,-1.0888659,0.42569017,1.8907539,0.64203393,-1.8965995,0.405468,0.49084386,0.8073681,1.3243972,-1.2466911,-0.9308858,0.19493295,-1.7458879,0.25717524,-2.1607041,-0.16444749,-0.7232561,-0.4323077,0.3829796,-0.7104917,1.5277762,-1.7004054,-0.6969031,-1.2253014,-1.1690743,-0.12723108,0.56233114,0.36916408,-2.3935683,-0.28208625,0.6918673,-0.79163307,2.1863115,-0.5340649,-0.9363194,0.6642324,0.9742066,-2.106459,0.06775192,0.0513812,0.10079796,-1.92015,0.10839244,-0.5618862,1.6417371,0.13879798,-0.03599371,-1.5647956,1.1264337,-0.12655011,1.7142663,-0.4662605,1.3116733,-1.0819488
Albrecht Schmidt 0001;0.05862105,1.6401688,-0.49668282,-1.250321,-0.9488926,-0.5635916,1.019034,0.2829447,-0.19817023,-0.65911436,0.3625971,-0.5898448,0.27114412,0.108052,0.97713536,1.1980871,-1.0298454,0.30316558,-1.6304573,1.1508005,0.8335185,0.5733034,-0.64767545,-0.2919536,0.68868697,0.5397099,-0.5056086,-0.5861258,-0.2470468,-1.4494499,-2.725725,1.4834783,0.16559206,1.5005212,-0.8063063,-1.4494888,1.1052939,0.27040073,-0.0002875369,-0.13132393,-0.35919988,-1.4578744,0.52220076,0.6708073,-0.121217564,0.9626756,-0.06662308,-2.18552,-1.3946323,1.5243901,-0.65747005,-1.4862854,0.4240892,-0.19839801,0.5333597,0.3323714,0.13449243,2.3705056,1.0128226,0.74082077,1.1767244,-0.83999807,-0.46688566,0.8674383,-2.348925,0.20156826,-0.3491952,0.78448105,0.61470026,-1.274628,-0.4238793,0.1810832,0.638467,1.095335,-0.38470376,1.8581016,1.6160256,-0.5173206,0.5452614,0.4227868,-0.15348168,2.2936232,-0.9534888,0.67325497,-0.5483493,0.7203164,0.7181508,-1.4329264,-0.6427917,1.1982911,1.2329525,-0.62748307,0.34431615,-1.1524712,1.3566699,-0.56962705,-1.7993416,0.24109043,-2.16724,0.4852074,0.89964396,0.9878642,-1.1966895,-0.021793814,0.28293478,-0.70897686,-1.2644309,-0.84002936,-1.8713276,0.16857842,0.7899067,-1.9072009,-1.4997523,0.041273233,1.4415246,0.9405768,-0.4038215,0.06814654,2.2035744,-0.38581315,-0.0500512,1.2967693,-0.7825244,-0.74269,1.2172852,1.4467051,1.8557069,2.059311
Daniel Cremers;1.7306225,1.3261501,-0.16760671,0.28931183,0.95376015,0.9222159,0.5883794,2.2493622,-1.5408627,0.5683542,2.8648336,1.1392351,-0.17954226,1.9067905,-1.0830599,-2.0623693,2.8245122,0.6942091,0.19516268,-2.7925475,0.65278643,-1.4576249,-0.5818043,1.1832587,0.41677305,0.60910994,-0.19998275,0.24569686,2.5074391,0.4387803,-0.47896403,-1.3186755,1.9250253,0.61400545,-0.45635152,-1.8104259,0.994976,0.7080018,-0.9310633,-0.46330222,-0.3382852,1.383266,-0.43084788,-1.1145484,-0.75180435,0.87472314,1.946892,0.17656736,-1.0203611,-0.5357108,-0.8303412,-0.032567993,2.1438148,-0.540999,2.4617667,-1.5744199,0.46359792,0.46863407,-1.1105435,0.042460322,1.0701302,0.007523145,-2.4311178,-1.1532358,-1.0511792,0.285244,-0.9154998,-2.0457702,0.58056223,-1.0419012,-0.5192972,1.8998666,-0.2913201,-2.314948,-1.28792,-1.1687361,1.7387375,-1.1065843,-0.51732457,-0.021203386,0.83028233,1.2780457,2.6920354,-1.0564522,0.028305577,-0.9994386,-0.5449958,1.2518114,-3.40931,1.0212541,0.996087,0.31371877,1.7224417,0.17162085,-0.3066788,-2.309154,-0.7777319,-0.38709372,-0.28129816,-0.8164472,-0.5938575,0.6963023,-1.0552123,-1.5306565,-0.36488932,-0.7650035,2.0544083,0.3175539,0.24064136,3.2229502,-0.864896,-0.6394725,0.59463495,0.2398039,-1.1974933,-0.6266979,0.8703758,0.8249952,2.0649185,-0.39061287,1.5333508,-1.4822435,0.0104584545,0.24703975,-0.82724977,-0.0953214,0.27161732,-0.6249333
Daniel A. Keim;2.3366396,-0.15863469,2.3074658,0.8795206,-0.4141567,1.2278457,-1.4597771,1.8379388,1.2724758,-2.097488,1.0055081,0.70248085,-2.0957782,-0.74359107,0.020141594,0.4819397,1.7421927,3.135357,-1.7591193,-0.79180354,-1.8026607,-0.0030516363,-0.89293545,0.5209096,-0.6216845,-1.3082849,0.6863029,0.34433347,-1.4440618,0.5155015,-0.82945186,0.8156987,0.021882083,-0.78227776,1.0327375,-1.0968606,-1.1002052,0.8099298,-0.32006145,0.6258369,0.33315375,-0.5505883,-0.7933424,1.5728883,-0.9872678,-1.0320797,1.0452371,-0.77152574,-1.6492445,1.7760003,-0.25448245,-1.2531934,-1.4051661,0.1958838,-0.9533591,1.2927185,-0.83339953,-0.25320265,1.3332846,0.5474493,0.4842032,1.9657351,0.9466692,-0.8362904,-0.71873957,-0.70930356,-0.9720907,-2.3970294,0.5924548,-0.10505802,2.5573542,0.7782569,-0.18409376,1.6729705,-0.29188064,-0.09587935,-0.2571122,-1.0923424,2.7577846,0.49177492,-2.3632932,0.4061745,0.40219456,0.8053832,-0.41831225,-0.4028247,1.0588297,-0.20592102,1.5590141,-0.9251653,-0.21892099,-0.451816,0.96350056,0.08821219,-0.3503014,-1.3542144,1.5010993,1.4418676,-0.75616044,-0.37314707,0.41410154,-1.1713992,0.3591491,-0.9432098,0.33823505,0.25923568,-0.887654,-0.2664887,-0.8747897,-0.31753948,-0.07503491,-0.17658648,0.12068265,0.54847574,-0.36082596,-0.92287844,-0.15307114,-0.029794516,2.6882324,-1.4988519,1.7616879,-0.23953743,-1.4760197,0.5143808,-0.4312098,-2.172912,0.8476796,0.07277448
