Gerhard Weikum;-0.2751046,-0.47541872,0.49026716,-0.21190386,-1.3800508,0.44194338,-1.2221104,1.7402301,-1.1574076,-1.6442975,-0.99439484,-0.1969615,-1.6717944,0.28815347,-1.9978207,0.43640193,2.1650999,0.9799553,-2.4384942,1.0979035,-1.9079355,1.5688046,-0.44264796,0.803707,-1.3195789,-1.3610557,-1.8353987,2.1696413,-2.0002005,-2.2778053,-0.36889067,-1.3247896,-0.6439661,-0.9591083,0.3531773,1.0380659,-0.6151475,-0.575415,-1.8455436,0.45974338,-0.27675313,-1.0931592,-0.27153194,2.9850123,-0.8985298,-1.2932289,0.18265718,1.1534965,0.8997449,0.2669169,2.706195,1.0955588,1.2383257,0.62770915,-0.48467073,0.7820073,0.42471364,-0.26148605,0.59016407,-1.0635506,-2.2189524,4.115445,-0.34839877,0.65049964,-0.9964304,-0.9032503,-0.13631266,1.8106295,0.4706933,-0.7322247,1.2819976,-0.9328827,0.9012029,0.8744695,-1.5143752,0.7025807,-1.6982946,-0.3813365,2.5583854,0.749819,-0.5755508,1.3655621,-0.7237463,0.9755838,-0.048542444,-0.113593206,-0.14900632,-0.5027457,-1.1667887,0.18086086,-1.5371082,-1.0859226,2.1705415,-0.6336209,-2.1445484,-0.5131651,1.5278827,0.2111055,0.24847814,-0.070329145,0.3928081,-1.3746268,2.6726992,1.2991078,-0.4969836,-0.73170626,-0.019831462,-0.48654914,-0.5247041,-1.3266232,-1.513689,-0.4296381,1.8503454,0.5724994,0.000952823,3.5031815,0.22052819,1.5296602,2.6817183,-1.3645662,0.34224647,-0.6519013,0.581769,-1.3201278,1.209577,-1.2960287,-0.20792177,-1.4611222
Bernhard Nebel;-1.3147248,-0.7817555,-0.09616804,-1.4997693,-0.21569489,0.75771993,4.001712,0.170939,-1.4440935,-0.40674558,1.0451748,-0.59363616,-0.59459007,0.5014077,1.1340604,1.7971439,0.43723825,-1.389067,-0.23041609,-1.5959773,0.52487177,0.86130536,-0.39385536,0.956686,0.9788773,0.43845996,-2.3142583,-1.0278034,0.20352325,2.1191573,-1.4407593,-2.2256854,-0.6013879,-0.0917622,-1.6898444,1.1603748,0.13360932,-0.82688874,0.7736605,-0.25288853,1.0556813,-0.37759972,0.76529956,-0.151313,0.10938594,0.77042097,1.0710081,-0.20917468,-1.1868191,-1.3211236,0.5535374,-2.1278703,0.8789153,-0.6937076,1.0427141,0.74250776,1.7742587,-0.9543186,-0.007119277,-0.43522817,-0.20178662,-1.6534895,-2.7588952,-2.1703982,-0.52519906,-1.2684841,1.1997865,-1.7471907,0.760685,0.59975713,-0.29280278,1.3518413,1.38465,-1.6282039,0.49560523,0.2604273,0.24884903,-0.12230626,2.7641022,-2.0118434,0.16480976,-0.89354086,-1.4925112,-0.92583823,-1.4934616,-0.18825015,-3.579704,-1.008829,-3.108666,0.048330102,0.4501852,1.3170556,-2.0071266,0.9906717,0.68385357,1.5370512,1.0737289,-0.31495598,-0.72700274,1.4123602,0.15349056,0.672597,-0.40240115,1.5270002,-0.6600322,-1.2321881,-1.2699955,-0.13751902,-2.7736385,-1.2318307,1.5066376,-2.035993,1.2076923,-1.5982723,0.21168841,1.9044887,1.3054897,-0.16432302,0.7572382,-1.3609886,1.7935362,0.87609154,-0.42630297,-1.4183992,1.0508358,-0.83507633,0.071134634,0.55541545
Steffen Staab;0.22566412,0.82781506,1.0818318,0.96756345,-2.5686717,0.47526515,-0.7806081,2.39375,1.6591284,-1.5702739,-2.3963854,0.12778789,0.67453635,-0.094993904,-0.123531364,1.6559868,0.8866065,-1.5767537,-0.63284546,-0.8307603,0.39560455,-0.9607777,-0.5621351,-2.155221,-0.28915602,-1.0478512,0.39225888,1.3240887,-1.9738696,-3.972263,-1.7715355,-0.104764655,-1.4002671,-0.4195492,-1.4465879,0.72049135,0.0962325,-1.1549444,-0.4298316,0.22055528,0.5133895,-1.0673649,0.3899853,0.17195266,-1.443109,-1.3423824,1.8565305,1.1510713,1.4188676,1.132884,0.24281882,-0.7153313,-0.33115053,1.7748142,0.005045255,-0.3417398,-1.347276,-1.7558489,-0.48568448,0.11788647,-2.0820272,-0.9377723,0.9079512,0.7497128,-0.26776496,-0.9030551,-0.23266098,-1.1404744,-0.56622076,-0.112150654,2.0215762,-0.9351151,-0.24574615,-1.0058227,-2.0112307,0.26456395,-0.7741451,1.4105619,0.12648416,-1.9295181,-1.6829989,2.6192634,0.15300271,0.019006697,1.2225453,-1.2043234,1.4783359,1.1924431,-0.37312987,0.18805996,-0.85098594,1.1945512,1.9443957,0.88257766,-1.3763746,2.299997,0.46129343,-1.8487734,0.0124060055,0.31650466,-0.10900479,1.9048706,0.64519656,-0.021287039,-1.3159169,0.20949559,0.22072712,-1.2082381,0.48391432,-0.851221,0.6669191,-0.47750244,-0.004118201,-2.1267877,0.42411682,2.5740259,-0.5487484,-2.2953663,-0.63821876,0.90170026,0.56594455,0.5456515,1.2748244,-0.55771947,2.8057559,0.4667046,1.906478,-1.3561382
Albrecht Schmidt 0001;-0.56176317,0.6647143,0.6844093,-0.40915975,-0.8104614,-1.2186272,1.3962481,0.18371253,0.10561601,0.082319595,-0.05628026,-1.3412621,1.0686444,1.233163,1.1698353,0.7705088,-0.6057546,0.98452145,-1.5650895,0.46823046,1.1851352,-0.98878515,-1.1522114,-0.14637047,-0.57094985,1.97913,-1.4681239,0.24841957,0.12115579,-1.4958323,-0.119664945,0.279729,0.13816318,1.6292795,-0.6463788,0.050442964,0.43689892,-1.0531671,-0.6460189,1.1849794,0.021986373,-0.3331758,1.6669627,-0.062007993,-0.6267011,-1.2320278,0.718348,-1.7088107,-1.3147652,1.3330452,-1.2223164,-1.5449167,-0.32653415,-0.77142453,0.5541473,0.60008067,-1.2910261,0.85668564,0.1789565,-0.6955717,1.1417534,-0.13838972,-0.51561254,0.13863131,-1.6289612,-1.4465514,0.50362617,-0.12082244,0.08409162,-1.246457,0.050318856,-0.2685109,0.15833938,1.1456989,0.33259693,1.4862683,2.6040647,-0.47630784,0.5068062,0.82422894,-0.5765834,3.1422932,-0.61394787,1.7915751,-1.2010195,0.69311345,-1.0082763,-0.055099066,-1.0940765,1.8962874,0.26341087,-1.6321061,1.0678909,-1.0038154,1.9551489,-1.6591351,-1.8483951,1.3261845,-1.6861664,1.0152636,1.7363324,0.7943086,-0.45632043,-1.8485535,-1.110884,-1.7642261,-1.1704046,0.06959547,-2.2263122,-0.6019338,0.49624515,-1.4050741,-0.7026947,-0.7971327,0.710232,0.89610237,-0.5461167,-0.17711888,2.3931866,-0.14474449,-0.5627282,0.7245535,1.124869,-0.82969207,-0.69259894,1.7288291,1.4426258,1.933559
Wolfram Burgard;-0.5224959,0.5790725,0.83879393,-2.133623,0.9067916,1.4423996,2.334647,-0.7252349,-0.8116896,0.5190309,2.004078,0.16276023,-1.1137111,1.8425304,-0.4731203,0.9873638,0.14798218,0.7551577,1.0372276,-2.1981034,1.8030802,-0.090680934,-0.6923679,1.1972935,1.2504182,0.95622605,-2.8074906,0.8625745,0.42929643,3.1535726,0.28487918,-1.594248,-0.5161737,-0.6149702,-1.7787907,-0.05798093,-1.0705556,0.13588437,-0.32981122,-1.5247227,0.65022135,-0.9673143,1.2391872,-1.6571541,-0.5273146,1.7398139,2.6317973,-1.0692928,-1.1647586,-0.4190607,-1.8367363,-3.8487384,0.7008405,-0.9003525,0.9360046,1.0209732,2.2800412,0.012802942,-1.0305952,-0.8839843,1.6609206,-1.2648529,-1.4031844,-3.0143256,0.014864471,-0.4414347,0.07181544,-2.4207816,0.99374783,-0.51384944,-1.2518302,1.2547599,0.022736916,-1.4815534,0.28085807,-0.90616894,1.9419017,-1.1826802,0.46385524,-0.3474169,2.392862,-0.06551222,0.83525693,-0.9970347,-1.3989493,-1.4216318,-3.7170317,0.41469342,-3.480254,0.44650573,0.6204713,0.16408901,-1.6303669,0.51737314,0.13380808,-0.8198078,-0.59871876,0.7787374,-1.8039247,-0.5042101,1.2440355,0.1090892,-0.5860542,0.6109222,-2.5593178,-0.88064617,1.0384997,-0.036242038,-2.8516107,-0.6223692,0.26187378,-0.4118202,0.84409815,-1.0696945,-0.19476998,1.1799369,1.0391102,0.46241674,0.6285223,0.04224271,2.8848586,0.11084874,0.55953544,1.3252617,-0.124565065,-0.27678654,0.47616223,0.58464533
Alois Knoll;-0.397122,0.8425736,-0.42532453,0.17311645,1.2076327,1.2032539,1.0975915,-1.2496493,-0.021733548,0.8173486,0.39812222,0.03873143,0.31153786,-0.75652987,-0.9471155,0.9293278,0.5198292,-0.50180995,0.43001392,-0.5239051,1.3845142,0.22576907,-0.2798821,-1.3451769,0.8181905,0.6588155,-1.4331187,-0.5653073,1.0807787,1.2538701,0.3231403,1.2503523,1.417032,0.44634193,-0.8373633,0.012276573,-0.062680334,0.9069828,0.047338367,0.8120103,2.1908042,-0.15114509,1.1787131,-1.1405677,0.753816,0.5889939,1.1708499,-0.5002239,-1.2589455,0.8407957,0.07949855,1.2044364,0.3851086,2.4809234,-0.014718004,-0.9839199,-0.9648251,2.8776324,1.6396724,-0.35289538,2.0505302,-0.14384331,0.22156624,-0.037982553,-0.44951862,-1.2464718,-0.4659692,-1.2127893,-0.7544742,0.21191081,-1.2387887,1.1200395,0.5212391,-2.425546,-0.71841663,2.214199,1.2769804,0.10377821,-1.0583501,-1.2649105,1.6071013,0.07711641,1.3451234,-0.7635922,-2.1006415,-0.6831171,-0.8208379,0.8793386,-0.97957456,-2.3117487,-0.41841412,1.3668044,-1.135232,-1.0973539,-1.3015864,-2.3681345,0.5027155,-0.5008256,1.7213434,-1.073867,-0.5225233,-1.6371094,-1.0960833,0.35240385,0.49679777,-1.0691005,1.4447324,-1.4482596,-1.6962457,1.2975945,0.8935777,-1.0516157,1.4842345,2.76127,-2.0925715,-0.9963067,-2.4397032,-0.63390577,-0.49040434,-1.251285,1.0510602,-3.2127228,0.15280625,-0.17141388,0.66430897,-1.598001,-1.8871435,-0.43049002
Alois C. Knoll;-0.397122,0.8425736,-0.42532453,0.17311645,1.2076327,1.2032539,1.0975915,-1.2496493,-0.021733548,0.8173486,0.39812222,0.03873143,0.31153786,-0.75652987,-0.9471155,0.9293278,0.5198292,-0.50180995,0.43001392,-0.5239051,1.3845142,0.22576907,-0.2798821,-1.3451769,0.8181905,0.6588155,-1.4331187,-0.5653073,1.0807787,1.2538701,0.3231403,1.2503523,1.417032,0.44634193,-0.8373633,0.012276573,-0.062680334,0.9069828,0.047338367,0.8120103,2.1908042,-0.15114509,1.1787131,-1.1405677,0.753816,0.5889939,1.1708499,-0.5002239,-1.2589455,0.8407957,0.07949855,1.2044364,0.3851086,2.4809234,-0.014718004,-0.9839199,-0.9648251,2.8776324,1.6396724,-0.35289538,2.0505302,-0.14384331,0.22156624,-0.037982553,-0.44951862,-1.2464718,-0.4659692,-1.2127893,-0.7544742,0.21191081,-1.2387887,1.1200395,0.5212391,-2.425546,-0.71841663,2.214199,1.2769804,0.10377821,-1.0583501,-1.2649105,1.6071013,0.07711641,1.3451234,-0.7635922,-2.1006415,-0.6831171,-0.8208379,0.8793386,-0.97957456,-2.3117487,-0.41841412,1.3668044,-1.135232,-1.0973539,-1.3015864,-2.3681345,0.5027155,-0.5008256,1.7213434,-1.073867,-0.5225233,-1.6371094,-1.0960833,0.35240385,0.49679777,-1.0691005,1.4447324,-1.4482596,-1.6962457,1.2975945,0.8935777,-1.0516157,1.4842345,2.76127,-2.0925715,-0.9963067,-2.4397032,-0.63390577,-0.49040434,-1.251285,1.0510602,-3.2127228,0.15280625,-0.17141388,0.66430897,-1.598001,-1.8871435,-0.43049002
Rudi Studer;0.14262427,0.8532366,0.6023442,-0.63815117,-2.202036,0.16056852,-0.6432582,1.428563,1.0654186,-0.21398428,-1.5104764,-0.0395031,0.7998223,-0.53714675,-1.8518326,2.0568347,2.5642111,0.42603204,-1.1149658,-1.9665152,1.3190026,0.030944759,-0.49288452,-0.5160116,-1.3292775,-0.35221165,0.5102239,-0.06609236,-0.7215162,-0.566691,-0.46075788,0.58387023,-2.1257472,-0.1680835,0.07964009,-0.83197016,1.2045989,-2.1392968,-0.1806061,1.1255099,1.7026188,-0.6584414,1.0276439,0.05538625,-2.2237284,-0.33038026,1.4208357,1.7404566,0.7559315,1.794845,1.0616163,-0.62683433,-0.62821573,0.86741745,0.04443022,1.6167537,-2.8765628,-0.630796,1.1239961,-0.96617573,-1.762168,-1.0358392,-0.14753026,1.3375682,0.9108265,-0.016021676,0.59421027,-0.29856625,-1.4179204,0.5466538,-0.29647332,-1.0398724,0.606137,-0.8941762,0.013048017,2.027802,0.3478156,-0.73353356,-1.0580064,-0.9725907,-0.60414636,1.1716332,-1.1214443,0.8589563,1.5215572,-2.033568,-0.5382415,1.5719452,-1.7768242,-1.358399,-1.6646221,-1.9017187,0.99253696,-1.9541105,0.58921576,0.8704342,1.6516968,0.1919851,0.81843317,0.4609767,-0.14588183,-0.86887455,0.6711278,-0.49717578,-0.10372312,-0.49207538,0.73676634,-0.9495416,-0.72047466,-1.1116395,0.9915951,-0.38346094,0.006911306,-1.2429428,1.6673357,2.872413,-0.43666676,-1.5627894,1.1675291,0.5450099,0.121679455,-0.62917536,0.056346893,-1.4573984,1.1371155,-0.7105768,-0.53925186,-0.4480743
Daniel A. Keim;1.4684353,-0.37110123,0.71191484,1.0432655,-1.408663,0.6518411,-0.84755605,1.6005837,-0.43833825,-1.8012333,0.4191188,-1.1070657,-0.037880786,-0.6647472,-0.07681664,1.0515305,0.32075846,2.6237154,-3.7771595,-0.06634663,-0.60327244,0.69660836,-0.26524448,0.92344284,-1.5389534,-0.2060513,0.27707222,1.4231727,-0.29051697,-0.27662468,0.21977802,0.63457763,0.24507093,-0.3798871,1.6221132,-0.8304387,-2.0959306,-0.8353439,0.9061458,0.4956927,0.3173877,0.4065224,1.381696,2.4145708,-0.1400457,-1.2036158,0.61553365,-1.1860373,-1.4780945,0.61660147,0.14931591,-2.0343018,-1.9720501,2.046543,-0.3967883,1.6530704,-0.41324627,-0.35687605,0.5884052,-0.68987656,-0.002806047,2.1060102,-0.08802821,-0.8499243,-0.6981911,-1.7004838,-0.83119386,-1.4163575,0.86109996,-0.3027443,2.659684,-0.1831189,0.7111341,0.5263781,0.6050437,-0.2549054,-0.91133755,-1.0973662,2.5467002,1.1078521,-1.7192221,1.1332588,0.19909418,2.5973232,0.15187319,-0.34879437,1.8714573,0.41661847,1.4041988,0.36214486,-0.292878,-1.0049424,-0.2972148,0.6745981,-0.515764,-1.7337052,1.3170195,0.8728274,-0.8628767,0.4485118,1.6003168,-0.47560728,-0.10313417,-1.5184293,-0.44265032,0.40056786,-0.81074154,-0.36871064,-1.4651729,-1.2395649,-0.009765893,-0.42739365,-0.27606857,0.146946,-1.2887679,0.37745324,-0.41083828,1.004655,2.7171125,-1.9069277,0.9145793,-0.3028212,-0.37834632,0.9071174,0.20481674,-0.42797366,0.9548622,-0.07432935
Michael Beetz;0.02259079,1.6531231,2.1849885,-0.62608635,0.81659067,-0.06658758,0.5780101,-0.83178586,-1.7150134,1.0662498,2.6752872,-0.4315571,0.41147143,1.9316045,0.056874227,1.2597907,1.2409936,-0.41404206,-0.6804926,-2.2093232,1.9850109,-2.0901515,-0.9402897,0.25722742,0.32634124,1.5651946,-2.3291419,-0.10677245,2.244718,0.6965507,0.06476975,0.17736992,0.8569213,0.44072002,-1.3776047,0.9843397,0.68632,-0.79166156,-0.7331804,0.4474188,0.8402707,-0.36781076,1.6667182,-1.65274,-0.37086868,-1.011155,1.6960025,-0.94100004,-1.3677052,1.2858558,-1.7946367,-2.3732557,1.6917876,-0.009285237,0.78823245,-0.24093743,0.86729014,2.6199093,-0.9635343,-2.1491501,-0.21015412,-0.54836017,-0.36552688,-0.47112748,-1.7809103,-1.1500497,-0.05601112,-1.5520209,-0.90047204,-1.4916121,-1.6055851,-0.19838658,0.6030684,-2.152346,0.29407772,0.55354375,2.6209867,1.0503567,-2.270467,0.94959736,1.0735397,1.0638692,0.7867295,0.17171785,-1.3246255,-0.38806105,-3.5426197,0.18080792,-2.0590537,0.81330746,-1.1074054,0.3832072,-0.5225384,-0.25883046,2.510134,-2.3986387,-1.687337,0.7175546,-1.3592836,-0.680275,0.8053939,-0.42324737,-1.6455947,-0.7703998,-0.5711042,-2.0349562,1.4854959,-0.2738493,-1.1332473,0.33889315,-0.04326851,-2.450379,0.9667148,-0.40775958,-0.2954069,-0.6520443,-0.18904732,-0.9112122,0.4258326,0.52876985,0.8229737,-1.3265712,2.3310475,0.79490185,-0.8362956,0.004441577,0.7288405,0.35471052
