Karsten Berns;0.012618039802356264,0.0,0.006802984827886024,0.0013783205337404908,0.0030576959138315183,0.014767118383999132,0.0006609359437954913,0.0,0.0006184764830578225,0.0030961460629335756,0.0010359153882234663,0.0014533799001823942,0.004893829965256083,0.0,0.007740012930856507,0.001038353932805893,0.021264617333649927,0.006549127641656142,0.0017896118836877278,0.0,0.006477164327047542,0.0014597901640918253,0.00047010998291999287,0.0016129660421016516,0.0235745539940007,0.0,0.000403382528544364,0.008240931282875346,0.0017671965533381652,0.005668143553067247,0.0007000324833739364,0.00016397985067319432,0.0,0.0002798765319574701,0.0017983582308029509,0.008892839119348407,0.0019224248212972779,0.011804637451306983,0.003531625256200491,0.0,0.0,0.003336566169466569,0.0018455040501698448,0.0016279087712717114,0.0,0.0014748985343647758,0.0020928031252271835,0.00032534911989085707,0.0,0.0005409691702058627,0.0,0.021068939142750633,0.012871232339668687,0.0,0.0055538356394063855,0.007440150596755246,0.0027959693847432886,0.0010641400890736702,0.0033299605170276515,0.0026254981088232538,0.0,0.002518988448220986,0.003683935164179205,0.002787142630733559,0.025270624201954014,0.0014927100906290832,0.0,0.0,0.0,0.004453704933319286,0.04655076088693189,0.010188050354782199,0.0,0.0032788029335544784,0.003504291555049463,0.002312332514037543,0.005432155677877578,0.008578506379931,0.0,0.0006003361384814869,0.00132232781186012,0.0,0.0049386133310870845,0.003137940977390312,0.006353095367046152,0.0045149700796509465,0.0,0.0018237113469263305,0.0048317904310409944,0.006791168915778516,0.0,0.0008069299564389374,0.00033513794673673556,0.005612439702196526,0.0,0.006874206653900436,0.0014434594974992421,0.0,0.005820768859417906,0.02546137732086931
Rüdiger Dillmann;0.0010513754890835278,0.0,0.008769812850271569,0.0,0.0008907583071264637,0.015137816394597197,0.0,0.0,0.0004005773288204102,0.0045397055057917616,0.00019612888364403463,0.0009359955893728307,0.001744373789651203,0.0,0.004776097180926541,0.0010404384734112929,0.026499673378997845,0.004572219315009931,0.0020304207634667436,0.0,0.009556185433763563,0.001803264493643278,0.0010571173510956413,0.0018114125462655888,0.02491115124157383,0.0,0.0,0.005953513538800635,0.0053322774582656015,0.0027356406674158666,0.0018256240924773774,0.0,0.0,0.0015812254568489882,0.0032301152587604852,0.005738442905249083,0.0005741561147357127,0.012730395344292985,0.0012489721216290336,0.004031259088190247,0.0053805129950861485,0.003050244204804882,0.001358369107845576,0.007461088623102037,0.0009237316156439872,0.004119046798693423,0.00033567646206895735,0.0017025684124301634,0.0001103770634001693,0.0011813395750271869,0.0,0.01327772697582928,0.013543633853122643,0.0006251120947339907,0.0018643303922024465,0.005936416925029722,0.0009061220948731483,0.0003446660168470295,0.0013143350006606265,0.0011887263037510924,0.0017854740857821576,0.0013818754653617414,0.0046005731917841625,0.005022551778492104,0.016394934581729397,0.006836761406726076,0.0025423474333332616,5.387140019025451e-05,0.001776665804961714,0.0025199493560414243,0.028824878901896726,0.00845889283659868,0.021616659710505363,0.0013416263885940726,0.002631589042480128,0.0033898346349646616,0.003381375149976812,0.006443690626064472,0.008814149456726107,0.0,0.002666855684583864,0.0,0.0011569021686740023,0.014288013243287817,0.0028752021588481923,0.003347546063848807,0.002274368810489857,0.0026720896675379554,0.005949684363911564,0.005357242981667335,0.0,0.00047851941425039983,0.0039282164524707,0.001721265113153893,0.0,0.006229127664184979,0.0,0.0026220663304122667,0.005748276259034976,0.0040916752239859595
Gennady L. Andrienko;0.006609196336639704,0.0,0.0043350375302115786,0.0016637774630283715,0.00254972643680164,0.000684084597520432,0.0,0.0,0.0006814367617589997,0.004249138170039429,0.002621173037066163,0.00042749826488121115,0.0012472193703391603,0.0,0.003247490817235189,0.0023866288063392055,0.004390320813674778,0.004613481126204091,0.0002974841773449174,0.0,0.0019757730631085576,0.0025326580683313034,0.0010143985791910104,0.0,0.03196831234305848,0.011016895604853028,0.0007759067431553014,0.004177123160545181,0.004739493893194121,0.00856294131073805,0.0,0.0020307359532156836,0.0021746199455626373,0.003179586005925336,0.00620792162945712,0.0027007800177798994,0.005005144965104297,0.006707765452564127,0.0016808338284367663,0.006223243072360526,0.0016393756162284584,0.0019028392659346492,0.0031145329554208494,0.0007560786646182385,0.003465762717573909,0.0014119988737211443,0.0019835893851443825,0.003431368053841717,4.582016059445705e-05,0.007071738761370097,0.0005434887981325807,0.021236844626179082,0.0051689284402017845,0.0,0.0012294483506301497,0.0,0.0064758294062018575,1.894395847073634e-05,0.0011351238293392308,0.0018913145316677457,2.7511180745107677e-05,0.002111537266299563,0.020348848085090757,0.0026935623526796637,0.0,0.005143346630574648,0.014715573822682087,0.0012582136995881441,0.0017681118380283945,0.005794441048667871,0.015142260631050137,0.0014618669950169092,0.0,0.012203119112041888,0.0029710587605447434,0.009032638806130384,0.0022418964700405652,0.005462801388727002,0.009447755458492975,0.0059947015908989425,0.0018176516314157498,0.0008322840190765596,0.01047938451143029,0.0,0.0032199311516984044,0.0,0.0025327791770095023,0.004198439174654769,0.0046595028879938515,0.04529096402243348,0.000567078538052832,0.005594368759025493,0.004320575290239686,0.001719114887962653,0.0,0.008233430280937025,0.009593325185023715,0.0031601194732105006,0.00538792318084799,0.0017704199106424237
Weidong Zhang 0004;0.019162904655109038,0.0,0.022336595480520794,0.005198689564237305,0.003982350913744105,0.007624002625496354,0.004507400561462927,0.0013094928504595593,1.885547490236482e-05,0.00012833294808792386,0.0004768615474312599,0.0070101341904002,0.016133144157369685,0.00039621823721136605,0.0021196234267048123,0.0,0.0,0.0,0.000548016193180977,0.0,0.0,0.000658854472152787,0.0014481322497141235,0.0,0.010838456920937569,0.0012704463540239622,0.00013253975553478834,0.009217112205904442,0.0005269494821395254,0.0042965254513682195,0.007675727255193593,0.0016133618984327594,0.0,0.0,0.0027408589262114982,0.0,0.0023288431803548883,0.005286581721884507,0.0017460556313306738,0.004728870811372133,0.0,0.002514565331057982,0.0022080406314544765,6.693775831962746e-05,0.0,0.0001654506021597771,0.004814091382787395,0.0,0.002090589058197252,0.0,0.0,0.01537268959159305,0.02930792001220456,0.0066212102580490316,0.010701866411246208,0.0,0.0007734152304631305,0.0003933270928229157,0.0015909500304488145,7.599060717178926e-05,0.000747794431836341,0.0003017432552232552,0.0,0.014846669299743724,0.002486508701221936,0.0,3.8331610144084234e-06,4.0922474779963776e-05,0.0011685447101935323,0.0007102001904569129,0.015779907696625076,0.004675936065701752,0.0007371583129911425,0.0002990758023465388,0.0006498956930457294,0.00016337936904494866,0.004803376025291586,0.00016440724270499986,0.0,0.00012147690792074366,0.004702612087166522,0.0,0.003156241828798881,0.0013182024815922462,0.00021163668167822994,0.004938572972568048,0.0,0.0016711729848154118,0.0,0.0,0.0013303799285496445,0.010660346197963322,0.011114965735514244,0.0002691308382522263,0.0016286915245845536,0.006251164943432176,0.0,0.00041417180868345014,0.008339363409591445,0.004428946163157813
Stefan Schulz 0001;0.0054859907156048935,0.0,0.0007976063679696007,0.001788276226907699,0.0020508612019446153,8.541440864889422e-05,0.0,0.0,0.0007046987314149688,0.0,0.002095773585551422,0.0015137261438086184,0.00035911840715288905,0.0,0.00019070172934577747,0.0013893151974127588,0.0,0.00013957437147253077,0.00082677743759224,0.0,0.0005352294647159213,0.0008395818149161011,0.000667137068394244,0.0018746381088232133,0.02827260026314694,0.0015456177208963285,0.00069642701981768,0.006645054438235345,0.0029732647770278763,0.0,0.00011143549790257128,0.001727553222163043,0.00038108407921724817,0.0014961900779452524,0.0037901844716488144,0.041675846186169624,0.0011482219545989698,0.0,0.0017524111744004313,0.0006529005733027236,0.0032682764336057755,0.001981213453383341,0.0018370883774179254,0.0021821525525608553,0.02838928349836151,0.0018157997383062296,0.0008583476570023146,0.01753564030020998,0.007661982941962613,0.004569891033061553,0.0,0.010918539354612025,0.00220080003691678,0.0,0.00038623538482271175,0.0010077065553748188,0.0024264482840911207,0.003774262011210224,0.0,0.002321181172974369,0.013295690212470675,0.0021002833237608928,0.0,0.0009058975699539208,0.0,0.001712627600022982,0.010052707540653348,3.426842111421425e-05,0.005223927763970681,0.0063661322652543515,0.010122349444073744,0.0,0.005858498991312902,0.0030751404807717654,0.0,0.0001833984557753924,0.00010214669201332892,0.0029068061026622407,0.0017022346609356987,0.0007671601087349107,0.00028241995231626443,0.0,0.0023762900255042733,0.0,0.0,0.00028642681336290605,0.0012191606674253608,0.0038178164082353807,0.019857377822749153,0.013780063329850746,0.0,0.0006983442802770152,0.00166175475677929,0.002366741710546265,0.0,0.003941730740348076,0.006286565616081767,0.005244324304395238,0.005749836326102834,0.0013342882801411773
Volker Gruhn;0.00581060030943419,0.0,0.008372531699490909,0.0022978059771197284,0.0026188092056487053,0.0002770393721844032,0.0,0.0,0.0008572020961015008,0.0015333745521015983,0.0023735357519288,0.0010741593102462895,0.0016467508059763531,0.0,0.0021257657810506403,0.002941813522597881,0.032781130133024014,0.0037065983683727756,0.0009155065880383877,0.0,0.0,0.004164954739544085,0.0017486440164012059,0.002973234774164488,0.030942519735860465,0.0043947823493623445,0.0005358817944837096,0.002692317070520745,0.002226371349425257,0.008004081266648377,0.0,0.0006933285344332005,0.0,0.000386503426357083,0.0030004187286216304,0.0013289569676975192,0.0006609080233086571,0.0018699753030384891,0.004950317373670272,0.00020398672931849735,0.0004442739449551471,0.0021004152883018264,0.0014528280870284114,0.0,0.001639629919924352,0.0,0.003092107668649032,0.0012778536090964252,0.0,0.0048668278092543,0.0,0.0074045205391831724,0.0009725325998456644,0.0,0.0034881930710482676,0.0004968346251422346,0.0036389103980046735,0.0027224347567622697,0.0,0.002721380914652357,0.0047834740537703,0.003924855513362053,0.0027824740964164617,0.0,0.0,0.0017985900212587986,0.005825022204738089,7.035711286757896e-05,0.0,0.005031541627335687,0.027035401435780624,0.011752892483071091,0.0009768343256406054,0.0027664591986451327,0.0001160967798701431,0.0013763417479769583,0.0026432994159855594,0.003835517503832755,0.003552300354567203,0.001845881390483391,0.001701708185395327,0.0,0.004458077026009456,0.005287911056787541,0.0064107764565266194,0.0004757040364644827,0.0011102477099380482,0.0021960594997935635,0.007300860764595994,0.0,0.000597290880930956,0.011642469565856843,0.008473557166422787,0.011360661805769359,0.0,0.0042547314330487985,0.03693735007998876,0.002601209222533102,0.0068589683809064765,0.0013960449131167564
Jianwei Zhang 0001;0.0050342866478416,0.0,0.013197415462675584,0.0,0.0022930313438501307,0.019195186559945447,0.0,0.0004233565157738153,0.00023436181768902582,0.004995994895918011,0.0007672651346139599,0.004714037320781183,0.003993970261445836,0.0,0.006256011720159464,0.0009683780111019582,0.008441410205401454,0.00417783761682156,0.0016064138935823582,0.0,0.01109493457933053,0.0011698351826330564,0.0008682935664267852,0.0021039787890441697,0.022531948163001587,0.0,0.00036886530373095956,0.007348242958109713,0.0054923201213784205,0.0032262585827752266,0.0016370431160623213,0.0,4.343765000608644e-05,0.001377047454243678,0.001359543113610732,0.0065181255996046225,0.0011581375480323181,0.013912618257379121,0.0011382398963572596,0.004368064844211441,0.002472132498349087,0.003376451805505816,0.001211259874368731,0.0030194844714495255,0.0016563191713960047,0.003481044403146089,0.0,0.0007063741818352718,0.0012483893600456922,0.0005951192760540844,0.0,0.01725412851767914,0.012498246298073471,0.0,0.0034743709180506985,0.005384723201418331,0.0021135825724102227,0.0012736484799899896,0.0005416671985155789,0.0011048623479738612,0.0027307732992472404,0.0012283212544729376,0.0011732413630744646,0.006866467161559063,0.016762112730873892,0.004182095068407001,0.0007917241062415205,6.011906519333911e-05,0.006418132390017648,0.002810496995270759,0.030636525014799694,0.006361586065740502,0.011262170077603606,0.0006714551921744277,0.006246277603372356,0.0036939888091933044,0.0039567644083622075,0.006696420477950808,0.0,0.0,0.0023388679222306804,0.0,0.0019348082076123402,0.015859957623149207,0.0029842343030484033,0.005913471256105735,0.0,0.0019159969094509287,0.004160436147145319,0.018233010683562836,0.0,0.00259121381892006,0.004234726151470247,0.0030131878461559184,0.0,0.004715304420522408,0.0,0.002143375014586397,0.003684689530457308,0.0042041049791567055
Alois Knoll;0.008165737609126018,0.0,0.01314703861882738,0.0005145878098852981,0.0021322504087419062,0.010499502311880222,0.0,0.0006553848784598539,0.00047656640580702046,0.004569842204714703,0.0011721662176903459,0.0020782457065326426,0.004094732695310971,0.0,0.004732274680450879,0.0011200781045648518,0.014075300307509978,0.00645190380571089,0.001793823491902233,0.0,0.0026793241402699023,0.002031938402461381,0.0007928586093291853,0.0008985732521398837,0.021776062211918443,0.0008137643429272771,0.00012541449906808605,0.0017733672905765937,0.003771110678775094,0.0020849214775049986,0.0028021744039171655,0.0,0.0,0.000878515101928827,0.0026747513948218327,0.0,0.003033000868829157,0.01313743437293051,0.0017363887325991976,0.007107477439494768,3.0278220526606616e-05,0.003324606183989879,0.0015291038619365002,0.011584712440653235,0.0,0.0012393338509358888,0.0008539926464648887,0.002250059335391143,0.0,0.0,0.0010894242508779756,0.01984824693942241,0.026089952794320578,0.0,0.007806969573641942,0.03043307848048236,0.002405460441552634,0.0018250056936818927,0.0007213785613380319,0.0004245841694294192,0.003677877989529581,0.0007854269389710847,0.0024094441788033404,0.005172757065980098,0.016015667589474876,0.005524568205480686,0.0015867440521373417,2.1213358458341845e-05,0.002780792764962631,0.004844251996428432,0.03125044138020354,0.02086889460765078,0.016403860917239305,0.0008749869681471255,0.0023676367917678,0.0033514751326513,0.0037939939435957266,0.008996117950209718,0.000681673517998234,0.0,0.002908154864775843,0.0,0.003552514730637538,0.015118146375337423,0.0021016261108161437,0.004331400055138388,0.00257896482092637,0.002682046912445259,0.008433858595042167,0.004532832331519274,0.0005697012072156637,0.0,0.019526683501846043,0.0023888598283330715,0.0014212206369242386,0.00355328521689641,0.0,0.0011491496116131916,0.00437804825689414,0.003087545827541314
Erhard Rahm;0.01014814135585099,0.0,0.00799027126629845,0.00216695680623206,0.0005831527018837782,0.0,0.0,0.0013747560515204823,0.0002491021220873349,0.0,0.0011796361768069482,0.001129425160453624,0.001676190585631488,0.0,0.0,0.0034121860886248616,0.024497410316505812,4.030809359130478e-05,4.330150615420932e-06,0.0,0.0,0.0016383060673344275,0.0026298599652985776,0.0029795301575376823,0.02878219142723192,0.001998546776228302,0.0008204395514597801,0.0020674438377140942,0.0030433808329147043,0.0,0.0,0.0031678702066019588,0.0014056757018159828,0.0014473730951733716,0.008636524408311445,0.015206017143783175,7.263653139968813e-05,0.0009437117493218038,0.0008696727977762047,0.0,0.0,0.0020638756973959927,0.0010330929721679126,0.0,0.008422782783346027,0.0,0.0025005683539097412,0.009939687656903853,0.00796612707579364,0.003790804294328813,0.0,0.005709762822380393,0.0016370462364790179,0.0,0.0008210788033320421,0.01914679273179394,0.0024472054712710574,0.0013811305248701132,0.0020720898192038485,0.0027529608296304677,0.0,0.0022010884187036216,0.004658860345263106,0.0002947678985002547,0.0,0.002579833088878876,0.029158645935916987,8.935395064437798e-05,0.0029676246228061017,0.0032506129520550133,0.024459631646089275,0.004030384090613522,0.0011282288044365445,0.004779564645657832,0.0006419349339700122,0.000702675562561448,0.002818675720799098,0.0002814087091327698,0.00159478951778906,0.004837776420625058,0.0,0.0,0.004427024535476265,0.0,0.0019256177603803567,0.0,0.0013288070266348432,0.0018599334327617533,0.014731414432026723,0.03180266461334622,0.0,0.007640136135751718,0.01915927199143166,0.0018169035853622746,0.0024573961312166106,0.005545584897153437,0.01601921563268168,0.002576486657445087,0.0022372187878518723,0.0006577923492918214
Volker Turau;0.011170837533189655,0.0,0.0037540595896661372,0.0033398966463133043,0.0019860561929554575,0.0008496523634268964,0.0002905759931930109,0.0008431073120498573,0.0008580540090515582,0.001008044940317008,0.0005084803173596219,0.004868127511745485,0.0031253844009578964,0.0,0.006610975123302089,0.004036740093152058,0.011566783636364708,0.0011954845908274498,0.0008068224755095538,0.0,0.0,0.0009047781452533796,0.003140979480965168,0.0010618283514777361,0.02129105750800851,0.00237710992337521,2.4316708878512167e-05,0.0011213263231838542,0.003639524434196208,0.006926259873736956,0.013978251339389769,0.0,0.004880317524906336,0.001432201273251872,0.007531386413542307,0.006396896732016836,0.0025529704780278095,0.0023544683614933185,0.004202660333821244,0.003684847980115664,0.0,3.550223515100549e-06,0.0017891470656621984,0.0,0.0,0.0,0.016497021925337536,0.0,0.00044935030241752966,0.0006518845023930877,0.0008027544358279737,0.007209140865971413,0.0008974347236997372,0.005214948405283566,0.01650489243170933,0.013118277835896737,0.002460380361445266,0.0015806649200053916,0.002151161052579483,0.003025507880140256,0.0,0.004145747041735663,0.0,0.0016734512572706389,0.00398854745628965,0.0,0.008853765385737445,0.0,0.002195241348534386,0.0024998210587851076,0.05382405869282505,0.010115263025031414,0.001032257325966484,0.0,0.0002578215725592969,0.0,0.005215500940463004,0.0,0.0019898593738665524,0.0025534093241069223,8.243576970054888e-05,0.0,0.0031901576231898937,0.0,0.006008738728684168,0.0,0.0015720646524034045,0.0008417179838536961,0.005004118855176618,0.0018713624318861027,0.0,0.010111541443596201,0.025957345235131917,0.004964544483650263,0.0,0.005859895196631273,0.005817844238802588,0.0,0.010022522570287355,0.0
