Aldo von Wangenheim;0.0,0.08536844159728532,0.0,0.0,0.0,0.0,0.0,0.0,0.0018596927004805185,0.0,0.0,0.006402684825965193,0.0015992584603663513,0.0014875433882643233,0.0010129199238510629,0.0,0.00398610633572991,0.0,0.0,0.0033391139553453383,0.0006058607728464782,0.0013214978583413783,0.0,0.0,0.0018637075184800543,0.0,0.001503028430886934,0.0,0.0,0.003446366531398955,0.0,0.0022678613781070968,0.0,0.0,0.0001883517046472005,0.0,0.0,0.0,0.0,0.0,0.0,0.0024243835003980637,0.0,0.0,0.022390471964521742,0.0010309959916398766,0.00020133350954072682,0.006475371851037366,0.0,0.0,0.009104687263149284,0.002511799125687057,0.0005194426628987121,0.004251999459316675,0.0,0.0,0.0,0.0,0.0029139534690227555,0.0,0.0,0.004163837975942402,0.0,0.0019191076765481703,0.00026481669013634544,0.0036787790244809607,0.00014237311710737382,0.0,0.00020746493540401488,0.011131555199684862,0.0023547331486520285,0.0,0.0,0.0,0.0,0.0,0.0,0.001535938097650043,0.0018388624989956364,0.0024025773411882052,0.012662775666124438,0.0,0.0,0.0,0.0018381253662347037,0.0038965904972926607,0.0,0.014282530496772064,0.0,0.004112983015516272,0.0,0.014240104808339366,0.0,0.010792820005807688,0.0,0.005005548608097107,0.0,0.00013855416043510781,0.0,0.01075415147561661
Heiko Mantel;0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.301351661073947e-05,0.0,0.00811209784872632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012849030385551133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006846683008206848,0.0,1.7919960649767022e-05,0.0,0.0011600406884198495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013115693549282683,0.011374218335690304,8.764369372458627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0026499277161906956,0.0015287667466470963,0.0,0.16406698414941964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021578059500708896,0.0,0.0034695334555379597,0.0,0.002861639165140495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011562469080467026,0.001491299642842924,0.0,0.0,0.0,0.006149427072008055,0.0,0.0,0.0037614095228488886,0.0,0.0,0.0,0.00518974030716895,0.0,0.0
Daniel Sonntag;0.0,0.027296326407247308,0.0,0.0,0.0012680428500164488,0.0,0.0,0.0,0.0,0.0001160679658921132,0.006948510336940365,0.0,0.0,0.0008451091767043484,0.0,0.0,0.00027768140079151483,0.0,0.01575756026469579,0.007538401615600856,0.0009507087853275434,0.0,0.00045798997752617243,0.0,0.014195736782419505,0.0,0.0007249630862454164,0.0,0.0,0.009689698157412595,0.004006058673274798,0.0,0.0,0.008395797511617478,0.0,0.001317734910449296,0.0,0.0,0.0009247633978146866,0.0,0.015112861288949017,0.002318534307214291,0.0030980706023834136,0.0,0.016710958344622877,0.0,0.002042900319036111,0.0,0.0,0.040582894413593126,0.005241547224980737,0.004817335588625789,0.0,0.0,0.0,0.0,0.0,0.0,0.003455655184216998,0.0,0.0,0.0,0.0,0.0031591862815094755,0.0,0.007235829620171987,0.0,0.0,0.0,0.031653765289191366,0.0037614253255398283,0.0,0.0,0.0,0.001111905538427088,0.0,0.0,0.011812758162764071,0.0,0.0,0.00048101833116150674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035199592782256665,0.0,0.001229809246265124,0.0,0.007319624250049449,0.0,0.004351920275918663,0.0018945652555710654,0.010798681601000636
Elmar Schömer;0.0,0.0,0.0,0.0,0.002204393308009659,0.004323891673781239,0.0,0.0003783444895320139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009145238347942911,0.0,0.0010735860366910394,0.0,0.010868466654781889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696241827668191,0.004014990255391593,0.0,0.0,0.0,0.0,0.0,0.0,0.00435579775838786,0.00035556415802570054,0.0,0.0,0.003356890422608451,0.0,0.0,0.0,0.0,0.0,0.012917321381908124,0.0,0.007811820880775362,0.0,0.0,0.00010342454510304397,0.0,0.0,0.0,0.0,0.0001296317857048552,0.00698325915200775,0.0,0.0,0.0,0.0,0.0,0.0006773698089098364,0.10502287184748882,0.0,0.0,0.0001126903152078973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005887768888365695,0.014623305899628264,0.0,0.0,0.0,0.0,0.0,0.0,0.003577955898801526,0.0,0.0,0.0,0.0,0.0,0.0011412300392700963,0.0
Daniel Cremers;0.005172195695043725,0.006128642531282931,0.0019716419373727702,0.0,0.0,0.02583314344277952,0.00154735168620422,0.0,0.0,0.0,0.0004304353808982016,0.0,0.0,0.0,0.0,0.05313483144088835,0.0,0.0,0.0,0.003942729444770359,0.0,0.0006865964757961914,0.005298857630619796,0.0,0.0008851639399769818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04042501137097108,0.00178731181064347,0.0,0.0012848747972804813,0.0,0.0033962157697114107,0.0,0.0003687051288509726,0.0,0.0,0.0,0.0,0.002284875987772526,0.0003334251920242648,0.0,0.0,0.0017695844361931585,0.001809981138907937,0.0,0.0,0.0,0.002325040474952747,0.0010999119529243808,0.0006735199915187691,0.000222506293949856,0.006009284022495903,0.0,0.0,0.0,0.00409033218728756,0.0,0.0003302073521460586,0.0,0.0,0.006298194524268468,5.342791106352636e-06,0.08134992303829978,0.0,0.001014584102700871,5.453723747807348e-05,0.00010666579790423657,0.0,0.003167896945298835,0.0,0.0,0.0,0.007668898123691952,0.0017259394678762298,0.06982422090629191,0.0,0.0032869207942106513,0.0014298853169352336,0.0,0.000880856253536958,0.0,0.0018372269630276647,0.0,0.010412675494802594,0.0,0.0005762116986237209,0.0,0.0,0.0,0.00494468651765424,0.0,0.0,2.6136433071721295e-05,0.0010270232382047864
Janis Keuper;0.0,0.0,0.0,0.0,0.0,0.001841931249398058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028719152105476786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024424807974599053,0.0,0.0,0.0,0.0,0.0,0.0,0.0003192699379283015,0.0,0.0035297543979250605,0.002893214658120046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014692665858829824,0.0,0.0,0.0,0.0005649772868160747,0.0,0.0,0.005742687561870495,0.0017740518477533153,0.0,0.0,0.0,0.003977142101915981,0.0,0.0,0.0,0.007904738393028455,0.009127628262953772,0.03772942838955848,0.001908236494118637,0.0,0.0,0.0,0.0009634594188325542,0.0,4.809631912818752e-05,0.0,0.020135330566568146,0.0,0.005094885280662357,0.2897047559293374,0.0010267011671739874,0.0,0.0,0.0,0.0,0.0015475786956019835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016901739075402538,0.0,0.0006230868157285734
Martin Buss;0.0,0.0,0.040977988171586856,0.0,0.004388847988395531,0.004894971142155886,0.0,0.0,0.0,0.0021322728111769856,0.0,0.0,0.003312285954450457,0.0004984932197494945,0.0,0.0,0.024889877955003286,0.0,0.0,0.0,0.0,1.9903175586845257e-05,0.0009696390378080122,0.0,0.0,0.0,0.0,0.0,0.0,0.0006221609811796891,0.0,0.0,0.0048204531101930705,0.0,0.0,0.018184046702745895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.050733259770768e-05,0.0007050390286910732,0.0,0.0,0.0,0.006620417917375642,0.0,0.0015432044688151942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04014242896096535,0.01086633301840887,0.0,0.0009182255254279142,0.0020161121538215783,0.0,0.006889394609121444,0.0,0.0001083507284974626,0.0,0.0,0.0,0.010153940728094758,0.0,0.0,0.0011379700987152147,0.0,0.0,0.0,0.0,0.0,0.0029480746129097383,0.0,0.0,0.0,0.006607222815889768,0.0,0.001006198120632649,0.0,0.0,0.001966789244054562,0.0,0.0026710658042421865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André Nusser;0.0089435837015636,0.0,0.0,0.0,0.005609525157437085,0.0,0.0,0.00048062766617818994,0.0009343935149064021,0.00213780222711296,0.0,0.005238021011204566,0.02201231214485606,0.0008909447250275507,0.0,0.0,0.0022545174279025243,0.0,0.0,0.0037462731796622634,0.0,0.0,0.001670329709518596,0.0,0.00369030894567692,0.0,0.0,0.0,0.00016756190263043623,0.0,0.0,0.0,0.0,0.0,0.0,0.00014924494677873162,0.0,0.0,0.0,0.0,0.0,0.0004213430946803781,0.0,0.005618210522500604,0.0,0.0014848184878074047,0.0,0.0,0.0,0.0,0.007402122196089673,0.0,0.0014980440894332965,0.001086195425538464,0.00020372377592401124,0.0008975224650433822,0.0,0.004879329876781878,0.0,0.0034267174565074145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019073108576349882,0.002715276395372613,0.0,0.0,0.0,0.0,0.0,0.017382381092893154,0.0,0.0,0.006066202279917575,0.0,0.0,0.0,0.002721917329330246,0.013460916783955333,0.0003130511997487359,0.0,0.0,0.0,0.026785416446200614,0.0,0.005032049553927203,0.0,0.00489339047468434,0.0,0.0,0.0
Pablo V. A. Barros;0.0,0.0,0.06970869972000618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019935450190159414,0.0,0.0,0.0,0.0,0.0,0.0030407097220150263,0.00019127715289160016,0.00031771339006577,0.0,0.0,0.0,0.0,0.0,0.003268830405704864,0.0,0.0,0.017400001607088225,0.0,0.0,0.0,0.0,0.00416770077546151,0.0,0.015845426290669543,0.0,0.0,0.0,0.002371143073245456,0.0,0.0,0.0,0.0,0.0,0.009595882460744734,0.0,0.0,0.00481976139311233,0.0,0.0,0.0,0.0,0.00012434622239884585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005237541682226299,0.007514655835211756,0.0,0.013182662820393102,0.0,0.010868963037707895,0.0,0.0,0.0,0.1085884805813986,0.0,0.0,0.0039080032805040125,0.0,0.005640930060798176,0.0735948118446441,0.002969705941635563,0.0,0.0025152201011685413,0.0,0.0,0.0007994946259112818,0.01804200488680784,0.0,0.0,0.00036896130460371156,0.0,0.0,0.005326790798744313,0.012625310919391293,0.008270247151700306,0.0,0.0,0.0,0.0
Stefan Wermter;0.005500922759833667,0.0,0.03043354309451082,0.0023100355546498003,0.0008698011116465823,0.0,0.0,0.0,0.006421145585017204,0.0,0.0034973905291289954,0.0,0.0,0.0014723203342453868,0.0,0.0,0.0,0.0,0.0024308935546958946,0.0005802507609874714,0.001135180122910764,0.00027391568875016894,0.0026976506719660473,7.4362366919402475e-06,0.0,0.0,0.0,0.006071792298649497,0.0,0.0,0.01557880014924501,0.0,0.0,0.0,0.0,0.03848366111720423,0.0009431587218016329,0.02249248062562177,7.77033916551613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008898442673707983,0.004019008298935791,0.0031871507620174853,0.0,0.0,4.019388784765605e-05,0.0,0.0,0.00016680285595355187,0.0,0.0,0.00034926494232995507,0.0,0.0,0.009798135299972463,0.0,0.0,0.0,0.0042598062119274605,0.006412489208542166,0.002711653888851594,0.022587983322020385,0.0036511403713866217,0.004260073993642628,0.0,0.00335747552865234,0.0,0.10221029137076333,0.0,0.0,0.0,0.0,0.0,0.12566490328128382,0.0004839861852830384,0.0,0.005990593305483809,0.0,0.0,0.0025004298935879608,0.01120330408238058,0.0010470641433240311,0.0,0.003850890048556471,0.0,0.0,0.025027880391418234,0.004442757389634116,0.005305309343984014,0.0,0.0,0.0018132602289857224,0.001522919316534084
Bernd Froehlich 0001;0.0,0.0,0.002860048963138253,0.0,0.0006945916819030003,0.0,0.0,0.0,0.008071571962719456,0.0,0.0,0.032355222984210674,0.0,0.0028650523011617005,0.0,0.0010885260301477897,0.0,0.0,0.0,0.0,0.00382562490032963,0.0,0.0,0.0,0.0022227789856049014,0.0,0.0,0.0021943943006265294,0.00033652160322794367,0.0,0.0,0.0,0.01845803411293733,0.0022824778181749633,0.0,0.0,0.0,0.0,0.00045527406419628184,0.0,0.00943375343416489,0.0,0.0,0.0,0.0048179332093552275,0.0,0.004523013291498411,0.0,0.0,0.0,0.013661606864509832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005314411544278212,0.01104646233879706,0.0,0.0,0.020420359962837288,0.07349985007263954,0.0012095285082144316,0.0,0.0,0.00165375777216635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018605767815012809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathias Weske;0.0,0.4613532138829196,0.005322842839461733,0.0,0.0009317163243555428,0.0,0.0,0.0028205159113023305,0.0,0.003563407817688385,0.0014693301200073283,0.0,0.0,0.0,0.0010220940999488633,0.0,0.0,0.0013434953012730966,0.001588177023740576,0.0015863887884461547,0.0012430106532477143,6.970742160333791e-06,0.0,0.0,0.0,0.0,0.0,0.0009922857098872224,0.0,0.0,0.007744650971937509,0.0,0.001801068077977036,0.0,0.0,0.0,0.0012616495227517751,0.0,0.0,0.0017905267247024473,0.006504817906222835,0.0,0.022695767150018902,0.0,0.0,0.0,0.0007316504237891056,0.004940804454569969,0.005462817842151442,0.0,0.008056651612596116,0.0009756429583012431,0.0009534886499185038,0.0,0.0,0.0,0.0030445210599802756,0.0021754392094368064,0.0,0.004111619445741845,0.0012277945612258795,0.0,0.0,0.01041410435193324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007448015147787758,0.002744978464655209,0.006021014425314128,0.00014206499397313285,0.006422392791032777,0.0007950571872367954,0.0,0.004716954127479456,2.5984187448126656e-06,0.003816228555349411,0.0,0.006434859882001,0.0,0.0,0.00452902171421471,0.0,0.0,0.0025619714251094647,0.0,0.0,0.0,0.003220885941721864
Andrei Popescu 0001;0.0,0.0,0.0028442433383751,0.0,0.0,0.0007005069922065488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008593080121368477,0.0,0.0,0.0006924467190142109,0.0,0.0,0.0,0.0009802674510354023,0.0,0.0,0.00029135858267713736,0.0,0.0,0.0,0.0,0.0,0.0,0.0010088349401751319,0.0,0.0,0.0012905040256315542,0.0,0.0,0.0,0.00129487781259924,0.008949496736239411,0.0,0.002454225480560927,0.0,0.0,0.007654692527892685,0.0,0.0017093326241590806,0.0009152797474694671,0.006136200473825802,0.000873599999194088,0.0,0.0032940653155468405,0.0,0.0006821329358793003,0.0006672804615079095,0.0,0.0001243811140243428,0.019140653291554736,0.0,5.5302441716510476e-05,0.0,0.0,0.0,0.014980379753217341,0.0,0.0013587163499707133,0.0,0.0008862258654752207,0.0,0.0,0.0004440281463173502,0.0,0.005773015032641617,0.0,0.0,0.0,0.0,0.00578402293083493,0.0,0.0,0.0,0.0,0.0027839896327335498,0.0,0.002516737838937687,0.0,0.0,0.0,0.0,0.0010969401146686366,0.2200082895101112,0.0,0.0,0.004781688353947319,0.0011193575406225986,0.006037315826485689,0.0,0.0018805372112900265,0.0,0.0,0.0
Robert Wille;0.0005992869610800549,0.04375234655834194,0.0,0.0,0.004318118074094448,0.0016889309879684828,0.00043890139328811557,0.0014422996251890348,0.002300849246785901,0.007279792251091642,0.0,0.0026353982810365015,0.002894769078831565,0.0,0.0,9.098153465481916e-05,0.004038956905451663,0.0014790534246852637,0.0,0.0,0.0,0.0,0.00023908853186544048,0.0019120183596775706,0.001582823243371131,0.0,0.02166341441227945,0.0,0.000375961943192669,0.002148550468481203,0.004086774440026246,0.0015251879803610923,0.0,0.0012710052905572586,0.0022405881068630813,0.0,0.0,0.003056965552617494,0.001117246963923537,0.0030960144295935662,0.009641064946144287,0.00026027239307713397,0.0,0.0,0.0006542780512348292,7.823851637239137e-05,0.0,0.00351124276949412,0.003938964150499633,0.0,0.0,0.0,0.0005071459506292153,0.001982387849751946,0.0028865934294409748,0.0038769526584018655,0.0,0.0044624801544575765,0.0020887499979195105,0.00047305379851549757,0.0008879908830903651,0.00013491681886123905,0.022990491966462558,0.0003173450007295624,0.001658138449926788,0.0,0.0,0.0930945337759542,0.020753038058324225,0.0016795477190062102,0.0,0.0,0.00021806500645090256,0.0013200056186178472,0.010239677462640871,0.002406240685415598,0.0005404991213838077,0.00062851644344452,0.0024974785566504584,0.0,0.002185951767823831,0.0,0.0,0.0,0.003112641738696427,0.0077944395757662665,0.003807165863233519,0.0003034378231723267,0.0008959888048858887,0.0,0.0018803090630150493,0.0031906139926804523,0.0,0.0,0.0,0.0037073681535257515,0.0014722884205983524,0.003009206171079632,0.0018150493001448346,0.0023907552225786687
