Rainer Lienhart;0.4803603840042938,0.08548302666335526,0.059381425962992125,0.050068484662959684,0.12987445389174374,0.011253157643762461,0.018920498002669872,0.03133373719535406,0.0228093354047618,0.008603404338182612,-0.006572370325435798,-0.03925341406414078,0.013122234874181458,0.025310490028718824,0.013698775490113972,-0.022584223431191864,0.027261683783355868,-0.00028448061573593017,0.023197141114015576,-0.03244980276948747,-0.058816871257698876,0.04230249989015243,-0.009418938463026055,0.03544048917417492,-0.021802668224277313,0.004463908820216231,-0.0015559737309452776,-0.037073138012936775,0.02496537769571103,0.0005325735531060121,0.03329159871098386,-0.010165404635965996,0.01447755607451682,0.0014149445363939952,-0.026378702931480442,0.02233333639454544,-0.05653721334724035,0.040664689525354215,0.014978364011272512,-0.016606276435835624,-0.008993626389452265,0.006380568852041519,-0.026705850772378137,-0.0017830103519065111,0.007068935616281615,0.004963885295285165,0.02848414313379309,-0.004928975218152737,-0.0034145063835126516,0.032302493789261706,-0.015924280494804346,-0.035819446569106544,0.01462499479863987,-0.012764820362921332,0.024561348696551535,-0.015421173832370448,-0.006648243433462682,0.02955301462996646,-0.008071419451755107,-0.00893547775546941,-0.04382551334827735,-0.004515180257025092,-0.0029802110965014123,0.03394202940098445,-0.0034963473733328827,0.012233492086833674,-0.024041798009032122,0.01980366062468631,-0.007893985594077009,0.01187779595895497,0.030799789862652895,0.0037648059408809083,0.0048450970001040735,0.02365952144430187,0.017755033425789594,0.027054289818362543,0.010778321431829342,-0.00902005404645047,-0.009240986891079347,0.0035184943266386875,-0.023495938822853935,-0.00808807005975613,-0.022476046357630158,-0.047272535657511716,0.0018116477937143562,-0.031791161611527625,-0.010137804985239874,-0.04547711381234305,0.003839311945679606,-0.014836732245860892,-0.02922044699389544,-0.04153674437389807,0.02509440245147054,-0.00953002402743212,-0.020271872648168144,-0.023709740784348694,0.023517570160467675,-0.013085825043050059,-0.020163049600068643,0.002841912688040655
Frank Leymann;0.43219856523136674,-0.1420722058502886,0.1621111358313119,0.11039230823794025,-0.15504320717578604,-0.1653907975758369,-0.02859223321090026,0.020874729931726295,0.14631746865903036,-0.011162960520337084,-0.027574459481535803,-0.01740514843072838,0.007108954649638585,-0.03226904752890483,0.09880774167513645,-0.04409377155663229,0.025132712143599033,-0.0380175730760488,0.04581971305511291,0.042091178282070686,-0.022269077480158047,-0.007636260474251661,-0.056278377215248164,-0.026260898157223614,0.00826132296459941,-0.01948311973569961,0.005686508350317251,0.00781390135356761,0.014285952222103885,0.0025005309451879313,0.009758673154620928,-0.010305575098476658,0.006360752497627835,0.006981622493176435,0.0060525456818030406,0.001338863151099331,0.036773792428820735,-0.040235387444440156,0.014134226277677887,0.02662397196991327,-0.025516457674361535,-0.050872337903435594,0.021375740500632356,0.02783213582953158,-0.005127655129106376,0.02380101282104613,0.0051772056285403455,-0.010889091118630793,-0.010497337298448067,0.05186879792841805,-0.027797981791000806,0.02707441587318201,0.0026526640091394894,-0.004342195023306307,-0.038749920302851154,-0.004474755627138755,-0.010304259292700938,0.032175131683939345,0.03664813924459107,-0.03804392695328761,0.008482079759602098,0.041476823462681514,-0.02038868865670231,-0.015935988199107857,0.040017181242733756,0.02559825745017941,-0.031047699625148775,-0.06221353491169496,-0.003870423167285529,-0.0009634674219791467,-0.01539281627727668,0.004265603831853991,-0.010394150658920158,-0.03594787474720946,0.013628313352131478,0.03049196168559962,-0.012486782162099447,-0.020011568513452024,-0.03231973401635946,-0.017763749237981546,0.051105025095550184,0.030389778679881498,0.007348478598575625,-0.0067872566011165526,0.0040737211235312275,-0.01818233510934238,-0.012360213419507965,0.02831111845629351,0.03178248885641247,-0.029186270907094938,0.017329843363681482,0.0038905774700513764,0.050387477441086445,-0.05002183745382931,0.012278792019090512,0.00790851651419826,-0.019064964860070945,0.012815459153994941,-0.02507726613950028,0.022494879442997173
Aldo von Wangenheim;0.3648970888278925,-0.01917286820537185,0.06728546585529856,-0.0020551501477070844,-0.0050763926894602665,-0.0007274015619964917,-0.0039948118626800845,0.04459996542547516,-0.0032532450080601247,0.023974080000896944,-0.0025390022558898933,0.032710795681345356,-0.038553902173815845,0.014724698271132954,0.05033590871304296,-0.03787325661132597,0.011387934390990118,0.048373213311226064,-0.03129951266687417,0.0029507714691343816,0.009190933691753916,-0.0006578607417604807,0.026363827419913877,-0.008818735852513623,0.0036336820981483905,-0.0006375672971824416,0.010342819187878998,0.0010537635289434438,-0.00868313262375532,-0.010316242454991882,-0.07667896862238133,0.027593254678328658,-0.025489590614162897,0.014302492127651945,-0.028207540626631816,0.037931255125568136,-0.019047080495940016,0.005796598386346329,-0.016902642032568638,-0.013748415363302888,-0.01722099833283473,-0.02247827994690968,-0.012225274640072456,-0.03421862443221434,-0.019310105261247847,-0.0189651616870007,-0.011344426544309146,0.015290985076655087,0.003722884710258127,-0.005617886536186327,0.024552745182999977,-0.023597210052798367,0.001463841965262318,0.0027592074384000763,1.7322519603992494e-05,0.02163026639044864,0.029753677994999218,-0.026676703828632093,0.007192068821167627,-0.03180399061911951,-0.030517680078811716,0.004702833402883906,0.009524823275930626,0.030857897983618106,0.03453127960211309,0.008566947790203481,0.008152512080909592,-0.03839254075485702,0.0017705497162894424,0.018143661790204667,-0.018501953329029142,-0.016539228854457612,0.005441280361308329,-0.01800260308368579,-0.018948954532679384,0.01798003708187433,0.003988325574238797,-0.024345062321512415,-0.028997958062387533,-0.0030055468028171535,0.020415044677060585,-0.022827014896679192,0.012635942293902584,0.000712822515796289,0.009879050817458223,-0.01814123189702921,-0.007444751150131618,-0.012970804237161206,-0.015609787114541172,-0.008610462460490817,-0.02127293069680439,-0.016280527245300172,-0.013582504493395466,-0.03950728718050122,0.01578731276198774,0.006659647676752763,-0.011556240403533364,0.000592468716602785,0.010893066485232037,-0.020756205671685308
Heiko Mantel;0.3634092687645627,-0.06987309415692275,-0.04609112983208634,0.04759609809893483,-0.11607236814818152,-0.06462864684083136,0.0389784319105229,0.059344449136675574,0.003306193826389643,0.1499615196069691,0.03141061929567704,-0.07406127246715627,0.06719146888393662,-0.053122971532432686,-0.12970269860239422,-0.029829244640327896,0.09200469447221415,-0.05120864513184401,0.037559111939388115,0.06362881334042979,0.06403388549360557,-0.016970684761260596,0.0411571700672511,-0.06683283665073292,0.0647505709083287,-0.030345113417850098,-0.07791706188402384,-0.011826716335141495,-0.030280942843989887,-0.0005087084128470287,-0.06989526208560691,0.01967022665944261,0.006904943514807507,0.01343331222087404,-0.028061555105782364,0.00447139172843056,-0.009870982727740351,-0.032422129510753385,-0.0013746678734947622,0.03651908844282158,0.05234485251490255,0.006694147545264406,-0.011178206710054076,-0.04775170556723853,-0.009908152813400097,0.030044075267912473,-0.04528366219477955,-0.020604856788285563,0.01251923930929986,-0.03551887207400007,-0.02842128805695414,-0.01796469958771423,0.01843788502079896,0.04652289839536036,0.0383039382026479,0.01708677927777227,-0.03247321400467074,0.0020718605826839072,-0.01777165574649851,0.013733690936770949,-0.018238510638480872,-0.030454558870983143,0.009854864263001204,0.048376140313510084,-0.006894161320887709,-0.029331653019073485,-0.017756157911005287,0.031446393756459905,-0.02862709069995744,0.02945122618900611,-0.009026825929967846,-0.009036748265730764,-0.023576542534221284,-0.017070864787006024,-0.009898367260076308,-0.05298449156953801,-0.025444567715019194,0.035557912329033374,0.035058449552176005,-0.018006667819903267,-0.010490459068759892,-0.0057939582602209985,0.003626638649162337,-0.0028649252315857392,-0.03395546742835138,0.014403009098377998,-0.014732398810946472,0.0038852710631811314,0.02036627986722768,0.012574815273091308,-0.0008788857383238112,-0.026429684662060433,-0.032512223455117936,-0.0033168095644618206,-0.003185990549435615,-0.01593632406813634,-0.023885436854534512,-0.010320008823177691,0.02326970035100503,0.02104805009981946
Carola Doerr;0.44554358046239756,-0.005336243784184156,-0.08555884213330062,0.20498899899160442,-0.06336043055867993,0.07864716040876861,-0.05743383568358386,-0.036057079466709614,-0.037838632624373814,-0.018115837318455164,-0.022085758073339998,0.005743418055461195,0.004351619581745587,-0.06472092738936797,0.017900092182813025,-0.010342815855587582,0.018228592300142902,0.046552067215085036,-0.11468553759057958,-0.056184328112646814,0.047541061118316345,-0.06456564639380748,0.01798950821169523,0.09610983469730529,-0.005719712186031857,-0.013882808875031231,-0.03446252405935258,0.024959322936010175,-0.05440988066251883,0.06891345810813758,0.06246896668598273,-0.03724831092649527,-0.03521911721478452,-0.07465910002393669,0.04457980615300916,-0.001999467256160707,-0.055184615348158016,0.026721531041407124,0.0029814800584766687,0.09085365782392585,0.003973166974831382,-0.10999123277073079,-0.06916288189157133,-0.02075701916701622,0.05407906251483091,0.02947692719934958,-0.02279135745886046,-0.03484255438336706,0.03215113247914055,0.08484231536902928,-0.09075998086112717,-0.07431914919061351,0.006801467172316642,0.02661354256876627,0.020246011672064638,-0.031332768395589516,0.07290952021451132,-0.06994667266010783,0.039901599960009866,-0.017132881880729985,-0.013080103496209566,-0.015980917142144314,0.04727929410043284,0.01835060145701551,0.0019078230362497915,0.007928132907805793,-0.03153471258458042,0.0474767984369841,0.005996678152778168,-0.016863907015870587,0.015911587133169022,0.026396576672914108,-0.030248975382507523,0.05851951594876794,-0.01974963828158951,-0.015802883980129828,-0.02113302062173145,-0.02045810078748067,0.017896307109495416,-0.007950448335713954,0.0431213875714023,-0.013064136508638507,0.0037331809957827315,0.017734660249749845,-0.01393120027742433,0.03091452002070653,-0.019093460439398628,-0.0221146541643167,-0.025365228655390634,-0.0023957834069914656,-0.019393060313666964,-0.00777545971692795,0.013997783314530044,0.0003217210253724399,-0.04730578336384781,0.01449819286223269,-0.010473178170220242,-0.0007913877553715448,-0.004222254738204345,0.0028695081310697113
Timo Kötzing;0.4166543689081033,0.02061503543757004,-0.16308944903073241,0.2038201434841099,-0.07160171922929921,0.10710157317720628,-0.047969570853941206,-0.040258118346059066,-0.028775505542595052,-0.036950093035438114,-0.018961913948154392,0.007123565444134287,-0.007755365020145125,-0.056893217370956865,0.04442583783942031,-0.008383962845453043,-0.01782578429122276,0.042278369658573595,-0.07170281997387722,-0.038055884453238646,0.03691985255562416,-0.08141553870518198,-0.0034557981520525454,0.06496702319337404,0.007608726390244578,-0.04200416841085778,-0.0339491264152717,0.03332129303183122,-0.061751076437244895,0.0826710761062279,0.07685238004223864,-0.04293649821741445,-0.03877987943121096,-0.10697077540339266,0.09281836271639332,-0.053571722151903735,-0.06530645489439776,0.028730572078413025,-0.013724909363269687,0.13126206704361598,0.018753670392334176,-0.16633558898747816,-0.07536413423422059,-0.04814696157337509,0.07139758057157519,0.07236982608678875,-0.06560089022473968,-0.047067385768974505,0.028547948993265432,0.13507850469332025,-0.09271110450133194,-0.14822739883073469,-0.016834442575961655,0.06488333917212923,0.03295050290518195,-0.013761985917134206,0.11835500233467365,-0.09048934596639416,0.03059412130054664,-0.03325007242730698,-0.0006573040411688153,0.02620385761879983,0.05237658310448722,0.002522548891360151,0.01859118352276752,0.003820781461870754,-0.04021236838869481,0.061095046338061496,-0.031015810341576144,-0.03849267253152272,0.026647265119461867,-0.002608680330158016,-0.07566983806217094,0.0854997711586674,-0.010741562968996367,-0.04944427635286899,0.002995381753035801,-0.01812701167050972,-0.005338332932449057,-0.03164689975192605,0.061724126517942644,0.002536712025123931,0.02317206332253044,0.043468440464113856,-0.0069031440648637515,0.05538165859589568,-0.013251451566944163,-0.017679425117047426,-0.030548894038715114,-0.01830020800808633,-0.03532630558871911,-0.01897143043921387,0.005040154346671462,-0.029188245980539908,-0.03931191353084879,0.004807169584904082,0.0018846267845391554,-0.009283202694011299,-3.141997184366059e-05,0.019983918029461045
Daniel Sonntag;0.48010319894407844,-0.01723388007359887,0.21050965504755104,-0.02235261462266608,0.011483449406846247,0.07802528035249046,0.06802054693809109,0.04169365297664794,-0.00977730076796996,0.0272634805740055,0.011263981425119451,0.016827422235167568,0.038188536636593225,0.030719258823816493,0.06941312202034916,-0.033392564671594786,-0.08437129616374718,-0.0518411801138931,0.0360057921189077,-0.08001745394966991,-0.011811551286358926,0.021617653105081663,0.03370442984526486,-0.03157688738010953,0.03656637783763663,-0.043858986589097274,0.05899986481837904,-0.0013421443175951234,-0.015167642079363988,-0.021466585894393563,-0.026050862671769336,-0.0027639830720055324,0.03552598403558956,-0.011177600662422668,-0.04609224227708979,-0.03544693044186473,-0.06260635244983591,0.008189394055732333,0.07317128911577604,-0.018954763180793237,0.004712512388101336,0.017018693642196592,-0.027957458256789514,-0.008099564530105633,0.0013943523473034637,-0.04445532566692422,0.02411294259024142,-0.016301297467214933,0.04154861236127534,0.08254238295143157,0.028638425142745266,-0.030632556664165936,0.031570272520517355,-0.03519533818377334,-0.006043392001211279,-0.02413242246325441,0.022213944616997786,0.010576696032631033,0.007688969958395483,-0.006019405176613956,-0.04286823270406372,-0.0019436712826769338,0.013830425135557267,-0.003383963486071102,-0.005064632727034895,-0.013756866385966229,-0.007225758405347943,-0.014557460472423874,0.04067619317853253,0.02929906221738427,-0.022105884832618918,0.0024409866050265462,0.023989117608686734,-0.013806013024486362,-0.019531343695025693,0.005572621726377137,-0.02720151248313882,0.017935354917812632,0.0184721885106841,-0.028621978529713522,0.03091708531791173,0.026851218018791565,-0.027158524573728814,0.03075463876382816,-0.023740791606989126,-0.009794451265495442,-0.02007051726779273,-0.026260166773877686,-0.02157126628463975,-0.016497241383768544,0.0032170243408083665,-0.012141617232707144,0.00759656132370769,-0.009613451363855824,0.008715287952926578,-0.0015074373200947985,-0.016466013214268674,-0.02081823141260295,-0.02693619993851392,-0.005364037961848929
Manfred Reichert;0.50819060103502,-0.09478506453567823,0.21234709045765504,0.10594788747638363,-0.11216468335115758,-0.01700835593675398,0.046288386301719164,0.02896198734775824,-0.02835622330947007,0.05880665814321918,-0.05231622171856498,0.016418131848932534,-0.04742462879510734,0.0365377042843954,0.06830361194161776,-0.07077297231826254,-0.015153867380245512,0.007004599544296025,0.035240855809032835,-0.006852932978714774,-0.009509049679891296,-0.005945806261650938,-0.07109403203066327,-0.022433725319498426,0.03777496478851961,0.012618025292602433,0.04052146643012279,-0.02602104374249468,0.04370008023435173,-0.01121616550622066,-0.030643222822533414,-0.04961115565828704,-0.003642878424790579,0.0038166298370681355,-0.014653587747586683,0.016099150015968313,-0.009932368280910627,-0.01308333311108631,-0.01432700255390949,-0.03552064805010757,-0.009520055405965398,-0.0555729939587007,0.021831309824916163,0.004763907587981449,0.007692080887275742,0.025662564524216707,0.017808765623398587,-0.007452332076595224,-0.003473710737250086,0.027662172215469783,0.011411285129289583,-0.0429756511779397,0.02821138923341969,-0.011548846667451916,-0.035407246273818575,-0.013440770160374848,-0.007426693221305613,0.010047685665983205,0.014506932138472583,-0.030524488531544137,-0.008902664347295416,-0.00549230653201919,0.032789591338902316,-0.02161608091205955,0.022869933208322566,-0.00897837438269876,-0.004034052079639911,-0.022310882615572517,0.005499044526533679,0.01674692637061608,-0.005604916734148653,-0.013078042443025255,-0.028189104447042698,-0.0016215580851498183,0.038631054510539366,-0.009738641510192192,-0.04427288786111844,0.016373250575189725,-0.01792214546534193,-0.03502588632752551,0.024031271204309618,0.023406162592261602,0.01592008311207943,0.00993314335886734,0.012051594136001738,-0.023069612867665346,-0.00821605809921342,0.04269189040871807,-0.005527293055692143,0.005364389701256669,0.017518955296880974,-0.021252073493616828,0.010390463367106714,-0.0214189136770906,-0.0033100825978750305,0.0013530494801285997,-0.009216460904234537,-0.0031499319358719584,-0.0028295878260645806,0.013012686478417681
Elmar Schömer;0.3666435056994954,0.18845451325766527,-0.04101452016531242,-0.04690783314755427,0.021712840561206797,-0.059362736668942505,-0.01610993220859281,0.11616426835350713,-0.014542254791628243,-0.06514560749519817,0.06359790386294652,0.021331608304714422,-0.00647055812064971,-0.06239941864256421,-0.014612699251842488,-0.014762555228450505,0.00197049902605326,0.03776736752685866,-0.037440706464906874,0.025413654829875443,0.07675328723820893,0.041215388863505,-0.06870723367656117,-0.010078870888365352,0.02985215125183141,-0.014775798705632223,0.005321734988804836,-0.023221917874705567,0.056149370689658494,0.06583155314315278,0.012837937990166295,-0.01214871125646473,0.02965390593980881,0.002535534798919774,0.04844409954632686,0.05290672097343645,-0.09653762622249346,0.06880303979686962,0.09170207245157404,0.07374377972331897,-0.07485509811000261,0.045838411415790675,0.06453910325591843,0.05354056940695017,-0.10587272807655343,0.0868336964804159,0.04216989835974071,-0.03364069071691347,0.00961881493579051,-0.08528251998972039,-0.04936712297584775,0.07450113951970794,-0.10550521882894184,0.008888439900238342,0.047560096619852,-0.05142792347700201,0.09228203643733705,0.02149960585965304,0.040768906887467524,0.07912645231430657,-0.06405882614528219,0.002919709773424387,0.11069830524605799,0.046215410445978905,-0.05759360700806622,-0.007509964930337723,0.03310686499351818,-0.0141333160379729,0.05151611856160734,0.09619171784136206,-0.03357802056393754,0.011344078110222066,-0.033064677006104215,-0.02705037593022838,0.007698447686971858,0.001224136835119973,0.06802849872068828,-0.035955696269813896,0.026364485485278956,-0.04311982285009432,0.0486861405241165,0.06675901616429152,-0.0350011688906297,-0.03213687849708265,0.013483273433881369,-0.012506899018847138,0.004346448623863673,-0.04639189783072699,0.048309325619001774,-0.001009718207817872,0.015431861521999202,-0.06656086873356215,0.002891076139935338,0.015348221715161406,0.024824737018879453,-0.0017609028136641683,-0.03076602661670317,0.0018338631806358678,0.03433410788006296,0.0015519670782339302
Daniel Cremers;0.5270450424656835,0.33067817441550207,0.014401665119179542,0.16108836530111426,0.09434570508152376,-0.03471430464549544,0.014955125511266702,0.14571875109837837,0.04675070098952458,-0.05228909288651352,-0.048185323531137185,-0.002867393353062993,-0.10925620912936201,-0.10120969687883294,0.0217859044246701,0.06287504015021271,0.010641885847589759,-0.032417649370501664,-0.026719041519024274,0.025227214131299275,0.011501304785035854,-0.06898278567401823,-0.05231713445439969,0.048457136733736056,0.04311994432745399,-0.07855572969121635,0.042473343293313946,-0.08120264343224336,0.023332112289406976,-0.04581022255729878,-0.009420246472690654,0.057646761297597514,-0.0038430044810525118,0.031775086546337324,0.025828223704841488,0.04654319303645863,0.04637102796374651,-0.05726925601452245,0.03596070802430128,-0.0004675140158201781,0.07577875422722705,-0.0024935213683953826,-0.029928229417642737,0.061695271983438264,0.05928983894601233,0.03231467985161216,0.02001981969989693,0.0624884765819968,-0.007274310800255837,0.00549430691240702,0.02218184817083774,0.03729844334105271,0.005355996173951997,0.0010588759335110462,-0.03009403557838142,-0.024821805128660314,-0.0054869556725233755,-0.015192506291954472,-0.01920816536009213,0.01757437008713769,-0.01415309240536546,-0.04636521309918614,0.010838857783125547,-0.0316137046597868,0.016091775989564076,0.00762977884312171,-0.007497807460259411,-0.0010403592807179838,0.06678829099362514,-0.04368745544158981,0.0019502978229122372,0.011345065757009188,0.004227634029976354,-0.025297319788096462,-0.02878579766791449,-0.07410390205845702,-0.009741989484274445,0.008045421821365428,0.007623215293747372,-0.030359639611568994,-0.025458072676474854,-0.015391985066363,-0.02346929340089577,0.028786536411827584,-0.03337521349895092,0.047681798351476956,0.05229796804197757,0.05322556113282609,0.002886678136099883,-0.0051118497009711725,0.008796715154189654,0.0009278302001809881,0.05092350235776335,-0.04077052315437285,-0.019641005803489393,-0.021973270328992232,-0.00852704891469249,0.011247415658587981,-0.0028988087528406172,-0.013259437565000871
