Gerhard Weikum;-0.78207934,0.3670872,0.009417411,-3.256169,0.4544791,-0.31996185,0.5482867,2.113477,1.3323485,1.5808728,-0.8201067,1.3531843,1.4751401,0.102250084,-2.8163862,0.64187086,0.76289696,0.3804789,-2.854821,1.5871512,-1.6486479,0.9490865,-1.3857532,-0.23745371,-1.173026,1.8942022,0.16025974,1.6786865,-1.3201743,-0.6675537,0.37967977,-0.80453694,1.0021489,-0.83825314,-0.60609835,-4.2378707,-0.15268551,0.2721356,-0.20868503,-1.0706261,0.8465241,0.45670655,0.10020679,0.20164406,-0.90952206,0.984444,-0.55083156,-1.173671,-2.3539388,2.5020928,1.391169,0.27404,0.46466976,0.14589906,0.6741538,1.664944,1.954432,0.97772944,-0.5706787,0.44007137,0.1625018,-1.1614449,-0.107410945,-0.30477872,-0.90178984,-0.32387552,-2.3729265,1.1230913,0.8391736,-1.8945588,0.17651743,2.2115443,0.30247533,1.5606997,-0.2452457,0.55017155,-2.4408174,1.384537,-1.6617467,-0.6173902,0.12525475,-1.0917809,0.680683,1.345052,-0.824565,-1.7343765,0.75334054,2.926286,0.27437943,-0.7485979,0.25500184,-0.49175882,1.3164227,-1.8363867,1.8053015,2.3150835,2.4351866,-1.3503492,-0.18203665,0.323564,-0.31393397,0.2507183,-0.5408549,-1.5730718,0.10259593,-1.6661128,0.27876523,-0.38651827,-0.9074745,2.0460746,-1.5328615,1.0970215,0.38877928,1.3691186,1.0218922,1.4788948,0.47852415,1.745158,-0.3929669,-0.23452221,-0.9071667,0.13937443,0.79588807,-1.0648714,0.538476,0.36197278,-1.6400111,0.047439687
Bernhard Schölkopf;1.2470338,1.4110193,-0.5369782,1.5436819,1.231686,-2.26557,-0.20321469,1.9285691,-1.964301,-0.03968685,0.5847802,2.1982539,-1.1953716,1.3831489,1.7656338,0.7651325,-1.9094403,0.31012443,-0.7740532,-0.2167913,-1.524323,-0.8831635,-0.16270101,-0.1575179,-1.5271271,1.485942,1.0338691,-0.8986791,0.629691,-0.8157646,3.2678115,3.2504237,0.9390496,-0.84358776,-1.5452951,-0.01903491,1.5676612,-1.1440055,1.6707753,0.12886377,0.36503154,0.06600028,3.5796,-0.2696456,1.228187,1.0630568,-1.2393961,2.3694162,-2.4000661,0.3833872,2.3617847,-2.1936655,1.519362,2.2341957,0.23424625,-0.22012578,0.3930096,1.3945972,-0.6587723,1.432195,2.4209094,-0.5013176,0.9062199,1.0296272,-0.4888463,1.4621811,-0.18465707,1.7792249,0.3342662,1.796949,-0.55611885,0.5263357,-1.4868819,-0.44879317,0.33212596,-1.4527602,1.1374161,0.60429704,-1.2891277,-1.4575622,1.7419391,0.23345616,2.5341382,0.51526165,-0.4105325,0.038525257,-0.4573303,-0.94049495,-1.2123259,-0.91315776,-0.09348978,0.28517932,-0.93973243,0.29108912,0.7359283,-1.901751,-1.4401642,2.2171779,-0.72370005,-3.988559,1.6881473,1.2575216,-2.063011,-0.7175907,1.006382,-1.6799775,-1.1994786,-0.2599909,-0.12027525,-0.75076723,0.079544425,-1.001048,0.9505024,-0.75679874,1.5727118,-0.86681163,-1.22628,0.61723083,-1.3696055,-1.6264288,3.1560588,1.4462457,0.9499597,0.5736789,1.5546769,0.1270424,-1.9639564,0.6228458
Bernhard Nebel;-0.06981486,-1.4439361,-0.06554777,0.219524,-0.015023793,0.31629482,-0.96700174,0.013239676,0.43080226,-0.34994677,-1.4028426,-0.83922,-0.8658964,1.5085396,0.1116227,0.26582262,0.36962968,0.74029255,-0.4909038,-2.1109183,-0.9428974,-0.17157924,0.5616847,-0.383318,0.5747471,0.5862437,-0.08595048,-1.252175,0.93048745,0.07911138,-0.799508,0.44197196,-2.3660226,-0.35546604,0.119446516,1.5806724,-0.3920652,-0.59862286,-1.0263416,1.411611,-0.31796458,-0.934691,-0.9053892,0.26654476,-0.47528467,0.35872996,-0.5499198,-0.6183664,-0.55984545,-0.8042694,-1.9012358,-0.04581513,0.14706756,-2.6487882,0.1517228,-1.6794163,-0.950761,-2.2114165,1.925352,1.8355316,0.53556746,-1.2388645,0.49818972,-1.5191258,-0.7115311,-1.7754015,0.1784553,-2.0800228,-1.8179648,1.0188177,-0.6065484,-1.557026,0.37171623,0.34239173,-0.4948346,1.3651081,2.7953444,0.32488462,-1.012041,0.5741162,0.7594146,0.9163512,-1.1847407,-0.82472646,1.1530377,1.2920891,-2.1645143,-0.7600494,-0.69667727,-0.0911074,2.4291413,-0.46122193,-0.66597366,0.14119364,0.4282199,0.3219097,0.77115,1.071638,-3.0727718,0.12455529,0.619141,-1.5168233,1.262581,-1.2455456,0.7545625,-2.3534439,-1.7034236,1.3428421,0.6719144,0.49181944,-1.6257987,1.4337685,-1.3996091,2.773568,0.51083696,-1.6111463,2.5465107,-0.5937878,-0.87197995,-0.30554768,-0.2738261,-1.1869217,-0.862671,-0.8063601,1.494857,0.10805,0.7675948,-0.44781736
Alois Knoll;3.2780492,1.135626,-0.9383775,0.9925354,0.4898513,-0.080616824,1.0729854,-2.7931147,-0.35779786,-1.2311391,0.6703077,-1.1700591,-1.5263034,-1.6084385,1.5337598,-2.2248406,-0.24807408,0.37995604,-0.0652638,-1.0532773,1.6534481,-0.055948738,0.25156686,-1.4679971,0.4891917,0.98347634,-2.0123997,0.17706996,0.25975007,0.36327466,0.40305498,-0.6713602,-1.661384,0.5675488,0.7082868,1.2628039,0.36522284,-2.4937673,1.3023733,1.0460805,-0.14013034,-0.12600845,-0.15498467,1.3643957,-0.8804009,0.605383,1.2320851,0.4637865,-1.0323011,-0.7032171,-0.53161997,0.5909586,0.19662566,-0.027371151,-1.1049253,0.38014638,1.0389318,0.046927094,-1.3749381,-0.30525935,-0.6691603,1.6151673,0.05974582,1.2837713,-3.2175922,-0.737697,-0.56017935,0.38048592,1.3522804,2.137734,0.64621836,0.22317208,-1.9502393,0.77343106,-2.1128244,-1.925825,3.4264112,-0.74527454,-0.19884755,-1.1885446,0.79182845,1.6313484,1.6913292,0.51589787,-1.0558528,-0.96595013,-0.65557647,0.8523814,-0.45404404,0.63795763,-2.0994058,0.86185414,-2.5036159,0.96306056,-1.9156016,0.051660873,-2.7951021,1.5547976,0.77489793,-0.21475665,2.3697731,-0.21396756,-1.2079278,-0.8861761,0.6218063,-0.080966875,-0.6128811,-0.23847513,0.15013814,0.10275107,1.0219189,0.22383484,-0.40096566,1.1954648,-1.4689635,-1.2829798,-2.2642026,2.501482,-2.0509307,0.71080565,2.5859854,1.5186774,-1.1367154,-0.65537924,0.51749897,2.5083325,-1.7686201,-0.020037893
Alois C. Knoll;3.2780492,1.135626,-0.9383775,0.9925354,0.4898513,-0.080616824,1.0729854,-2.7931147,-0.35779786,-1.2311391,0.6703077,-1.1700591,-1.5263034,-1.6084385,1.5337598,-2.2248406,-0.24807408,0.37995604,-0.0652638,-1.0532773,1.6534481,-0.055948738,0.25156686,-1.4679971,0.4891917,0.98347634,-2.0123997,0.17706996,0.25975007,0.36327466,0.40305498,-0.6713602,-1.661384,0.5675488,0.7082868,1.2628039,0.36522284,-2.4937673,1.3023733,1.0460805,-0.14013034,-0.12600845,-0.15498467,1.3643957,-0.8804009,0.605383,1.2320851,0.4637865,-1.0323011,-0.7032171,-0.53161997,0.5909586,0.19662566,-0.027371151,-1.1049253,0.38014638,1.0389318,0.046927094,-1.3749381,-0.30525935,-0.6691603,1.6151673,0.05974582,1.2837713,-3.2175922,-0.737697,-0.56017935,0.38048592,1.3522804,2.137734,0.64621836,0.22317208,-1.9502393,0.77343106,-2.1128244,-1.925825,3.4264112,-0.74527454,-0.19884755,-1.1885446,0.79182845,1.6313484,1.6913292,0.51589787,-1.0558528,-0.96595013,-0.65557647,0.8523814,-0.45404404,0.63795763,-2.0994058,0.86185414,-2.5036159,0.96306056,-1.9156016,0.051660873,-2.7951021,1.5547976,0.77489793,-0.21475665,2.3697731,-0.21396756,-1.2079278,-0.8861761,0.6218063,-0.080966875,-0.6128811,-0.23847513,0.15013814,0.10275107,1.0219189,0.22383484,-0.40096566,1.1954648,-1.4689635,-1.2829798,-2.2642026,2.501482,-2.0509307,0.71080565,2.5859854,1.5186774,-1.1367154,-0.65537924,0.51749897,2.5083325,-1.7686201,-0.020037893
Wolfram Burgard;0.3351514,-0.64598036,1.009819,0.44304445,-0.46983165,-0.4845222,-1.6009219,1.5919269,-0.5259558,-0.46860957,-1.2837853,0.5721395,-2.9609969,1.312134,-1.4162918,0.447741,-1.4993814,0.3217744,1.1169267,-0.85254925,-0.19257036,-1.0955634,1.4579076,-0.40869698,1.0310717,0.31862906,1.2167151,-1.1257203,0.13381375,1.0812066,1.4722533,2.345157,-2.1198528,-2.7139494,0.23754932,0.48375002,1.116692,-0.69490254,-1.2219483,1.7490585,0.029599473,1.0764636,1.0238408,-0.107612856,0.5345336,1.587104,-0.9005028,-1.5549079,-0.27084336,0.9801884,-1.8416903,-1.2571998,2.1402862,-1.0669508,-1.4356526,-2.2261968,0.12548448,-0.39578345,2.456808,1.4021922,0.608549,-1.1829009,0.06797212,-1.5792297,-0.3575983,-0.74117756,1.43408,-1.4478724,-1.4249184,1.9217662,-1.4773941,-0.24918574,-0.5192002,-0.84667534,-0.5889259,0.3048181,2.4136734,0.7765581,-0.67430454,-0.75892985,1.2497419,0.6791152,0.50062346,-2.3248208,1.2864833,1.7350203,-1.4675939,-1.4934672,-1.3434538,-1.2349752,0.7698915,-0.05638567,-2.1749763,-0.056430116,1.0942194,0.87157935,0.5599276,3.3970473,-2.522159,-1.0433651,1.5313529,-0.8292685,-0.24337496,-0.5757806,1.5651569,-1.927688,-2.0913274,1.2717626,0.17457692,0.9121997,-2.1713872,0.27136564,-0.22302982,2.4049563,0.043510873,-2.4481623,1.084456,-0.7795831,-1.3152907,-0.6954749,2.3972783,-0.76553214,-1.9810836,0.3583978,1.0360996,1.3191794,0.6070151,-1.6787891
Albrecht Schmidt 0001;-0.21145533,0.68473065,-0.49321866,-0.78290164,-0.7502835,0.5350542,0.23232256,0.17759639,-0.8394303,0.4777016,-1.437142,-0.6232194,1.8630881,-0.5946185,-0.43269134,-2.28172,-0.6212758,0.66341126,0.73408645,0.6458434,1.0186952,-1.6612887,1.7790985,-0.87655544,1.3797221,-1.3217021,0.95626533,2.1101909,-0.38225543,-0.40724355,-0.19108245,-1.6922035,2.1157627,1.7273657,1.1376735,0.14906676,-0.15099503,-2.371284,0.28477207,0.10025821,0.87617475,-0.07519106,1.0820252,-0.40331745,-0.36672625,-0.7163477,1.1882101,-0.5439198,-0.69251627,-0.5318471,-1.0814369,0.38818127,0.8769192,-1.0448052,1.5362345,-2.7370944,0.020044187,-1.3274238,-1.6489902,-0.48122454,0.7522973,-0.7937389,0.9775598,-0.6815719,0.6774853,1.9643744,0.4567605,-0.68014205,-0.94410086,1.695317,1.0544436,-1.3083658,1.1913084,1.7362913,0.28163055,0.87171537,1.0665652,-1.3324378,-1.2517841,0.13093325,0.089856714,-0.6049835,0.3217413,0.5536975,-0.51588666,0.100928694,-1.6641735,-1.4881947,-0.50504404,-1.3934295,1.5681558,-0.3275473,-1.3644679,-0.1586787,0.30880427,-0.018642383,3.2149699,0.5345864,-0.6363058,-2.4066105,-0.8577221,-0.3909657,-0.8906546,0.76553756,-0.59527665,-0.22916567,-2.8389316,0.23217873,0.6610864,-2.163784,-0.33525425,-1.2662717,-0.6724785,-0.331039,0.31661326,-0.68665063,-0.7239845,-1.6400005,-3.108663,0.3340491,1.5714754,2.3059895,-0.09436054,-0.72865254,-0.018526752,-2.5523,0.270041,0.9180026
Steffen Staab;-1.121275,-0.37336707,-1.2633854,-0.7488158,-0.6580829,0.26866525,-0.6743328,-0.4550128,0.48647356,0.47238082,-0.13514149,-0.9959555,3.3186023,-0.7190212,-0.2302537,0.061967187,2.4086611,1.2074383,-2.2433298,0.7839744,0.25143248,0.71963924,-1.3810245,-0.33358818,-0.50993013,1.9120901,-1.1018838,1.5718659,-0.7988538,-0.45413387,-1.0683304,-1.3579855,-0.9166115,0.6035325,-0.9975063,-2.320199,-0.9272925,1.4031434,-2.2403493,0.5714543,-0.43179208,-0.76068354,-1.3389628,0.57076323,-3.5344076,-0.70307463,-1.0262744,-0.1717808,0.032812666,0.9253591,-0.058959614,2.1122925,-0.9479025,-0.61493486,2.1072083,0.60684717,0.3548569,2.5507734,-0.6271881,-0.4619438,-0.94031227,-0.5693748,0.24522953,-0.600785,-0.4728795,-0.3568883,-1.3631767,-1.1918088,0.7761307,-2.2862406,2.3397646,-0.58340436,-0.08084714,2.5320225,-2.0119035,0.11119847,0.9544974,0.2238872,-0.39863425,1.3791643,-1.273108,-1.5072458,-0.37399507,1.9657758,-1.0203311,-0.6565143,1.9138533,2.3314352,1.9273517,0.8437153,0.9211453,-0.5791119,0.53475696,-0.1172837,0.1924249,1.4281493,2.4551632,-4.4449863,0.80466783,0.7849542,0.45617452,-0.85579747,-0.543631,-0.3475058,-1.3362312,-0.5105682,1.5356107,-0.31212956,-0.9536349,0.5618776,-0.76538926,0.31957766,0.1742945,-0.28216684,-0.13534155,1.477766,0.17737885,1.4441184,-0.6693171,0.47020817,-1.8125648,1.8923335,-0.56550616,0.47341934,-1.8255223,1.0855012,0.24987058,0.1876169
Rudi Studer;-0.5744301,0.60693324,-1.2677299,-0.7080325,0.7702164,0.6169146,-1.0598643,0.65350956,0.24846464,-0.036699984,-0.59757864,-0.9665015,1.1302207,-1.1377892,-0.6264471,0.17653826,2.2879632,0.8442252,-2.8206842,-0.63162845,-0.52906173,-0.30205917,0.92708194,-0.6119403,-1.2347734,2.1895113,-0.3942813,0.91048044,0.41503844,-1.3728659,0.064433955,-0.28823903,-1.4577569,0.07286656,-0.8602589,-1.8885841,-0.6307646,2.4186916,-2.1032672,0.58757204,-0.40153697,-0.48347414,-1.404372,0.8687258,-1.4395212,0.4293255,-1.9293935,-0.5039839,-1.6184891,0.68996215,-0.35055426,1.563463,-0.16661762,0.10019309,2.0237465,0.02891453,-0.2151696,3.4779997,0.1273333,0.22149222,0.6585154,-1.6986332,0.21376884,0.09114745,-0.17109825,-1.0869426,-1.6378162,-0.94868904,0.08641726,-1.9007586,0.86623037,0.5450645,-0.5159786,1.1461025,-1.1569116,-0.7659745,1.5674973,0.43780246,-0.94626755,1.0948255,0.3278151,-0.4768983,-1.3815043,0.5030774,0.049666476,-0.939718,2.6623905,1.8623743,0.34119436,0.07229343,0.26950303,-0.5380217,-0.24006733,0.9924429,0.78326267,0.35269284,1.0861433,-3.0690448,0.72587305,0.991289,0.7893127,0.07715985,0.28985256,-0.7264068,0.25076708,-1.4537145,0.5004772,0.40053624,0.48199207,1.509471,-1.059459,1.886168,0.794427,0.35365546,-0.14978673,1.1939982,0.30230892,1.7328794,-0.00437034,-0.4669328,-0.5491445,2.2258785,-0.64137703,0.10700111,-1.5231199,0.91224647,-0.10092594,-0.42092815
Michael Beetz;1.5465158,0.6605556,-0.84316945,0.6774327,-1.6185116,0.27253938,0.34387067,-1.1046512,-0.5086409,-0.109311655,-0.7123474,-0.38961896,-1.838869,0.74334,-0.14864849,-1.216306,-2.5536785,0.13302703,0.6915985,-0.77548766,1.6959517,-0.9775898,0.9551748,-0.7706375,1.3536283,-0.15570034,-0.82217455,-0.09090819,0.40599406,0.75098366,0.82973486,1.0407948,-0.75189805,-0.8775614,0.52019316,0.594257,-0.9743042,-2.131151,0.5410913,1.618374,0.15561843,0.5594413,0.12045589,0.9681027,0.42136458,1.1182896,0.949191,-0.31046766,-0.5008882,-0.6815534,-1.5265813,0.21407723,1.0537524,-1.455369,-0.6629151,-0.9327367,0.8819354,-2.0640872,-1.1674063,0.9938422,-1.2769029,1.4247093,0.175708,0.20888759,-1.8093612,0.7139483,-0.07411751,-0.53069186,-1.216638,2.6420615,1.1755531,0.5546341,-0.34779263,1.4599481,-2.4185245,-0.19027448,3.9552433,-0.98852676,-0.79058266,-0.82397014,1.0048338,0.76006466,2.611881,-0.29410598,-0.16536434,0.21826339,-0.92207307,-1.2789993,-0.922676,0.38370186,-0.49972168,0.56701267,-1.9392356,0.1878869,-0.29439777,-1.0784312,0.7623303,3.299984,-0.4142563,-0.99160194,1.0371693,-0.07916842,-1.7978537,0.48566118,0.40744993,-0.7509632,-1.6085677,1.292036,0.039180733,-1.3598725,-1.1037253,0.06692462,0.17069885,1.9057044,-1.5202602,-1.9653713,-1.920677,1.0171756,-3.2874978,0.027991258,2.5046306,1.8233957,-0.8872917,0.9100551,-0.4039292,2.0958703,-0.1693693,-0.38218975
