Gerhard Weikum;-1.2636794,0.33169904,-1.0259073,0.5345437,-1.9468282,0.34442237,-2.7196774,-0.6258228,0.6017433,1.932318,-0.4458533,1.7361974,-0.2567071,-0.27418798,-0.29791716,-0.223585,0.27556935,0.71095574,1.0816017,1.7596363,4.201887,0.3512282,1.5495925,-0.3698233,-2.0503552,-1.0176245,1.8025614,-0.30321983,0.040862385,-1.6691695,1.4560505,-0.011346717,-0.8742322,-1.2565073,0.9410265,2.3762941,-0.45100102,1.3891017,-0.60466844,1.3653624,1.2796243,0.25269058,-0.9716601,-1.6902481,1.4015633,-0.05325922,-1.129934,-1.3760009,0.7690743,0.41521117,1.8209788,1.5037677,-0.29960027,-2.2991242,0.14716226,-0.4366019,-0.32118526,2.245126,-0.4734528,1.0192844,0.17121041,0.69808275,0.2932269,-1.6503623,0.56176096,-1.9178941,-2.1071684,-0.982209,-0.37480116,1.7766627,-0.602,1.575713,-2.112253,1.4139359,-0.63903797,2.5035334,-0.60260594,1.0144374,1.7586405,-0.5148646,-1.1450491,-0.11722761,-0.16394188,-0.14600329,1.4374156,-0.23659314,-1.8184054,0.94693637,0.06883598,-0.18428391,1.4249831,3.2684212,-1.2167869,-1.0613252,0.41225883,-1.4736698,-0.56409,-1.333369,-0.7780887,0.21486472,-0.17975007,-1.5998166,-1.1002856,2.4129727,0.22279356,-0.8103069,-1.6647457,-1.508484,0.9498391,1.1792372,-1.226372,-0.48569316,1.4205321,-1.0675216,-0.810399,-1.0921819,-0.42282262,-1.1957847,0.8877654,-0.34880602,-2.6918817,1.2630314,-1.1283417,-0.2352097,-1.0456761,0.34697095,-0.7386511,-0.9948857
Bernhard Nebel;0.3741066,1.4030051,-0.3779763,1.4006999,0.6891297,-0.33838633,-0.9918933,-0.9127776,-0.05344112,-1.868598,-0.25962722,-0.0550592,0.03603923,0.21988596,1.7501866,-0.8866132,2.3314106,-0.10680343,-2.5649846,-0.27493522,0.68369895,-0.4846301,-1.5212365,-0.23861268,-0.09676193,0.19622779,-0.89858615,-1.3305957,1.1607705,0.10088224,-2.120746,0.043944564,0.06401547,-0.692453,0.25559792,-0.5040811,-0.66723937,-1.8312101,0.4932267,-0.9605112,-2.144307,-0.6846305,-0.24589412,-0.2098554,0.23726346,-1.7079475,-0.859894,0.64839417,0.24398355,0.9865145,-2.5586379,-0.08459363,1.531884,0.30930832,-0.9951057,0.39580506,-2.984343,0.397864,0.90357816,0.50194806,3.1240969,1.2765177,1.0085863,-0.4753579,-0.20014201,0.23758659,-0.56893283,-0.88488734,0.68430984,2.2530785,1.2215476,1.4908288,-0.9035835,0.891299,0.8981098,2.190039,1.0588118,1.0979161,0.8760455,-0.06347757,0.22346185,1.5678184,-0.2844931,1.2905649,1.6706706,-0.13870496,-1.8977749,-0.19767451,-2.1294432,0.2925774,0.29880306,-0.15795673,0.23748524,1.9675087,-0.19376177,0.32932508,1.0141416,-1.1221205,1.9148486,-0.42314422,2.5739374,-1.7526344,-0.45131987,-2.3246534,-0.06880848,-2.0361862,2.424891,-0.92185986,1.2435364,1.383532,-1.4501872,1.2132059,-0.50373304,-0.57034487,1.7218306,0.5876261,0.7726187,1.7398264,1.7887203,-3.196765,0.9188561,0.91900796,-1.7802416,0.251939,2.4792442,0.79166156,0.62278575,-1.135319
Alois Knoll;0.6424758,-0.23499127,1.1664598,1.0391008,-0.7103679,0.27329955,2.061459,2.7202823,1.0343586,-0.27507195,-1.1778418,-2.8848827,0.06740915,-0.9164973,1.7739676,-0.899877,1.267041,1.1047711,0.49181083,-1.0491006,1.7408276,-0.3458164,-2.6626453,0.46760613,-2.2322788,0.32207748,0.48281604,-1.529277,-0.21291548,0.439207,-1.0587759,-2.2508783,-0.5047464,-0.022654181,1.7694649,0.96453446,-2.0046227,0.4481338,1.076338,0.779663,1.656986,-0.2088928,1.6159972,-1.1258833,-1.5614477,1.0279746,-1.6276572,-1.3151939,-0.572387,1.3542982,0.017012449,-0.761214,-0.44929704,1.5947144,-0.7529913,0.14985831,0.7049048,-0.696549,-1.2265996,1.1894414,0.29801005,-0.7382596,0.8316802,-0.2789499,0.37548208,-2.0379596,-0.9405857,-0.91866386,0.09750462,0.5147877,1.5739388,-1.129698,-0.27753356,0.4416646,1.8418508,-1.4561076,0.61977315,0.11186174,-0.51299006,-0.3259485,1.2735715,-0.13369341,-0.14091109,1.032842,-1.6679597,1.3612533,-0.9524207,-0.4022866,1.1474236,-0.26255178,0.9452675,-0.766088,1.3268379,-0.77094895,-0.08756285,-1.9883537,2.5188339,0.71074843,-2.518055,-0.18456215,0.4371366,0.5371075,1.2771032,-0.1129071,1.561835,-1.478558,-0.9017899,-2.9215539,2.7072265,3.6037369,0.9294017,-1.0228533,-0.7912891,-1.1236595,1.5782566,1.3456018,0.34794924,0.2084188,-0.63966143,0.76080525,0.33355784,-1.00257,0.88786113,-0.3007526,1.0372031,1.4068772,0.5050183,1.5511945
Alois C. Knoll;0.6424758,-0.23499127,1.1664598,1.0391008,-0.7103679,0.27329955,2.061459,2.7202823,1.0343586,-0.27507195,-1.1778418,-2.8848827,0.06740915,-0.9164973,1.7739676,-0.899877,1.267041,1.1047711,0.49181083,-1.0491006,1.7408276,-0.3458164,-2.6626453,0.46760613,-2.2322788,0.32207748,0.48281604,-1.529277,-0.21291548,0.439207,-1.0587759,-2.2508783,-0.5047464,-0.022654181,1.7694649,0.96453446,-2.0046227,0.4481338,1.076338,0.779663,1.656986,-0.2088928,1.6159972,-1.1258833,-1.5614477,1.0279746,-1.6276572,-1.3151939,-0.572387,1.3542982,0.017012449,-0.761214,-0.44929704,1.5947144,-0.7529913,0.14985831,0.7049048,-0.696549,-1.2265996,1.1894414,0.29801005,-0.7382596,0.8316802,-0.2789499,0.37548208,-2.0379596,-0.9405857,-0.91866386,0.09750462,0.5147877,1.5739388,-1.129698,-0.27753356,0.4416646,1.8418508,-1.4561076,0.61977315,0.11186174,-0.51299006,-0.3259485,1.2735715,-0.13369341,-0.14091109,1.032842,-1.6679597,1.3612533,-0.9524207,-0.4022866,1.1474236,-0.26255178,0.9452675,-0.766088,1.3268379,-0.77094895,-0.08756285,-1.9883537,2.5188339,0.71074843,-2.518055,-0.18456215,0.4371366,0.5371075,1.2771032,-0.1129071,1.561835,-1.478558,-0.9017899,-2.9215539,2.7072265,3.6037369,0.9294017,-1.0228533,-0.7912891,-1.1236595,1.5782566,1.3456018,0.34794924,0.2084188,-0.63966143,0.76080525,0.33355784,-1.00257,0.88786113,-0.3007526,1.0372031,1.4068772,0.5050183,1.5511945
Rudi Studer;-0.6119792,-0.59794664,-1.6210726,-0.36081222,-2.6458437,1.9598247,0.34965265,-0.6440168,-1.0779388,-1.0531272,1.0287845,0.759881,-0.8863479,-1.8872169,0.81915754,-0.8551268,-1.1840451,-0.26035908,-0.21917984,1.8539828,2.8163333,-0.89428073,0.17698045,1.5336671,-0.34808293,0.83720416,1.6902221,1.4985466,-0.57322955,-1.235231,-1.0476631,0.31615385,0.26478446,-0.06748194,1.1833528,0.6613209,1.4340699,0.00091975345,1.061879,0.63085663,1.9257271,0.77977145,-1.0286589,-1.2555838,0.043850742,-0.3978285,-0.3508813,-1.356269,0.43762097,0.84704304,-1.1119701,-0.44040915,1.3158599,-1.2942252,0.5919494,-1.397174,0.92739064,0.28230816,-1.0918301,2.561894,-0.56174344,-1.123037,2.889062,-1.0470923,1.1775448,-2.2695222,-1.5987253,-3.450483,-1.0155832,-0.33699173,-0.16041271,-0.95563644,-0.200419,-2.2675514,-0.3933174,-0.32572675,-1.6544659,1.4329343,1.1156316,-1.293001,0.124954656,1.2172568,0.63717544,-1.3838459,0.34634718,0.64950633,-0.4161593,-0.2819451,-0.9272825,2.105296,0.5081599,1.0761942,-1.6066417,0.99341035,0.2957683,-0.9441828,0.2234782,0.96577847,0.044721417,1.1281703,-0.12246802,-1.5262632,-2.0138083,2.00397,1.8993146,-0.8288051,-0.654078,-2.0357382,-1.358518,1.0671334,0.70507413,-0.7711558,1.3584596,-0.17817424,-1.9262732,-0.0700516,0.59826636,0.8923272,-0.03897436,-0.31548554,-1.4737431,-0.71764785,-0.7948535,-0.78065103,2.4954054,0.89874494,0.2337773,0.02124985
Wolfram Burgard;-0.13079499,1.5903643,1.1215612,1.7745128,0.8278746,-0.94198066,0.4075866,0.7782273,1.1746514,-1.1121969,1.3650366,-1.2648568,0.048703063,-0.4745879,1.8725134,-1.4633536,1.4089102,-0.944376,-0.19891049,-0.31302816,-0.96016073,0.3138562,-1.0506592,0.8399328,0.19261067,1.1096389,0.29385284,-2.3801036,0.84973776,-1.1460133,-2.3580134,-0.16912688,0.86517006,-2.0624635,0.21532339,-1.9595245,-0.17823318,-1.7836676,-0.50854933,-0.8282747,-1.2897506,-1.3118271,-1.1827316,1.2857317,-0.10241452,-1.0665381,0.38769063,0.39677864,-0.4050683,2.339021,-2.7869356,0.41942194,1.316728,1.5200294,-1.4237382,0.31266892,-2.385835,-0.8270875,-0.3267411,0.92209,3.345936,0.70922995,0.47915396,-0.9510882,-0.26017,1.2769307,0.088126644,1.5923963,0.8488532,1.266398,1.628225,0.3000412,-0.0035361599,-0.95280766,-0.03179903,-0.47887683,-0.70520556,2.6599686,1.5911238,0.2528665,0.81549984,1.0041251,-1.0986891,1.2256769,-1.1532735,1.1643398,-3.2164946,-0.35413784,-1.665308,-0.2660048,-0.8565478,-0.55926543,0.5495413,0.20270331,0.23519701,-0.5026694,-0.6204729,-0.39948556,-0.14337829,-0.6557091,1.4712521,-1.6942824,-0.5696352,-2.5231135,-1.1064708,-1.4108759,1.5754957,1.4945683,1.6722296,0.41053417,-0.8447194,2.0345736,-1.9234147,-2.0311835,0.1617721,0.81260836,0.19518471,1.6060151,1.3386196,-0.7218133,1.5804689,0.9630266,-1.4089895,-0.07996829,-0.07013624,0.58352774,0.43691024,-0.29820666
Albrecht Schmidt 0001;0.8596373,1.5552857,-0.19747488,1.1634234,-0.38747197,2.7167435,0.63638353,1.1854701,0.35874426,-1.371927,0.66954553,0.017740196,-0.9987303,-0.33992672,1.6646767,0.002175374,0.41440323,0.97820485,1.2800177,2.261441,0.92314565,-0.069913775,0.52384853,1.0389063,0.33079642,-0.6126861,-0.42478263,-0.8459626,-0.2768204,-0.63752925,-0.9467299,1.631117,-1.1761823,-1.0174122,0.8338738,1.0235176,2.052437,0.13502558,-0.2942484,-0.61916274,-0.60225475,0.55610484,1.833981,0.4787728,1.3782766,-2.6013336,0.86254275,1.0067196,2.513057,0.9219418,0.7897439,0.112058334,-0.97078687,0.6014265,-0.27835587,-0.9957593,-1.8028272,-3.078572,0.6271183,0.86256254,1.5503974,0.34648857,-0.473763,-0.98525214,0.77711123,-1.6512334,0.1954724,-0.60922974,-0.7261623,-0.8344281,1.1711056,-0.4924976,1.3581045,0.6878208,-1.3359462,-1.349238,0.9308674,-0.2172885,1.3377692,-0.80810606,-1.3646927,-0.18199006,0.3613453,0.83392954,-0.32726198,0.18489069,-0.5269073,0.19289087,-0.82705027,-2.8432305,-0.41781503,1.4321631,-1.6761249,0.040918477,-1.4854864,0.49290597,0.69061965,-0.20614763,2.5961897,0.24214171,1.4677576,-0.0007088975,-1.0041175,-0.94088155,-0.68385625,-0.7830789,1.684342,-0.21454811,0.27908692,0.37875772,-1.3076944,2.0266893,-0.94453216,-2.2816336,-1.3104569,1.8466496,0.41588652,0.19951817,1.5284684,1.2529483,0.23726988,0.4295754,0.6014464,-0.5467998,-0.92543334,-0.16049573,2.7135935,-0.8652379
Hans-Peter Kriegel;0.5107347,-1.1777978,-0.5958321,0.04835805,-1.9590577,-0.08515289,0.9369618,1.9952108,0.85475785,-0.694071,2.0142803,-1.3796326,-1.1319531,-0.9257406,0.096491046,-0.33448988,-0.1630121,0.5427451,-2.3949564,-0.0067136865,-0.5515598,-0.24449095,0.8450998,0.37810746,-1.408165,-1.1096381,1.8320038,-0.7684844,0.02657752,0.54351366,0.23260775,0.645105,-0.6663281,-1.1222719,1.1936558,1.1056216,2.2648587,-0.7505711,-1.168462,0.7675814,1.3419093,0.9609918,-1.2595062,-0.33651596,0.7197068,-0.70937574,0.9231606,-0.85243934,0.02830406,-0.44773757,0.99420965,0.5042032,0.97561604,-1.8184488,-0.16208614,-1.6072259,-0.03186273,-0.97596633,0.55179566,0.29711738,-2.0857134,1.0722691,0.29778096,0.2888324,1.6658809,-1.3364999,-1.0220113,-1.939575,-1.6669216,0.08671963,0.27799177,1.0528598,-0.42424285,-0.57715094,-0.6790669,-0.18983337,0.9468447,-0.8065857,2.5661762,-1.1379178,1.1957657,-0.014184015,1.7587951,-0.4755206,1.0230439,0.75801885,0.61451966,1.4504405,-1.0777812,-1.8371432,-0.97384757,1.7471793,-0.83565414,-0.0694526,-1.5929838,0.12393121,-0.8488956,-0.10302714,-0.4485727,-0.9091807,0.35877976,0.82653266,-0.16123833,1.5718372,0.9914713,0.29389727,-0.24957725,0.9623656,1.1192178,0.68950915,-0.78731614,0.63687575,1.3967704,-0.25456014,0.08082576,0.5317594,-0.092663795,1.3923302,-0.49855414,0.76636434,0.18786296,-0.0432851,0.8770848,-0.57801497,-0.31780207,0.96080464,1.220949,0.74202347
Steffen Staab;0.93051785,-0.63632196,-0.9863228,-1.4726812,-1.580763,2.373883,-1.7313304,-0.6313485,-1.4710586,-0.24540526,-1.1672074,1.8800166,-1.5708703,-1.4507748,0.15619664,2.168445,-1.0529197,-0.13271847,0.2347489,1.7447395,2.3645153,0.6829728,0.9646362,-0.49298796,0.20091966,-0.37535727,0.16565569,0.574629,-0.30550846,-1.0903828,0.01708555,0.8495633,-1.2668774,-0.21091396,1.1080345,1.42728,-0.33780283,1.1622878,1.5476084,1.826658,1.6178372,0.4618016,-0.75790286,-0.89139533,1.4544195,0.47350276,0.15527864,1.3465451,1.5096225,0.62377185,-1.0894855,0.73054755,0.97420913,-0.91412413,2.3873522,-2.7102213,0.71254134,-1.4840393,1.4156811,-0.13530402,-1.9537392,-1.2162101,2.974313,0.119737536,-0.03453213,-0.040543176,1.6755779,-0.31549457,0.044346612,-0.16414787,-0.77758175,-1.5139091,-0.7228008,0.075723544,0.5701266,0.9068407,0.11341923,-1.4253718,2.0322285,-0.60116124,0.30612528,-0.5913341,0.27174556,-2.4164393,1.199319,-0.5533794,-0.114809014,-0.017684424,0.32119885,1.372853,1.6851125,0.16468327,-1.6143327,1.5618776,0.029991992,0.469544,-0.8528834,-0.25313088,-0.5011261,1.3617244,-0.8589775,-3.0674162,-4.1954975,1.4624826,-0.31599385,-1.282568,0.49482512,-2.1969812,-2.844581,0.082621604,1.2604493,-0.051871013,1.0389992,-1.0349095,-0.74317414,-0.6457308,0.30417138,-0.36525458,-1.4838493,-0.38474715,-0.7158027,-0.18116929,-1.0064809,-1.3021276,2.7941751,0.57831776,-1.5320605,-0.4761829
Daniel A. Keim;-0.3110539,-1.3285388,-0.37782115,0.17814998,-1.7991723,-0.73237884,-0.6703288,2.4771633,1.6166042,0.899773,2.3575988,0.41540334,0.65053725,-1.9193994,-0.26806685,0.31355336,-0.24714383,1.0801347,-0.66911083,1.2836834,1.8069971,-1.5237818,1.4164641,1.5663626,-2.0108685,-0.8198114,0.476738,-0.26490724,0.24427752,-1.8139937,0.62652254,0.24432456,-0.5080269,-0.8932713,0.9061294,1.2214569,0.32135826,-0.32142317,-0.20664172,-1.2724816,2.089711,1.9177587,-1.6643674,-1.2177588,2.6809351,0.121436395,-0.43580303,-1.1231186,0.55675054,0.8317797,1.5331244,1.1979133,-1.2076429,-1.6033558,1.5833598,-0.677823,0.08972711,0.8933794,0.07934543,2.1963396,0.54957795,1.1709644,-1.5971918,0.5831702,2.3938768,-0.32369304,-0.5835448,-0.8473068,-1.5602319,0.03147195,-0.68120635,0.8694862,0.7593894,0.1088815,-0.5704437,-0.5308708,0.824806,-0.77441585,0.5351776,-0.03858192,-0.6789548,0.7255598,1.8057474,-0.5448201,0.7398973,2.5562217,-0.16099736,1.2146822,-1.8621287,-0.9511326,-2.7064786,4.0905876,-1.9271592,-2.0980885,-1.5604542,0.42248306,-1.1376616,0.83700013,-0.6977739,-0.27998933,-0.4160759,1.4985771,0.3402177,1.8847563,-0.5191262,0.54232866,-1.1893163,1.2017655,0.5278454,0.54223377,-2.6656704,0.8878202,2.8690634,0.41117284,-1.1620092,1.9309494,0.2904561,0.9490439,1.3853043,1.3352351,-0.40957153,0.41055393,-0.35272938,0.22821759,-1.4421229,1.2352003,-0.22810599,-0.9713981
