"";"appln_id";"author_id";"name";"codinv";"INNAME"
"1";15884955;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"MOCTEZUMA DE LA BARRERA JOSE LUIS"
"2";15612282;"homepages/s/AchimSchweikard";"Achim Schweikard";1418409;"DOETTER MANFRED"
"3";15612282;"homepages/s/AchimSchweikard";"Achim Schweikard";1418409;"ROTH MICHAEL"
"4";15612282;"homepages/s/AchimSchweikard";"Achim Schweikard";1418409;"SCHWEIKARD ACHIM"
"5";268631;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"6";15761654;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"7";15884955;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"8";15911674;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"9";16013343;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"10";16074312;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"11";376683308;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"SCHWEIKARD ACHIM"
"12";268631;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"ADLER JOHN R."
"13";16074312;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"ADLER JOHN R."
"14";15761654;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"ADLER JOHN R."
"15";15884955;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"DOETTER MANFRED"
"16";15884955;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"ROTH MICHAEL"
"17";15911674;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"BURKHARDT STEFAN"
"18";376683308;"homepages/s/AchimSchweikard";"Achim Schweikard";1740550;"BRUDER GERD"
