key,affiliation,uni?
homepages/01/4558-1,"University of Freiburg, Department of Computer Science, Germany",True
homepages/01/2854,"University of Bremen, Germany",True
homepages/01/6659,"RWTH Aachen University, Germany",True
homepages/01/6659,"University of Koblenz-Landau, Germany",True
homepages/01/501,"Karlsruhe Institute of Technology, Institute for Theoretical Informatics, Germany",True
homepages/01/3446,"University of Koblenz-Landau, Germany",True
homepages/01/3552,"University of Trier, Department of Mathematics, Germany",True
homepages/01/689-1,"Saarland University, Saarbrücken, Germany",True
homepages/01/3488,"University of Bremen, Spatial Cognition Research Centre, Germany",True
homepages/01/2452,"Bauhaus University, Computer Science and Media Department, Weimar, Germany",True
homepages/01/2452,"University of Regensburg, Germany",True
homepages/01/2452,"Siemens CERT, Munich, Germany",True
homepages/01/2452,"TU Munich, Germany",True
homepages/01/4906,"Goethe University, Center for Cognition and Computation, Frankfurt am Main, Germany",True
homepages/01/3198,"Technical University Munich, Germany",True
homepages/116/6512,"University of Freiburg, Department of Computer Science, Germany",True
homepages/116/1011-42,"University of Bonn, Germany",True
homepages/131/0936-1,"University of Duisburg, Germany",True
homepages/j/SabinaJeschke,"RWTH Aachen University, Germany",True
homepages/j/DietmarJannach,"Dortmund University of Technology, Germany",True
homepages/j/XiaoyiJiang,"University of Münster, Germany",True
homepages/j/MoniqueJanneck,"Lübeck University of Applied Sciences, Germany",True
homepages/j/JJohannsen,"Ludwig Maximilian University of Munich, Germany",True
homepages/j/MatthiasJarke,"RWTH Aachen University, Germany",True
homepages/j/StefanJahnichen,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/25/4763,"University of Bonn, Institute of Computer Science, Germany",True
homepages/25/581,"University of Konstanz, Department of Computer & Information Science, Germany",True
homepages/25/8883,"Bielefeld University, CITEC, Germany",True
homepages/25/8883,"Karlsruhe Institute of Technology, AIFB, Germany",True
homepages/25/11207,"Technical University Munich, Germany",True
homepages/25/4650,"Carl von Ossietzky University of Oldenburg, Germany",True
homepages/25/5468,"University of Hamburg, Department of Informatics, Germany",True
homepages/25/5562,"Heinrich Heine University, Düsseldorf, Germany",True
homepages/25/7857,"University of Paderborn, Heinz Nixdorf Institute, Germany",True
homepages/25/6084,"Bielefeld University, Germany",True
homepages/25/4804-1,"Ruhr University Bochum, Germany",True
homepages/25/6172,"University of Ulm, Germany",True
homepages/25/6395,"Jacobs University Bremen, Electrical Engineering and Computer Science Department, Germany",True
homepages/25/5487,"Technische Universität Darmstadt, Germany",True
homepages/25/5167,"L3S Research Center, Hannover, Germany",True
homepages/25/2707-1,"University of Freiburg, Department of Computer Science, Germany",True
homepages/25/2707-1,"University of Hamburg, Department of Informatics, Germany",True
homepages/25/8731,"University of Cologne, Germany",True
homepages/h/HHopfner,"Bauhaus University, Weimar, Germany",True
homepages/h/WalthervonHahn,"University of Hamburg, Germany",True
homepages/h/AHahn,"University of Oldenburg, Germany",True
homepages/h/HeinzUlrichHoppe,"University of Duisburg-Essen, Germany",True
homepages/h/MichaelHanus,"University of Kiel, Germany",True
homepages/h/AndreasHotho,"University of Würzburg, Germany",True
homepages/h/AnnegretHabel,"University of Oldenburg, Germany",True
homepages/h/RolfHennicker,"Ludwig Maximilian University of Munich, Germany",True
homepages/h/HolgerHermanns,"Saarland University, Saarbrücken, Germany",True
homepages/h/AndreasHenrich,"University of Bamberg, Germany",True
homepages/h/NicolaHenze,"University of Hanover, Germany",True
homepages/h/JensHartmann,"University of Bremen, Germany",True
homepages/h/JensHartmann,"Karlsruhe Institute of Technology, Germany",True
homepages/h/VolkerHeun,"Ludwig Maximilian University of Munich, Germany",True
homepages/h/ReinerHahnle,"Technical University of Darmstadt, Germany",True
homepages/h/SiegfriedHandschuh,"University of Passau, Germany",True
homepages/h/ThorstenHolz,"Ruhr University Bochum, Germany",True
homepages/h/MartinHofmann8,"University of Bamberg, Germany",True
homepages/h/OttheinHerzog,"University of Bremen, Germany",True
homepages/h/ChristopherHabel,"University of Hamburg, Germany",True
homepages/h/UdoHahn,"University of Jena, Germany",True
homepages/h/UdoHahn,"University of Freiburg, Germany",True
homepages/h/MarittaHeisel,"University of Duisburg-Essen, Germany",True
homepages/h/HeinrichHussmann,"Ludwig Maximilian University of Munich, Germany",True
homepages/h/ThomasHornung,"University of Freiburg, Germany",True
homepages/h/KarinHarbusch,"University of Koblenz and Landau, Germany",True
homepages/h/MatthiasHemmje,"University of Hagen, Germany",True
homepages/h/UDHanebeck,"Karlsruhe Institute of Technology, Germany",True
homepages/h/FMaufderHeide,"University of Paderborn, Heinz Nixdorf Institute, Germany",True
homepages/h/MarkusHolzer1,"University of Giessen, Germany",True
homepages/h/MarkusHolzer1,"University of Tübingen, Germany",True
homepages/h/EykeHullermeier,"Paderborn University, Germany",True
homepages/h/AVMHerz,"Humboldt University of Berlin, Germany",True
homepages/h/KlaudiaHergula,"Kaiserslautern University of Technology, Germany",True
homepages/h/SvenHelmer,"University of Mannheim, Germany",True
homepages/h/GunterHommel,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/h/UlrichGHofmann,"University of Lübeck, Germany",True
homepages/h/DieterHofbauer,"University of Kassel, Germany",True
homepages/h/TheoHarder,"Kaiserslautern University of Technology, Germany",True
homepages/21/5917,"University of Hanover, Germany",True
homepages/21/2614,"University of Bremen, Center for Computing Technologies (TZI), Germany",True
homepages/21/2614,"University of Marburg, Department of Mathematics and Computer Science, Germany",True
